Solution,RegionalFractionTAM,RegionalFractionAdoption,Rvalue
composting:PDS3-73p2050-Optimum (Book ed.1),1.186401400092798,0.0,0.9861816859677728
composting:PDS1-49p2050-Existing Prognostications (Book Ed.1),1.186401400092798,0.8832328179670306,0.9904985516358482
composting:PDS2-66p2050-Existing Projections + Rapid growth (Book Ed.1),1.186401400092798,0.0,0.9901176291272826
concentratedsolar:PDS-6p2050-Optimum2020.,0.7151913916705964,1.1265846961442534,0.9813871453407205
concentratedsolar:PDS-7p2050-Plausible2020.,1.0990576040386826,1.3970737307691168,0.9679408430706962
concentratedsolar:PDS-4p2050-Plausible (Book Ed. 1),1.0990576040386826,1.8384883316383898,0.9423130986849078
concentratedsolar:PDS-8p2050-Optimum (Book Ed.1),0.7151913916705964,1.3970737307691168,0.9679408430706962
concentratedsolar:PDS-6p2050-Drawdown2020.,0.7151913916705964,1.1265846961442534,0.9813871453407205
concentratedsolar:PDS-8p2050-Drawdown (Book Ed.1),0.7151913916705964,1.3970737307691168,0.9679408430706962
conservationagriculture:PDS-39p2050-Plausible-PDScustom-high-Bookedition1,,1.0,0.14528330089397698
conservationagriculture:PDS-25p2050-PDS-25p2050-Optimum-PDScustom-avg-Bookedition1,,0.9999999999999999,0.06348976734369419
"conservationagriculture:PDS-30p2050-Drawdown-PDScustom-high,highearly-Bookedition1",,1.0000000002048335,0.12435625489313921
coolroofs:PDS2-89p2050-Integrated-EE8.51%-FE-2.67% (Book),1.6165080339091265,0.0,0.9815927640491442
coolroofs:PDS1-61p2050-Integrated-EE8.72%-FE-2.81% (Book),1.6165080339091265,0.0,0.9735910402610776
coolroofs:PDS3-93p2050-Integrated-EE8.42%-FE-2.62% (Book),1.6165080339091265,0.0,0.9812183166357588
districtheating:PDS1-12p2050-Plausible (Book Ed.1),0.0,0.0,0.9908212101712544
districtheating:PDS3-14p2050-Optimum (Book Ed.1),0.0,0.0,0.9823537425268166
districtheating:PDS2-13p2050-Drawdown Scen. (Book Ed.1),0.0,0.0,0.9926556292154802
electricbikes:PDS3-6p2050_Growth to 6.5% (Book Ed.1),0.6501258118270206,0.6501258118270205,1.0
electricbikes:PDS2-5p2050_Based on ITDP/UCD (Book Ed.1),0.6501258118270206,0.0,0.9896610687338874
"electricbikes:PDS1-3p2050_Based on Navigant, Bloomberg (Book Ed.1)",0.6501258118270206,0.0,0.995601361786891
electricvehicles:PDS2-30p2050-Based on IEA (2012 ETP) (Book Ed.1),0.0,0.0,0.9131200688175674
electricvehicles:PDS1-16p2050-Based on IEA 2DS (Book Ed.1),0.0,0.0,0.960852061535761
electricvehicles:PDS3-40p2050-Based on IEA (2012 ETP)+Double Occu (Book Ed.1),0.0,0.0,0.9533524650056616
farmlandrestoration:PDS-52p2050-Drawdown-PDScustom-avg-Bookedition1,,0.0,0.9948951940103812
farmlandrestoration:PDS-87p2050-Optimum-PDScustom-high-Bookedition1,,0.0,0.9940244518599679
farmlandrestoration:PDS-43p2050-Plausible-PDScustom-highlinear-Bookedition1,,0.0,0.986559760382436
forestprotection:PDS-92p2050-Optimum-PDScustom-high-Bookedition1,,0.0,0.7633818895973588
forestprotection:PDS-89p2050-Drawdown-PDScustom-aggmax-Bookedition1,,0.0,0.8419295689979969
forestprotection:PDS-87p2050-Plausible-PDScustom-avg-Bookedition1,,0.0,0.9195468536979597
geothermal:PDS-6p2050-Optimum2020,0.7151913916705964,0.0,0.9826242874219416
geothermal:PDS-3p2050-Drawdown2020,0.7151913916705964,0.0,0.9947662377217585
geothermal:PDS-3p2050-Plausible2020,1.0990576040386826,0.0,0.9938576687850739
greenroofs:PDS1-30p2050-Integrated-FE-12.75% (Book),1.35130341630314,1.6936684156601587,0.8984125474624066
greenroofs:PDS3-75p2050-Integrated-FE-12.54% (Book),1.35130341630314,1.351283243733968,0.9396339959111931
greenroofs:PDS2-50p2050-Integrated-FE-12.6% (Book),1.35130341630314,1.4210060632947072,0.9156554226801932
heatpumps:PDS2-45p2050-Bass Diff. (Book Ed.1),0.0,0.0,0.9376338637977784
heatpumps:PDS3-60p2050-Bass Diff (Book Ed.1),0.0,0.0,0.9487456572907891
heatpumps:PDS1-25p2050-Bass Diff. (Book Ed.1),0.0,0.0,0.934542154061207
highspeedrail:PDS3-5p2050-Japanese Travel Density (Book Ed.1),0.0,0.0,0.9995605759108482
highspeedrail:PDS2-4p2050-Announced Constr+2.5% Traffic Density Inc (Book Ed.1),0.0,0.0,0.9984836748317192
highspeedrail:PDS1-4p2050-Announced Constr+1%Traffic Density (Book Ed.1),0.0,0.0,0.9887867114586133
improvedcookstoves:PDS1-15p2050_Low Growth (Book Ed.1),1.108823676879944,0.0,0.999300515989594
improvedcookstoves:PDS3-25p2050_Linear to 25% (Book Ed.1),1.108823676879944,1.108823676879944,1.0
improvedcookstoves:PDS2-20p2050_High Growth (Book Ed.1),1.108823676879944,0.0,0.9996058452513644
improvedrice:PDS-100p2050-Optimum-PDS-max-BookVersion1,,0.3855195380007747,0.9862282435904245
improvedrice:PDS-54p2050-Plausible-PDScustom-avg-BookVersion1,,0.6817541048979866,0.9935967365701459
improvedrice:PDS-80p2050-Drawdown-PDScustom-high-BookVersion1,,0.5667593260573479,0.9906189046246853
indigenouspeoplesland:PDS-61p2050-Plausible-PDScustom-low-Bookedition1,,0.0,0.9812726297141984
indigenouspeoplesland:PDS-91p2050-Optimum-PDScustom-high-Bookedition1,,0.0,0.9952536248728295
indigenouspeoplesland:PDS-76p2050-Drawdown-PDScustom-avg-Bppkedition1,,0.0,0.9922529020563144
instreamhydro:PDS-2p2050-Drawdown2020,0.7151913916705964,0.0,0.9801176661877135
instreamhydro:PDS-2p2050-Plausible2020,1.0990576040386826,0.0,0.9870517314218362
instreamhydro:PDS-2p2050-Optimum2020,0.7151913916705964,0.0,0.9801176661877135
"insulation:PDS2-100p2050-Medium Growth, Medium (Book Ed.1)",0.0,0.0,0.9927574934370837
"insulation:PDS1-69p2050-Slow Growth, Medium (Book Ed.1)",0.0,0.0,0.9901797579598047
"insulation:PDS3-100p2050-High Growth, Lower (Book Ed.1)",0.0,0.0,0.9675736275571347
irrigationefficiency:PDS-100p2050-Drawdown-PDScustomadoption-aggmaxgrowth,,0.9416137313333391,0.9699358777019941
irrigationefficiency:PDS-74p2050-Plausible-PDScustomadoption-avg,,0.9999999999999997,0.9737090638825606
irrigationefficiency:PDS-100p2050-Optimum-PDScustomadoption-aggmaxearlygrowth,,0.9416137313333391,0.8821970509210012
landfillmethane:PDS-0p2050-Drawdown (Book Ed.1)_emissions 2,0.7151913916705964,0.02467082275411572,0.9166589289424513
landfillmethane:PDS-0p2050-Drawdown2020,1.0990576040386826,,-0.6897709408440681
landfillmethane:PDS-0p2050-Drawdown (Book Ed.1)_Emissions1,0.7151913916705964,0.02467082275411572,0.9166589289424513
landfillmethane:PDS-0p2050-Optimum Book Ed.1) emissions 2,0.7151913916705964,0.029034848462636657,0.9144493382911631
landfillmethane:PDS-0p2050-Optimum2020,1.0990576040386826,,-0.7232098807367455
landfillmethane:PDS-0p2050-Optimum (Book Ed.1) emissions 1,0.7151913916705964,0.029034848462636657,0.9144493382911631
landfillmethane:PDS-0p2050-Plausible Book (Ed. 1),1.0990576040386826,0.030989351605671782,0.9728454774447849
landfillmethane:PDS-0p2050-Plausible2020,1.0990576040386826,0.0,-0.31334430766284577
leds_commercial:PDS2-90p2050-E18.2%-Linear 90% (Book Ed.1),1.2171826193031994,1.2171826193031994,1.0
leds_commercial:PDS1-82p2050-E18.8% (Book Ed.1),1.2171826193031994,0.8339150629177521,0.9830730257626435
leds_commercial:PDS3-95p2050-E17.3%-Linear 95% (Book Ed.1),1.2171826193031994,1.2171826193031994,0.9999762646266909
leds_residential:PDS3-100p2050-linear (Book Ed.1),1.1017575492219833,1.1017575492219833,0.9972825596667373
leds_residential:PDS1-90p2050-linear (Book Ed.1),1.1017575492219833,1.1017575492219833,0.9999990310274217
leds_residential:PDS2-95p2050-linear (Book Ed.1),1.1017575492219833,1.1017575492219833,0.9993533436688251
managedgrazing:PDS-54p2050-Drawdown-PDScustom-high-Bookedition1,,0.9234488629830333,0.9439969291003405
managedgrazing:PDS-46p2050-Plausible-PDScustom-avg-Bookedition1,,0.972193602031879,0.9784201796455237
managedgrazing:PDS-62p2050-Optimum-PDScustom-high2s-Bookedition1,,0.9234488629830333,0.9439969291003405
masstransit:PDS3-45p2050-linear (Book Ed.1),0.6400848029234244,0.6400848029234244,1.0
masstransit:PDS1-21p2050-based on IEA (Book Ed.1),0.6400848029234244,0.0,0.9946006626342533
masstransit:PDS2-35p2050-based on ITDP/UCD (Book Ed.1),0.6400848029234244,0.0,0.9981286918119617
microwind:PDS-0p2050-Drawdown2020,0.7151913916705964,0.0,0.9887505429995648
microwind:PDS-0p2050-Optimum (Book Ed. 1),0.7151913916705964,0.0,0.9941359390662219
microwind:PDS-0p2050-Optimum2020,0.7151913916705964,0.0,0.9776459400562486
microwind:PDS-0p2050-Drawdown (Book Ed. 1),0.7151913916705964,0.0,0.9941359390662219
microwind:PDS-0p2050-Plausible (Book Ed. 1),1.0990576040386826,0.0,0.9887505429995648
microwind:PDS-0p2050-Plausible2020,1.0990576040386826,0.0,0.9941359390662219
multistrataagroforestry:PDS-26p2050-PDScustom-Average-Bookedition1,,0.0,0.9925355053301742
multistrataagroforestry:PDS-30p2050-PDScustom-High-Bookedition1,,0.0,0.9902158647638502
multistrataagroforestry:PDS-22p2050-PDScustom-Low-Bookedition1,,0.0,0.9961464337419509
nuclear:PDS-9p2050-Drawdown2020,0.7151913916705964,0.6344738895553323,0.998281769433352
nuclear:PDS-0p2050-Optimum2020,0.7151913916705964,380.2631933575406,-0.9659133312636727
nuclear:PDS-10p2050-Drawdown (Book Ed. 1),0.7151913916705964,0.6344738895553323,0.998281769433352
nuclear:PDS-13p2050-Plausible2020,1.0990576040386826,0.6344738895553323,0.998281769433352
nuclear:PDS-12p2050-Plausible (Book Ed.1),1.0990576040386826,0.5472476108767712,0.9988800439523636
nutrientmanagement:PDS-54p2050-Plausible-PDScustom-avg-Bookedition1,,1.0,0.9994183232990235
nutrientmanagement:PDS-80p2050-Optimum-PDScustom-max-Bookedition1,,1.0000000000000049,0.9999918075968625
nutrientmanagement:PDS-74p2050-Drawdown-PDScustom-high-Bookedition1,,1.0,0.9995196366054828
offshorewind:PDS-6p2050-Optimum2020,0.7151913916705964,0.5724858704385248,0.9903490429743954
offshorewind:PDS-3p2050-Drawdown2020,0.7151913916705964,1.0440954069380581,0.9668622734568546
offshorewind:PDS-4p2050-Plausible2020.,1.0990576040386826,1.2279675432616763,0.9726914052771298
offshorewind:PDS-4p2050-Plausible (BookEd.1),1.0990576040386826,1.0440954069380581,0.9668834922121595
onshorewind:PDS-22p2050-Plausible (Book Ed. 1),1.0990576040386826,0.6111460403998333,0.9959045631882919
onshorewind:PDS-20p2050-Plausible2020,1.0990576040386826,0.6111460403998333,0.9959045631882919
onshorewind:PDS-27p2050-Optimum2020,0.7151913916705964,0.2842829618058762,0.9899838108721001
onshorewind:PDS-27p2050-Drawdown2020,0.7151913916705964,0.2842829618058762,0.9899838108721001
peatlands:PDS-69p2050-Plausible-PDScustom-avg-Bookedition1,,0.0,0.9197220039778472
peatlands:PDS-95p2050-Drawdown-PDScustom-high-Bookedition1,,0.0,0.8603687470433032
peatlands:PDS-94p2050-Optimum-PDScustom-aggmax-Bookedition1,,0.0,0.7742349987766715
perennialbioenergy:PDS-85p2050-Drawdown-PDScustom-max-Bookedition1,,0.0,0.9976198856686919
perennialbioenergy:PDS-72p2050-Plausible-PDScustom-avg-Bookedition1,,0.0,0.9996213577715484
perennialbioenergy:PDS-100p2050-Optimum-PDScustom-high-Bookedition1,,0.0,0.9749816666708636
recycledpaper:PDS1-67p2050-Low Growth (Book Ed.1),1.2360617693542109,1.387340630601187,0.9920519546842815
recycledpaper:PDS3-80p2050-High Growth (Book Ed.1),1.2360617693542109,0.0,0.9852818152808984
recycledpaper:PDS2-77p2050-Mean Growth (Book Ed.1),1.2360617693542109,0.0,0.9945898305433198
refrigerants:PDS1-93p2050-Individual Banks (Book Ed.1),0.0,0.0,0.9199832442680641
refrigerants:PDS2/3-100p2050-Combined Banks (Book Ed.1),0.0,0.0,0.8982586073211768
regenerativeagriculture:PDS-47p2050-Plausible-PDScustom-avg-BookEdition1,,0.9999999999999999,0.987119778160576
regenerativeagriculture:PDS-61p2050-Drawdown-PDScustom-high-BookEdition1,,0.9999999999999998,0.9834178206695765
regenerativeagriculture:PDS-62p2050-Optimum-PDScustom-max-BookEdition1,,0.999999999961688,0.9447045807857277
riceintensification:PDS-87p2050-Drawdown-PDScustom-avg-BookEdition1,,0.0,0.93008982078744
riceintensification:PDS-73p2050-Plausible-PDScustom-low-BookEdition1,,0.0,0.9813077826786218
riceintensification:PDS-100p2050-Optimum-PDScustom-high-BookEdition1,,0.0,0.8372224742588057
ships:PDS3-100p2050-Lowest EEOI (Book Ed.1),0.0,0.0,0.9842934729175642
ships:PDS1-97p2050-Mean EEOI (Book Ed.1),0.0,0.0,0.9724283454965719
ships:PDS2-100p2050-1 SD Below Mean EEOI (Book Ed.1),0.0,0.0,0.9820682230087809
silvopasture:PDS-45p2050-Plausible-PDScustom-low-Bookedition1,,0.9999999999999999,0.9993720565631793
silvopasture:PDS-54p2050-Drawdown-PDScustom-high-basedonpasture-Bookedition1,,0.0,0.9997531314884891
silvopasture:PDS-54p2050-Optimum-PDScustom-high0.5SD-Bookedition1,,0.9784844547457218,0.964567766883934
smartglass:PDS3-75p2050-EE21.3% based on Navigant (Book Ed.1),0.0,0.0,0.9374059384695885
smartglass:PDS1-29p2050-EE21.3% based on Navigant (Book Ed.1),0.0,0.0,0.9032859808555163
smartglass:PDS2-48p2050-EE21.3% based on Navigant (Book Ed.1),0.0,0.0,0.9013181423243413
"smartthermostats:PDS2-39p2050-cs-Avg E11.65, F8.06 (Book Ed.1)",0.0,0.0,0.9964279450768085
"smartthermostats:PDS3-50p2050-cs-High E10.96, F7.59 (Book Ed.1)",0.0,0.0,0.9980200231325126
"smartthermostats:PDS1-28p2050-cs Low-E12.84, F8.89 (Book Ed.1)",0.0,0.0,0.9825915058369361
solarhotwater:PDS3-62p2050-High of Custom Scen. (Book Ed.1),0.9344900592232549,0.0,0.9836001275999503
solarhotwater:PDS1-25p2050-Low of Custom Scen. (Book Ed.1),0.9046887610405554,0.0,0.9879042187258014
solarhotwater:PDS2-44p2050-Mean of Custom Scen. (Book Ed.1),0.9279498645673971,0.0,0.9927907862828841
solarpvroof:PDS-14p2050-Plausible2020,1.0990576040386826,0.0,0.9429621554603591
solarpvroof:PDS-14p2050-Drawdown2020,0.7151913916705964,0.0,0.9959380297186344
solarpvroof:PDS-7p2050-Plausible (Book Ed. 1),1.0990576040386826,0.0,0.9429621554603591
solarpvroof:PDS-14p2050-Optimum2020,0.7151913916705964,0.0,0.9959380297186344
solarpvutil:PDS-20p2050-Plausible2020,1.0990576040386826,0.0,0.9429749102961811
solarpvutil:PDS-25p2050-Optimum2020,0.7151913916705964,0.0,0.9955827732550862
solarpvutil:PDS-25p2050-Drawdown2020,0.7151913916705964,0.0,0.9955827732550862
telepresence:PDS2-29p2050-Maximum Prediction (Book Ed.1),0.0,0.0,0.9768936324185968
telepresence:PDS3-49p2050-50% Adoption (Book Ed.1),0.0,0.0,0.9927398173086593
telepresence:PDS1-16p2050-Average Predicted Adoption (Book Ed.1),0.0,0.0,0.983683610317763
temperateforests:PDS-73p2050-Drawdown-PDScustomadoption-high,,0.0,0.9406912763311506
temperateforests:PDS-73p2050-Drawdown-PDScustom-high-Bookedition1,,0.0,0.9406920908903832
temperateforests:PDS-49p2050-Plausible-PDScustom-avg-Bookedition1,,0.0,0.9540530864752856
temperateforests:PDS-49p2050-Plausible-PDScustomadoption-avg,,0.0,0.9540570107437536
temperateforests:PDS-74p2050-Optimum-PDScustomadoption-max,,0.0,0.7928126296921498
temperateforests:PDS-74p2050-Optimum-PDScustom-100%in15years-Bookedition1,,0.0,0.7928126296921515
trains:PDS2-5p2050-based on on IEA 2DS (Book Ed.1),0.0,0.0,0.999998199486215
trains:PDS1-4p2050-Doubled Historical Electrification Rate (Book Ed.1),0.0,0.0,0.98618914866522
trains:PDS3-10p2050-Full Electrification (Book Ed.1),0.0,0.0,0.9686872125341368
treeintercropping:PDS-56p2050-Plausible-PDScustom-low-Bookedition1,,0.0,0.9996330240940794
treeintercropping:PDS-100p2050-Optimum-PDScustom-high-Bookedition1,,0.0,0.9820857510771038
treeintercropping:PDS-75p2050-Drawdown-PDScustom-avg-Bookedition1,,0.0,0.9974089810380126
tropicalforests:PDS-77p2050-Drawdown-PDScustomadoption-high,,0.0,0.9063185579528095
tropicalforests:PDS-79p2050-Drawdown-PDScustom-high-Bookedition1,,0.0,0.9063190023259242
tropicalforests:PDS-84p2050-Optimum-PDScustom-100%intact15years-Bookedition1,,0.0,0.7928126296921513
tropicalforests:PDS-58p2050-Plausible-PDScustomadoption-avg,,0.0,0.9450454574926045
tropicalforests:PDS-84p2050-Optimum-PDScustomadoption-100%in15years,,0.0,0.7928126296921513
tropicalforests:PDS-58p2050-Plausible-PDScustom-avg-Bookedition1,,0.0,0.9450455593319422
tropicaltreestaples:PDS-68p2050-Drawdown-PDScustom-avg-Bookedition1,,0.0,0.9839759480242576
tropicaltreestaples:PDS-84p2050-Optimum-PDScustom-high-Bookedition1,,0.0,0.9620409154301266
tropicaltreestaples:PDS-52p2050-Plausible-PDScustom-low-Bookedition1,,0.0,0.9994335263954617
trucks:PDS2-9p2050-Based on ICCT (Book Ed.1),0.0,0.0,0.9865939919678519
trucks:PDS1-7p2050-Based on ICCT/RMI (Book Ed.1),0.0,0.0,0.9715272268773669
trucks:PDS3-15p2050-Maximum (Book Ed.1),0.0,0.0,0.9875993031742191
walkablecities:PDS2-7p2050-2.4% Annual Density Increase (Book Ed.1),0.0,0.0,0.9921299150433003
walkablecities:PDS1-4p2050-Based on ITDP/UCD (Book Ed.1),0.0,0.0,0.9999999270895874
walkablecities:PDS3-8p2050-Linear (Book Ed.1),0.0,0.0,0.9999999999999998
wastetoenergy:PDS-0p2050-Optimum (Book Ed.1),0.9743482283184594,0.0,-0.03159990792601765
wastetoenergy:PDS-0p2050-Drawdown (Book Ed.1),0.9345614538951017,0.0,0.5064485763915673
wastetoenergy:PDS-1p2050-Plausible (Book Ed.1),0.9762899024505536,0.0,0.9684768649641877
waterdistribution:PDS2-50p2050-Linear Medium (Book Ed.1),1.0779242594446097,0.0,1.0
waterdistribution:PDS3-66p2050-Linear High (Book Ed.1),1.0779242594446097,0.0,1.0
waterdistribution:PDS1-40p2050-Linear Low (Book Ed.1),1.0779242594446097,0.0,1.0
waterefficiency:PDS1-80p2050-70% of Demand (Book Ed.1),0.9675426576364617,0.936935494047989,0.9945514408354037
waterefficiency:PDS3-97p2050-95% of Demand (Book Ed.1),0.9675426576364617,0.9633048017182637,0.995329291381467
waterefficiency:PDS2-87p2050-80% of Demand (Book Ed.1),0.9675426576364617,0.9486753450503979,0.9940822430183425
waveandtidal:PDS-1p2050-Drawdown2020,0.7151913916705964,0.0,0.8773583214346555
waveandtidal:PDS-2p2050-Optimum2020,0.7151913916705964,0.0,0.9644090596815629
waveandtidal:PDS-1p2050-Plausible2020,1.0990576040386826,0.0,0.8830861543938753
womensmallholders:PDS-91p2050-Drawdown-PDScustom-high-Bookedition1,,0.0,0.9731695291189449
womensmallholders:PDS-100p2050-Optimum-PDScustom-max-Bookedition1,,0.0,0.955761345214216
womensmallholders:PDS-68p2050-Plausible-PDScustom-avg-Bookedition1,,0.0,0.9810274184723932
