Year, Baseline: Based on- IEA ETP 2016 6DS, Baseline: Based on- AMPERE MESSAGE-MACRO Reference, Baseline: Based on- AMPERE GEM E3 Reference, Baseline: Based on- AMPERE IMAGE/TIMER Reference, Conservative: Based on- IEA ETP 2016 4DS, Conservative: Based on- AMPERE MESSAGE-MACRO 550, Conservative: Based on- AMPERE GEM E3 550, Conservative: Based on- AMPERE IMAGE/TIMER 550, Conservative: Based on- Greenpeace 2015 Reference, Ambitious: Based on- IEA ETP 2016 2DS, Ambitious: Based on- AMPERE MESSAGE-MACRO 450, Ambitious: Based on- AMPERE GEM E3 450, Ambitious: Based on- AMPERE IMAGE/TIMER 450, Ambitious: Based on- Greenpeace Energy [R]evolution, 100% REN: Based on- Greenpeace Advanced [R]evolution
2028, 2989.45021564225, 2892.74307845851, 3261.51267828969, 3728.05862581409, 2864.00972698285, 2852.48791119041, 3076.04620688572, 3215.60951783255, 2686.26540391057, 2648.03638095924, 2745.82899711624, 3105.32535012599, 3094.19998594304, 2782.20666560143, 3017.15443501153
2029, 3141.49417194196, 2984.24250072449, 3383.19946581589, 3971.32229751450, 2995.80197178256, 2935.53928930736, 3238.62002049449, 3443.01604313047, 2810.06925976796, 2762.81176727901, 2804.99325294287, 3281.76106569660, 3265.64557221501, 2931.92389347613, 3220.00145705942
2030, 3293.81464420840, 3172.68654979063, 3554.80548405865, 4071.92220058348, 3127.83430938135, 3172.84514887388, 3381.62378122457, 3452.56406442107, 2924.15747033028, 2877.79647587799, 3049.68414967100, 3413.57500459747, 3329.00382502894, 3056.60338547616, 3346.32882485779
2031, 3454.52044838710, 3168.45137914605, 3623.62690012024, 4476.19684116678, 3267.58572305974, 3102.81994815945, 3573.49045377921, 3916.90026478519, 3062.97310544578, 2998.08064950765, 2929.88599016021, 3652.72390620789, 3624.94994102580, 3242.72249359286, 3649.53322037754
2032, 3615.51895362340, 3262.02554571791, 3742.35729790898, 4736.71142483911, 3407.59197845013, 3188.11411993594, 3745.22226100962, 4161.87964140671, 3191.59562683156, 3118.58438116353, 2997.81163820112, 3847.10837086344, 3812.69488567380, 3403.20650726983, 3875.47068191580
2033, 3776.78329399339, 3357.14861493032, 3860.08302590814, 5001.86690331816, 3547.82774485318, 3275.21371025696, 3919.43202711176, 4411.20633466392, 3321.32103827179, 3239.28448212875, 3070.84882672917, 4047.32284421422, 4005.74903864402, 3566.65406342629, 4108.32521704675
2034, 3938.27609460437, 3454.24451951970, 3976.78861856404, 5271.09841945809, 3688.25817235347, 3364.64318773621, 4095.82513420168, 4664.11572163019, 3451.87520060871, 3360.14930237426, 3150.08941270555, 4253.28307376323, 4204.04284653344, 3732.72728112099, 4347.67628143187
2035, 4099.96809248135, 3553.74475687160, 4092.46722235977, 5543.85079700051, 3828.85635789505, 3456.93447044831, 4274.11493404459, 4919.85146106169, 3582.99054143873, 3481.15466071995, 3236.63232398945, 4464.91275528149, 4407.51469950010, 3901.09431118467, 4593.10854138935
2036, 4255.21392497301, 3656.07920231445, 4207.11016237203, 5819.56545313309, 3970.42726452081, 3552.61792387339, 4454.01236074811, 5177.65404438270, 3714.40311954090, 3616.55696788114, 3331.57496838865, 4682.13281765503, 4616.10030990066, 4071.42641927775, 4844.20892755629
2037, 4410.62757631333, 3761.69881144203, 4320.73312210300, 6097.71716348056, 4112.14933391142, 3652.24439014758, 4635.25392341351, 5436.79359211788, 3845.87268968608, 3752.10761513906, 3436.03383171940, 4904.89093301402, 4829.76178168948, 4243.42031104270, 5100.59378727372
2038, 4566.24511800467, 3871.08624372602, 4433.38806364736, 6377.83462624601, 4254.05635028822, 3756.39541705297, 4817.61639044873, 5696.58854078502, 3977.18595651639, 3887.83712658499, 3551.15448736381, 5133.17806447295, 5048.50372138981, 4416.80264378139, 5361.91599577636
2039, 4722.12708887634, 3984.74495812101, 4545.14989657278, 6659.48566863435, 4396.20475940655, 3865.67267292278, 5000.90456855142, 5956.39268559989, 4108.14997852331, 4023.79699848225, 3678.10265711007, 5367.01696220769, 5272.36169406084, 4591.32363414875, 5627.85893206263
2040, 4878.32322679305, 4339.48164898944, 4858.34979733100, 6928.69272334014, 4538.64079958738, 4176.84229647823, 5200.20696782079, 6044.39020173425, 4240.04967165348, 4160.02968334561, 4191.56593010242, 5640.25561239695, 5613.09858150929, 4783.75281684951, 5952.55804260681
2041, 5035.89646389189, 4226.83511736694, 4766.22191645194, 7225.58754487473, 4691.02182088704, 4101.95975653741, 5369.41530996215, 6473.37995302534, 4368.19260269955, 4305.15959092545, 3972.10576001239, 5851.38792014722, 5735.51401513205, 4942.71475659800, 6172.26943274106
2042, 5193.80239185359, 4356.19194122751, 4875.57914880111, 7509.04717962927, 4843.72222095510, 4230.09478045887, 5554.14689048517, 6729.15679957960, 4496.78963098050, 4450.59154395405, 4141.42981377958, 6101.86924255000, 5974.78357494376, 5118.98233591978, 6449.98579796832
2043, 5352.02831251616, 4491.70394815934, 4984.17501249932, 7792.10955002078, 4996.73037512017, 4365.63874013527, 5738.86181575752, 6982.17591365102, 4624.09204299125, 4596.31506632996, 4327.15050939756, 6357.84270232016, 6219.16085858348, 5295.20212772499, 6730.84113417216
2044, 5510.54633144574, 4633.82990406957, 5092.02298499287, 8074.26498723988, 5150.02038209392, 4509.15145012167, 5923.30413784632, 7231.71980497804, 4749.82548869846, 4742.30646545782, 4530.40645215728, 6619.27568469614, 6468.62615107034, 5471.03390640611, 7014.40992760491
2045, 5669.33514827866, 4783.03228573834, 5199.13811710485, 8355.00593906031, 5303.57238956798, 4661.19683132246, 6107.21965466289, 7477.07195367952, 4873.72061753353, 4888.54751192897, 4752.34334447597, 6886.13924347028, 6723.16326980536, 5646.14247958491, 7300.27197035368
2046, 5819.57503023454, 4939.77758275732, 5305.53704580862, 8633.82694532021, 5449.30606191354, 4822.34326762134, 6290.35590803136, 7717.51666239743, 4995.51641327674, 5032.44597868839, 4994.11472300653, 7158.40831915569, 6982.75977208585, 5820.20178194251, 7588.01806139170
2047, 5970.07011866931, 5104.54197035380, 5411.24366529466, 8910.23390272394, 5595.28744663563, 4993.16922409468, 6472.46893715202, 7952.34718277501, 5114.96925549728, 5176.58932383589, 5256.88827636818, 7436.06973960357, 7247.41474781070, 5992.90580257425, 7877.26493628494
2048, 6120.84403558350, 5277.81006216075, 5516.28705168476, 9183.74102215682, 5741.53871165554, 5174.26215956383, 6653.32101496530, 8180.86276601555, 5231.84587541921, 5320.99810956056, 5541.84559409205, 7719.12024090092, 7517.13685671288, 6163.96088433449, 8167.64619425462
2049, 6271.93281328423, 5460.07377876484, 5620.69955294803, 9453.86772456167, 5888.09374754154, 5366.21755636230, 6832.67840854113, 8402.36563055886, 5345.92249408125, 5465.70391183952, 5850.18198351958, 8007.56442757288, 7791.94232112132, 6333.08506392366, 8458.81212249976
2050, 6423.36062897159, 5366.03648511250, 5614.46683726425, 9808.56982467077, 6034.97540674239, 5295.30885294458, 7006.46008575470, 8900.75416128785, 5456.89285836484, 5610.72822850666, 5715.84877810465, 8292.90920233328, 8016.76756102735, 6495.84988984750, 8736.92336505174
2051, 6575.13698859195, 5853.54284033272, 5827.72428862889, 9981.99128480229, 6182.19280298684, 5785.08973969614, 7185.92804835334, 8821.47353638616, 5564.72129178506, 5756.07986796030, 6541.79223971028, 8600.61556953675, 8356.83206494883, 6664.34545919521, 9042.01581992452
2052, 6727.24228559775, 6065.71066509388, 5930.35657646267, 10238.94461570750, 6329.72766804132, 6013.18119360619, 7359.29563422894, 9017.60009716348, 5668.91989244886, 5901.74212690380, 6927.46534939022, 8905.18079786120, 8646.89896000091, 6825.82917194960, 9333.23994967943
2053, 6879.63432830566, 6288.77816121427, 6032.37928877264, 10490.39574636970, 6477.54040283468, 6254.46346919555, 7530.09462006342, 9203.72670022678, 5769.26534356084, 6047.67826626344, 7341.28989956332, 9215.02486667588, 8941.98409194020, 6984.06859127287, 9623.60774101493
2054, 7032.25061200806, 6523.18316160056, 6133.75372355907, 10735.72924058150, 6625.57215539357, 6509.48245724387, 7697.99744004917, 9379.02759351286, 5865.44600289844, 6193.83333872149, 7784.42486487884, 9530.05169924115, 9242.00596171169, 7138.67567241070, 9912.62503834937
2055, 7185.03710485384, 6769.37151239378, 6234.44853305683, 10974.33766502120, 6773.77191066608, 6778.79225781793, 7862.68319138437, 9542.68314016671, 5957.15753820727, 6340.15945585943, 8258.03914247464, 9850.17302576626, 9546.89082662688, 7289.26990621551, 10199.80565792220
2056, 7337.97239532289, 7027.82253541339, 6334.46228701665, 11205.66222685640, 6922.11930865975, 7062.98082054444, 8023.86660511531, 9693.91491921410, 6044.12287084264, 6486.63724236885, 8763.34382264966, 10175.34553603960, 9856.60865363084, 7435.50310238942, 10484.70675212820
2057, 7491.04775054647, 7299.02651077665, 6433.80063745841, 11429.15364480010, 7070.60592240072, 7362.64777314438, 8181.26989446335, 9831.95097508679, 6126.07515966992, 6633.25845562365, 9301.56760200474, 10505.53751174820, 10171.14068830040, 7577.03924877337, 10766.90194695970
2058, 7644.23413481168, 7583.45061765692, 6532.44613208283, 11644.21850050500, 7219.20414677656, 7678.37009893447, 8334.58436076298, 9955.97958494675, 6202.73074180300, 6779.99683402863, 9873.91360872133, 10840.67966888010, 10490.43185932040, 7713.52121358557, 11045.93434586170
2059, 7797.50197482680, 7881.55944768451, 6630.37804879168, 11850.25398790180, 7367.88582395480, 8010.72249773485, 8483.49527717890, 10065.17984699180, 6273.80577690134, 6926.82551460046, 10481.58312527800, 11180.69551528850, 10814.42023088770, 7844.59099762090, 11321.34460253620
2060, 7950.82738483956, 8285.13926454588, 6727.58420812510, 12012.37876064300, 7516.62813137892, 8451.04013874822, 8627.69706470066, 10061.31190193790, 6339.02137502972, 7073.72257919800, 11276.38058923690, 11525.52112379710, 11153.95508826700, 7969.89616981451, 11592.68021906280
