Year, Baseline: Based on- IEA ETP 2016 6DS, Baseline: Based on- AMPERE MESSAGE-MACRO Reference, Baseline: Based on- AMPERE GEM E3 Reference, Baseline: Based on- AMPERE IMAGE/TIMER Reference, Conservative: Based on- IEA ETP 2016 4DS, Conservative: Based on- AMPERE MESSAGE-MACRO 550, Conservative: Based on- AMPERE GEM E3 550, Conservative: Based on- AMPERE IMAGE/TIMER 550, Conservative: Based on- Greenpeace 2015 Reference, Ambitious: Based on- IEA ETP 2016 2DS, Ambitious: Based on- AMPERE MESSAGE-MACRO 450, Ambitious: Based on- AMPERE GEM E3 450, Ambitious: Based on- AMPERE IMAGE/TIMER 450, Ambitious: Based on- Greenpeace Energy [R]evolution, 100% REN: Based on- Greenpeace Advanced [R]evolution
2022, 2086.58061020702, 2989.79763651440, 2649.17455466709, 2267.87929213969, 2037.88719155015, 2974.62254921062, 2578.56532065083, 2081.72884958889, 2439.07706420400, 1970.85620872201, 2933.50274540752, 2520.88211554228, 2052.31998035847, 2266.03845821846, 2246.33823375677
2023, 2156.11953378491, 3136.47335198864, 2744.40541126500, 2372.98190859797, 2097.38466896044, 3118.59746505376, 2678.80466713172, 2171.52058504516, 2532.50596275509, 2019.69314120310, 3078.50692973770, 2602.57912066305, 2129.17757862872, 2366.72691830728, 2384.65756852711
2024, 2225.72024084974, 3287.71552460401, 2841.66941088415, 2483.07629497147, 2156.92890192756, 3267.29130006388, 2781.85234857566, 2266.05934628851, 2627.89930682940, 2068.56124547886, 3229.42710229541, 2686.23841125924, 2209.31337534441, 2474.78933031933, 2537.48204557878
2025, 2295.33322002983, 3443.49702593486, 2941.25626326821, 2598.35853807191, 2216.47260518664, 3420.78168312086, 2887.78306181834, 2365.45044659760, 2736.64467235354, 2117.41589852701, 3386.43215491385, 2772.18490882032, 2292.90300958404, 2542.41139340427, 2627.26066789264
2026, 2370.80313314501, 3603.83502074207, 3043.49819093240, 2719.06007441551, 2283.97832099476, 3579.19122789817, 2996.71088522857, 2469.83100155136, 2823.92548031853, 2167.32577769326, 3549.73597202915, 2860.78447510540, 2380.15437134197, 2713.07824489752, 2886.14078274381
2027, 2446.28032585157, 3768.77949550984, 3148.75802271799, 2845.43881159890, 2351.48380192914, 3742.67603836061, 3108.77810474811, 2579.36149237653, 2924.31173094062, 2217.21571529248, 3719.58632103328, 2952.43217710534, 2471.29864680259, 2843.39816813373, 3081.78875210125
2028, 2521.76504372784, 3938.37057602215, 3257.39242877947, 2977.74697804127, 2418.98987580927, 3911.38330967981, 3224.11920416435, 2694.19646522278, 3026.12809652696, 2267.08810538868, 3896.22297072625, 3047.51758304152, 2566.56177130439, 2981.24134655998, 3291.53377518931
2029, 2597.26610702175, 4112.65907048326, 3369.76926638029, 3116.24673730585, 2486.50551013485, 4085.47175736298, 3342.87794404498, 2814.49872223628, 3129.26910531137, 2316.95273690299, 4079.89802282089, 3146.44108803612, 2666.17806627824, 3126.67052303478, 3515.29736168666
2030, 2672.79122415932, 4271.64553180875, 3540.18858182223, 3202.82778125552, 2554.03848902924, 4264.07963292648, 3483.26792864169, 2858.29785737528, 3213.14569061265, 2366.81797037032, 4281.11474562893, 3195.62413168564, 2713.92724546048, 3255.19451707773, 3650.04325339623
2031, 2760.50815269216, 4475.49743145024, 3607.20540168540, 3412.85380639168, 2633.60930338962, 4450.39790220762, 3591.19818550922, 3072.13826203372, 3339.07843332651, 2431.67229897127, 4469.34734562443, 3357.39068911689, 2879.39276914057, 3440.51392469512, 4004.53901766545
2032, 2848.25088657492, 4664.09961546740, 3732.97304558202, 3571.45794393927, 2713.20024814583, 4641.50880716001, 3721.01062706416, 3209.77280609607, 3445.49943993020, 2496.53581411535, 4675.58604517089, 3470.19420289423, 2993.43595416293, 3609.01682719856, 4269.81657974305
2033, 2936.03559533551, 4857.55199412829, 3863.93895011266, 3737.28402953786, 2792.82699138025, 4838.59519067078, 3854.78144770867, 3353.50222473434, 3552.79391499833, 2561.42348900775, 4889.84002553288, 3588.42714405101, 3112.75299923599, 3785.32786964920, 4548.76383960454
2034, 3023.88605116349, 5055.91569709940, 4000.49227632218, 3910.61256873855, 2872.51230744656, 5041.83097635045, 3992.66599774302, 3503.50224267255, 3660.87393980669, 2626.35655059594, 5112.38142584994, 3712.51199865730, 3237.59318979618, 3969.53015069222, 4841.32698676452
2035, 3111.81946477753, 5259.24228136929, 4143.01730348829, 4091.71918235500, 2952.27260905905, 5251.38167344517, 4134.81267940685, 3659.94342829724, 3769.64342003390, 2691.35013879713, 5343.47505174357, 3842.86723332541, 3368.20156031189, 4161.70007088901, 5147.44576782000
2036, 3197.96042837587, 5467.57270595862, 4291.89298505943, 4280.87369481292, 3028.32027541148, 5467.40333690685, 4281.36240437784, 3822.99042042156, 3878.99356738722, 2756.52809980170, 5583.37717913165, 3979.90694551770, 3504.81836533915, 4361.90168845775, 5467.04567177032
