year,Insulation (Residential Only),Cool Roofs,Green Roofs,High Performance Glass-Residential Model,High Performance Glass- Commercial Model,Dynamic Glass (Commercial Only),Building Automation (Commercial Only),Smart Thermostats (Residential Only),Heat Pumps,District Heat,Residential LED (Excludes Commercial LED),Commercial LED (Excludes Household LED),Water Saving - Home (WaSH),Solar Hot Water (SHW),Biogas for Cooking,Clean Cookstoves
2030,105602.75835694,11378306598.71770000,590165838.44204500,124074.91334730,33543.22831860,2705.02890534,34601.08112641,361.24351275,1553.87456974,617.41944940,17.72713289,72.47456031,82243.41486008,1092.99973640,266.85958615,5226.92947418
2031,109325.25714888,12461633306.46210000,663742710.22320800,129936.99761670,36348.14758808,3325.07412360,36413.37068989,402.10449461,1661.65809143,667.65142718,19.09777430,77.80954482,85686.06820627,1144.92732049,278.31360944,5272.85693963
2032,112989.56645620,13667698185.86010000,746062698.46001600,135580.85572108,39245.13497274,4034.11153223,38350.77211750,445.12730685,1735.85597677,718.65555772,20.46841570,83.14452933,89184.44450647,1195.88429553,289.76763273,5318.53565289
2033,116597.09159778,15005547442.12500000,837964114.93192400,141008.74950345,42154.96044562,4838.09630397,40413.10780390,490.31194950,1807.01850621,770.15307349,21.83905711,88.47951384,92703.63373671,1245.87066152,301.22165602,5363.95580446
2034,120149.23744293,16484358185.19430000,940353580.94552600,146231.24689527,45079.51632532,5140.35103312,42595.96594175,537.65842255,1875.34461234,821.86520700,23.20969852,93.81449835,96246.99267935,1294.88641846,312.67567930,5409.10821709
2035,123647.31969844,18113349730.35220000,1054210145.71690000,151258.34443129,48020.58871002,5187.90540277,44795.38358485,587.16672599,1894.67352800,873.51319073,24.58033992,99.14948286,99817.72998556,1342.93156636,324.12970259,5453.97973804
2036,127092.50499341,19901681683.34280000,1180589424.89570000,156099.43192768,50979.83739492,5234.79526388,47096.41033739,638.83685984,2004.28328506,924.81825717,25.95098133,104.48446737,103418.62898764,1390.00610520,335.58372588,5498.55298335
2037,130485.86575707,21858339284.31910000,1320627712.13343000,160763.37071392,53958.82095215,5280.98043295,49499.99449464,692.66882408,2065.29371684,975.50163881,27.32162274,109.81945189,107052.31337055,1436.11003500,347.03774917,5542.80433406
2038,133828.47147905,23992007013.81600000,1475546007.24490000,165258.60706996,56959.03537619,5326.42243414,51989.52497287,748.66261871,2124.26345570,1025.28456813,28.69226414,115.15443640,110721.63451166,1481.24335575,358.49177246,5586.70573227
2039,137121.33685848,26310932054.20970000,1646653894.17591000,169593.14143412,59981.89763988,5371.08703726,54550.06047404,806.81824375,2181.39143422,1073.88827763,30.06290555,120.48942091,114429.43800177,1525.40606745,369.94579575,5630.22546761
2040,140365.41092289,28822779831.38700000,1835353190.69834000,173774.53751874,62924.21821652,5414.92920635,57170.46648509,867.13569919,2223.74617337,1121.03399979,31.43354695,125.82440542,118122.53232693,1568.59817010,381.39981903,5673.33240212
2041,143561.64428027,31534484505.33750000,2043141279.57266000,177810.00855033,66100.84348171,5457.94171505,59844.24113053,929.61498502,2290.91784065,1166.44296711,32.80418836,131.15938993,121970.76295651,1610.81966371,392.85384232,5707.54289913
2042,146710.85948353,34452097899.38330000,2271614017.96481000,181706.30566402,69199.37821150,5500.05494796,62567.59239690,994.25610125,2343.71413375,1209.83641206,34.17482977,136.49437444,125809.78553861,1652.07054826,404.30786561,5741.43127738
2043,149813.68196249,38631788128.19350000,2650433350.44996000,185469.66595539,72325.48297083,5541.22594354,65333.71248397,1061.05904788,2395.46439689,1250.93556714,35.54547117,141.82935895,129697.40538868,1692.35082377,415.76188890,5774.97812527
2044,152870.62265823,42922656010.64130000,3046831862.58250000,189105.91137051,75480.22750232,5581.39815173,68124.16507090,1130.02382491,2446.36756269,1289.46166485,36.91611258,147.16434346,133635.93755704,1731.66049023,427.21591219,5808.16260990
2045,155882.21463342,47299869636.46460000,3460531473.89943000,192620.60075073,78664.61467347,5620.52395920,70901.76324171,1201.15043234,2507.61986197,1325.13593766,38.28675399,152.49932797,137627.62281594,1769.99954764,438.66993548,5840.96179094
2046,158849.15486399,51735311811.01850000,3891041978.34839000,196019.18627925,81879.60543587,5658.56001335,73611.34034855,1274.43887016,2546.42833259,1357.67961806,39.65739539,157.83431248,141674.66642019,1807.36799600,450.12395876,5873.34966378
2047,161772.13952808,56197713097.77830000,4337631046.01418000,199306.86268433,85126.07716762,5695.48397397,76191.02820959,1349.88913839,2595.98380189,1386.81393855,41.02803680,163.16929699,145779.17640988,1843.76583532,461.57798205,5905.29869087
2048,164651.67471730,60652858137.67500000,4799292209.84521000,202488.39116126,88404.80462357,5731.29566262,78588.21303446,1427.50123701,2645.48790421,1412.26013161,42.39867821,168.50428150,149943.11939757,1879.19306558,473.03200534,5936.78044263
2049,167488.21272243,65063864196.74860000,5274710998.75470000,205568.24820079,91716.48926491,5766.00885216,80770.21815864,1507.27516603,2695.13957216,1433.73942973,43.76931961,173.83926602,154168.36189427,1913.64968680,484.48602863,5967.76416096
2050,170282.24360251,69391527963.15810000,5762229451.34239000,208550.72906642,95130.87174382,5798.94337476,82739.30508866,1589.21092544,2769.50263249,1450.97306540,45.13996102,179.17425053,158493.18733178,1947.13569897,495.94005192,5998.21530358
2051,173034.54193295,73594733669.45770000,6259809327.06966000,211440.20584795,98441.48545868,5832.12483237,84370.90770314,1673.30851526,2795.68133529,1463.68227110,46.51060243,184.50923504,162810.47398129,1979.65110209,499.01188391,6028.04921605
2052,175745.78381157,77630912843.25720000,6764994423.46243000,214240.75520062,101856.19681868,5863.46740145,85800.21280339,1759.56793548,2846.96929567,1471.58827934,47.88124383,189.84421955,167230.75659091,2011.19589616,502.08371591,6057.45755223
2053,178416.25833707,81456543576.52690000,7274872507.67899000,216955.88001306,105306.54617879,5893.61641529,87028.23352348,1847.98918609,2899.20055205,1474.41232259,48.24183608,195.17920406,171719.51595200,2041.77008118,505.15554791,6086.40975656
2054,181046.13585948,85027675321.55910000,7786037476.75144000,219588.78733095,108793.09347577,5922.52850513,88073.45525999,1938.57226710,2952.57403703,1471.87563334,48.47211232,200.51418857,176278.23820783,2071.37365716,508.22737990,6114.87186497
2055,183635.81816417,88300464006.87430000,8294552470.39535000,222142.74772375,112316.39158305,5950.16214811,88955.44892930,2031.31717851,3017.07689899,1463.69944408,48.69651209,205.84917308,180908.45490220,2100.00662409,511.29921190,6142.80748041
2056,186185.98839997,91231701808.26380000,8795914770.02812000,224621.15393002,115876.99142541,5976.48632142,89694.16011997,2126.22392032,3063.54342316,1449.60498731,48.91503538,211.18415759,185611.85026928,2127.66898196,514.37104389,6170.17902526
2057,188697.74225839,93779326240.73920000,9285023423.17909000,227027.66031142,119475.45661798,6001.47003255,90309.18696989,2223.29249252,3121.53718950,1429.31349551,49.12768219,216.51914210,190390.18326507,2154.36073079,517.44287589,6196.94819500
2058,191172.44084067,95902894328.17710000,9756150628.54640000,229366.04357455,123112.35289107,6025.07092029,90819.07686610,2322.52289512,3181.46891482,1402.54620116,49.33445251,221.85412661,195245.13968850,2180.08187058,520.51470789,6223.07567134
2059,193611.68748673,98589930794.76950000,10269621203.90930000,231640.18705574,126788.24649151,6047.24348825,91240.76088451,2423.91512813,3243.53753171,1369.02433676,49.53534636,227.18911112,200178.41804480,2204.83240131,523.58653988,6248.52244533
2060,196016.99395096,101216279964.08300000,10806740782.11130000,233853.75397391,130486.56599165,6068.28790913,91589.20573920,2527.46919153,3292.79904062,1328.46913479,49.73036372,232.52409563,205182.77141647,2228.61232299,526.65837188,6273.24988557
