year,Insulation (Residential Only),Cool Roofs,Green Roofs,High Performance Glass-Residential Model,High Performance Glass- Commercial Model,Dynamic Glass (Commercial Only),Building Automation (Commercial Only),Smart Thermostats (Residential Only),Heat Pumps,District Heat,Residential LED (Excludes Commercial LED),Commercial LED (Excludes Household LED),Water Saving - Home (WaSH),Solar Hot Water (SHW),Biogas for Cooking,Clean Cookstoves
2030,100473.96367879,8801433935.62057000,471310665.77013500,97090.55727019,28936.83293054,1832.22090063,31634.59934039,303.20000000,895.07610397,450.75098171,16.83621261,65.00896654,72813.53493417,608.24275604,203.73333843,3621.73440352
2031,103868.98089709,9372431451.75410000,517352610.39210000,101806.65944620,31532.35248955,2218.85353263,32801.15170725,340.25333333,943.93344241,483.59734699,18.13261066,69.72181823,75660.19704494,618.94683276,209.92684108,3712.39856608
2032,107219.23918171,9995505199.84595000,567587829.66806300,106430.26414546,34242.26973695,2657.65145156,34003.29675284,379.46000000,980.05489373,511.72101752,19.42900871,74.43466993,78574.43945383,629.65090949,216.12034372,3803.06272864
2033,110525.76514581,10673615967.17730000,622306975.94069300,110955.65337659,36986.14472647,3055.30900917,35240.24256665,420.82000000,1014.70685717,540.18890931,20.72540675,79.14752163,81527.57878097,640.35498621,222.31384637,3893.72689121
2034,113789.59428859,11409821879.46170000,681818186.83198300,115385.67238331,39764.49022497,3084.21061987,36509.97236002,464.33333333,1047.94605727,568.91396420,22.02180480,83.86037332,84521.44340641,651.05906293,228.50734902,3984.39105377
2035,117011.68206749,12207274546.76450000,746447946.69350000,119723.03161624,42577.79065462,3112.74324166,37713.95593425,510.00000000,1059.23195328,603.86581883,23.31820285,88.57322502,87557.80163510,661.76313965,234.70085166,4075.05521634
2036,120192.84377282,13069214255.49620000,816541971.47029100,123970.24819299,45426.47787189,3140.87715833,38945.24053280,557.82000000,1110.41306570,626.78733061,24.61460090,93.28607672,90638.13682666,672.46721638,240.89435431,4165.71937890
2037,123333.80920010,13998964139.49520000,892466115.21961500,128129.70211099,48310.95232255,3168.58825977,40214.25958948,607.79333333,1139.75432313,655.76152578,25.91099895,97.99892841,93763.85576016,683.17129310,247.08785695,4256.38354146
2038,126435.31370941,14999923266.52700000,974607296.12862500,132203.72880371,51231.61796512,3195.85346048,41513.70744507,659.92000000,1167.90971543,684.64465137,27.20739700,102.71178011,96936.59558172,693.87536982,253.28135960,4347.04770403
2039,129498.04617791,16075558581.30580000,1063374439.43502000,136194.56854778,54188.86229727,3222.65222236,42835.74278348,714.20000000,1194.93596717,713.34964922,28.50379505,107.42463181,100158.03585062,704.57944655,259.47486224,4437.71186659
