year,"Calculated  from 2 sources - World Bank (2015) The State of the global Clean and Improved Cooking Sector, https://openknowledge.worldbank.org/bitstream/handle/10986/21878/96499.pdf AND Daioglou, V., Van Ruijven, B. J., & Van Vuuren, D. P. (2012). Model projections for household energy use in developing countries. Energy, 37(1), 601-615.","Calculated  from 2 sources - REN21 (2015) Renewables 2015 - Global Status Report, http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf AND Daioglou, V., Van Ruijven, B. J., & Van Vuuren, D. P. (2012). Model projections for household energy use in developing countries. Energy, 37(1), 601-615.", Drawdown Summation: Regional Sum , IEA (2013) , Interpolated using IEA 2006 , [Source 3 - Conservative] , [Source 1 - Ambitious] , [Source 2 - Ambitious] , [Source 3 - Ambitious] , [Source 1 - Maximum] , [Source 2 - Maximum] 
2028,"6,452.26267816 ","4,350.64129511 ","5,389.75212334 ","9,370.49147346 ","12,237.95099458 ",,,,,,
2029,"6,515.42181443 ","4,393.66037720 ","5,454.62708576 ","9,350.86648552 ","12,482.01526464 ",,,,,,
2030,"6,578.58095071 ","4,436.67945928 ","5,519.20632137 ","9,331.26121589 ","12,715.40743926 ",,,,,,
2031,"6,633.32089029 ","4,474.14439348 ","5,575.31694705 ","9,311.68357449 ","12,934.13495021 ",,,,,,
2032,"6,688.06082987 ","4,511.60932768 ","5,631.17882055 ","9,292.14258606 ","13,133.98311910 ",,,,,,
2033,"6,742.80076946 ","4,549.07426188 ","5,686.78213236 ","9,272.65454578 ","13,310.64856074 ",,,,,,
2034,"6,797.54070904 ","4,586.53919608 ","5,742.11770522 ","9,253.23739951 ","13,459.83588710 ",,,,,,
2035,"6,852.28064863 ","4,624.00413028 ","5,797.17238642 ","9,233.90468820 ","13,577.39447571 ",,,,,,
2036,"6,907.02058821 ","4,661.46906448 ","5,851.92879195 ","9,214.65846331 ","13,659.47844762 ",,,,,,
2037,"6,961.76052779 ","4,698.93399868 ","5,906.36330290 ","9,195.49952067 ","13,702.70749754 ",,,,,,
2038,"7,016.50046738 ","4,736.39893288 ","5,960.44786135 ","9,176.43683849 ","13,704.32980272 ",,,,,,
2039,"7,071.24040696 ","4,773.86386708 ","6,014.15075693 ","9,157.47983009 ","13,662.37098749 ",,,,,,
2040,"7,125.98034654 ","4,811.32880128 ","6,067.44085168 ","9,138.63163429 ","13,575.75913988 ",,,,,,
2041,"7,170.78259767 ","4,842.19860284 ","6,111.83450892 ","9,119.89006505 ","13,444.41842059 ",,,,,,
2042,"7,215.58484880 ","4,873.06840440 ","6,155.90604741 ","9,101.24278216 ","13,269.26354918 ",,,,,,
2043,"7,260.38709993 ","4,903.93820596 ","6,199.63605553 ","9,082.66897328 ","13,052.15028301 ",,,,,,
2044,"7,305.18935105 ","4,934.80800752 ","6,243.00370040 ","9,064.14205299 ","12,795.81800244 ",,,,,,
2045,"7,349.99160218 ","4,965.67780908 ","6,285.98604167 ","9,045.63850742 ","12,503.78871043 ",,,,,,
2046,"7,394.79385331 ","4,996.54761064 ","6,328.55707475 ","9,027.14339895 ","12,180.22009859 ",,,,,,
2047,"7,439.59610444 ","5,027.41741220 ","6,370.68926207 ","9,008.64524320 ","11,829.70885210 ",,,,,,
2048,"7,484.39835557 ","5,058.28721376 ","6,412.35417408 ","8,990.12757904 ","11,457.08131507 ",,,,,,
2049,"7,529.20060669 ","5,089.15701532 ","6,453.52105265 ","8,971.57374616 ","11,067.22587993 ",,,,,,
2050,"7,574.00285782 ","5,120.02681688 ","6,494.15535550 ","8,952.96672796 ","10,664.93070073 ",,,,,,
2051,"7,608.29296082 ","5,143.86834744 ","6,526.72159150 ","8,934.29977374 ","10,254.75634389 ",,,,,,
2052,"7,642.58306382 ","5,167.70987801 ","6,558.86225121 ","8,915.55723478 ","9,840.91288313 ",,,,,,
2053,"7,676.87316682 ","5,191.55140857 ","6,590.54677908 ","8,896.70409214 ","9,427.17874830 ",,,,,,
2054,"7,711.16326982 ","5,215.39293913 ","6,621.74121102 ","8,877.69886818 ","9,016.86892432 ",,,,,,
2055,"7,745.45337282 ","5,239.23446969 ","6,652.40914999 ","8,858.51302860 ","8,612.83145983 ",,,,,,
2056,"7,779.74347582 ","5,263.07600025 ","6,682.51301837 ","8,839.13862569 ","8,217.44838037 ",,,,,,
2057,"7,814.03357882 ","5,286.91753081 ","6,712.01451164 ","8,819.58425966 ","7,832.66230544 ",,,,,,
2058,"7,848.32368182 ","5,310.75906137 ","6,740.87431152 ","8,799.86074948 ","7,460.00243196 ",,,,,,
2059,"7,882.61378482 ","5,334.60059194 ","6,769.05340903 ","8,779.98625942 ","7,100.61934804 ",,,,,,
2060,"7,916.90388782 ","5,358.44212250 ","6,796.51317281 ","8,759.97873341 ","6,755.31489102 ",,,,,,
