year,Insulation (Residential Only),Cool Roofs,Green Roofs,High Performance Glass-Residential Model,High Performance Glass- Commercial Model,Dynamic Glass (Commercial Only),Building Automation (Commercial Only),Smart Thermostats (Residential Only),Heat Pumps,District Heat,Residential LED (Excludes Commercial LED),Commercial LED (Excludes Household LED),Water Saving - Home (WaSH),Solar Hot Water (SHW),Biogas for Cooking,Clean Cookstoves
2030,117459.26952537,30869489335.56050000,4659033214.86174000,150695.79707635,38111.46346759,3796.03891122,45114.23617822,533.50630288,1831.61528236,726.19869858,18.61805317,76.20735720,91521.50932975,1967.85240164,307.53449219,5182.94646316
2031,121849.92870350,36266271608.15000000,6090182592.48816000,156945.61316144,40999.02470334,4707.84986232,47202.01649887,640.39626683,1962.32758746,794.75552995,20.06293794,81.85340811,95320.46405113,2059.41687358,321.86891377,5226.12499041
2032,126141.87647099,42097655253.30650000,7808021800.31038000,162820.56562865,43949.94792206,5754.68663308,49310.87598427,761.14208928,2052.88753891,863.97439147,21.50782270,87.49945903,99148.49468152,2144.89265940,336.20333535,5269.05476549
2033,130338.14334681,48256427386.92010000,9800714914.08267000,168341.47704451,46888.09406212,6945.77539667,51440.81463442,894.84337764,2139.73879262,932.92977168,22.95270746,93.14550995,102966.20602209,2224.27975911,350.53775693,5311.72597887
2034,134441.70245347,54627866634.41420000,12031995141.15890000,173535.94093784,49818.46967048,7710.52654968,53591.83244932,1039.55270830,2223.12413905,1000.71013578,24.39759223,98.79156087,106780.76683167,2297.57817270,364.87217851,5354.12945331
2035,138455.38267637,61101625860.75970000,14444475039.99730000,178429.31841999,52745.67268463,7781.85810416,55763.92942897,1192.22393802,2247.00149029,1066.46531917,25.84247699,104.43761179,110598.83699509,2364.78790018,379.20660009,5396.25203608
2036,142381.81056136,67581165144.35100000,16968057505.58830000,183044.85069336,55673.89920379,7852.19289583,57957.10557337,1348.84107091,2380.46827190,1129.44724814,27.28736175,110.08366270,114426.26142512,2425.90894155,386.97784693,5444.68477812
2037,146223.46694775,73989472841.48240000,19530946365.42100000,187403.87253961,58606.99314092,7921.47064942,60171.36088252,1504.75395376,2454.91263926,1189.04008038,28.73224652,115.72971362,118268.42309073,2480.94129681,394.74909377,5492.79562558
2038,149982.77992798,80270987798.98590000,22069803941.12020000,191526.04948281,61548.50734823,7989.63365120,62406.69535641,1655.18540069,2526.86226119,1244.77766885,30.17713128,121.37576454,122130.73740459,2529.88496595,402.52034061,5540.55652054
2039,153662.07464203,86390489744.50870000,24536380612.69830000,195429.46015048,64501.70773462,8056.63055589,64639.27852743,1795.80712097,2596.55992816,1296.34820700,31.62201604,127.02181546,126018.38703799,2572.73994898,410.29158745,5587.93575262
2040,157263.56398926,92330087934.24210000,26899750368.27290000,199130.70884951,67365.06459011,8122.39380953,66789.42056296,1923.24357818,2647.80323064,1343.58758475,33.06690081,132.66786638,129868.44449578,2609.50624590,418.06283430,5634.90218388
2041,160789.41742266,98085388843.57520000,29144938629.18420000,202645.10638077,70454.91217753,8186.91257258,68939.56259849,2035.37980972,2730.17055906,1386.46409553,34.51178557,138.31391729,133888.81927258,2640.18385670,425.83408114,5672.97217763
2042,164241.63280629,103661649596.45100000,31269502383.59840000,205986.64486384,73460.18694216,8250.08242194,71089.70463401,2131.41724614,2794.56910392,1425.05759703,35.95667033,143.95996821,137879.98248060,2664.77278139,433.60532798,5710.72005262
2043,167621.96879271,110729891825.98000000,33836592104.12020000,209168.02475527,76487.73925701,8311.83891531,73239.84666954,2211.70576629,2857.68685567,1459.53612499,37.40155510,149.60601913,141913.80118480,2683.27301996,441.37657482,5748.12639725
2044,170932.02885655,117157359944.32400000,36151408002.18530000,212200.82586563,79539.69992689,8372.09722759,75389.98870507,2277.43914005,2919.76660478,1490.13246553,38.84643986,155.25207005,145993.96142223,2681.27411683,449.14782166,5785.17037864
2045,174173.39925934,122937244493.20200000,38214143127.77160000,215095.72526551,82618.01611330,8430.78593880,77540.13074060,2330.31435348,2994.20836340,1517.12251006,40.29132462,160.89812097,150123.93362697,2675.52672007,456.91906851,5821.82905641
2046,177347.79215240,128070487272.31600000,40030102422.86400000,217862.71385316,85724.48722927,8487.84002002,79690.27277613,2372.23134806,3041.78325693,1540.80651493,41.73620939,166.54417188,154307.03158657,2669.41768115,464.69031535,5858.07642600
2047,180456.88213509,132562830264.32700000,41607145206.27100000,220511.00042161,88860.73326287,8543.22596095,81840.41481166,2405.07137319,3102.20574089,1561.49377906,43.18109415,172.19022280,158546.34814437,2662.99331881,472.46156219,5893.88494983
2048,183502.11819461,136422682747.51800000,42953995284.19020000,223048.88563038,92028.18483426,8596.94349393,83990.55684719,2430.55916565,3162.56138406,1579.49078924,44.62597891,177.83627372,162844.71203995,2656.29995181,480.23280903,5929.22619835
2049,186484.86118095,139659645560.77300000,44079215971.62170000,225483.95647567,95228.12083164,8649.01327824,86140.69888272,2450.19489917,3223.09297691,1595.09257496,46.07086368,183.48232464,167204.74813617,2649.38389889,488.00405587,5964.06941342
2050,189406.47652710,142283537051.31800000,44990652767.41940000,227823.23137443,98530.78846947,8698.41506214,88290.84091824,2465.23529734,3313.81190743,1608.57684169,47.51574844,189.12837556,171673.13621759,2642.29147882,495.77530272,5998.38005279
2051,192268.58211123,144303786701.71800000,45695182865.94540000,230073.45613168,101730.16374632,8748.18724856,90240.44333378,2476.70463752,3345.65517350,1620.20038354,47.76365413,194.77442647,176119.79989292,2635.06901033,495.77530272,6030.94628878
2052,195072.66634110,145729088682.48900000,46198652949.08090000,232240.76621400,105034.49799835,8795.20110217,92187.13646143,2485.42097146,3408.17135816,1630.19727890,48.00568334,200.42047739,180679.85524365,2627.76281218,495.77530272,6063.08694850
2053,197819.80067618,146567232770.72700000,46505923715.08990000,234330.43986010,108375.66456137,8840.42462294,94130.92030120,2492.02784728,3471.83465436,1638.77841843,48.24183608,206.06652831,185311.05692631,2620.41920312,495.77530272,6094.77147636
2054,200510.90888817,146825051673.24200000,46620968099.22970000,236347.20461922,111754.50962018,8883.79275769,96071.79485308,2497.02584743,3536.88785255,1646.13198051,48.47211232,211.71257923,190015.26501416,2613.08450190,495.77530272,6125.96590830
2055,203147.11822256,146508441108.68000000,46546990449.63900000,238295.62274650,115171.83030670,8925.24322217,98009.76011708,2500.80106769,3615.85992967,1652.42454210,48.69651209,217.35863015,194686.40942735,2605.80502728,495.77530272,6156.63384727
2056,205729.81027276,145622422272.46600000,46286547626.91660000,240180.17351262,118628.38412844,8964.72948213,99944.81609319,2503.64941657,3672.13511678,1657.80258109,48.91503538,223.00468106,199409.34782832,2598.62709799,495.77530272,6186.73771566
2057,208260.75307483,144171226142.33900000,45841661845.37370000,242005.41416100,122124.90752816,9002.20504883,101876.96278142,2505.79660359,3742.81476374,1662.39418727,49.12768219,228.65073198,204219.29855518,2591.59703280,495.77530272,6216.23920893
2058,210741.95486045,142158386177.23100000,45213920556.32700000,243775.86015807,125662.10887067,9037.60638044,103806.20018176,2507.41417749,3815.85547456,1666.31084981,49.33445251,234.29678290,209117.53462451,2584.76115045,495.77530272,6245.09900880
2059,213175.64174319,142202876542.54300000,45225592980.69510000,245495.98720238,129240.67007786,9070.86523238,105732.52829421,2508.63217224,3891.50003969,1669.64922924,49.53534636,239.94283382,214105.36828274,2578.16576970,495.77530272,6273.27810632
2060,215563.92472386,142238128517.54200000,45234396030.01610000,247169.92055414,132844.11137195,9102.43186369,107655.94711878,2509.54895456,3951.35856425,1672.49285380,49.73036372,245.58888474,219173.61047071,2571.85720929,495.77530272,6300.73787010
