year,Insulation (Residential Only),Cool Roofs,Green Roofs  ,High Performance Glass-Residential Model,High Performance Glass- Commercial Model,Dynamic Glass (Commercial Only),Building Automation (Commercial Only),Smart Thermostats (Residential Only),"Heat Pumps
",District Heat,Water Saving - Home (WaSH),Solar Hot Water (SHW),Biogas for Cooking,Clean Cookstoves
2036,8801220.17892806,-56187.48413963,11374.58018106,3158101.77585488,1004917.27464828,63329.25799087,903699.10752841,1444357.63853764,5017728.89605578,1090783.98202201,438242.11145968,4333922.40702072,1823280.61310475,16121694.92026120
2037,9210903.92027358,-64090.93944412,13226.03618275,3276170.82320784,1065881.06372960,63887.94309752,988519.37717394,1575652.37985612,5197098.95001280,1162025.37103228,464915.27679854,4533062.59333113,1924537.75327565,16120330.49331350
2038,9613425.02002341,-72741.55795950,15289.85838256,3389677.80910285,1127301.48902552,64437.55055148,1076760.42357644,1712355.23685654,5370485.24830867,1232003.09977752,492138.48257737,4727820.32903212,2025794.89344658,16116360.17433630
2039,10008926.67432010,-82174.15120373,17584.73705040,3498839.08188285,1189209.02697029,64977.66223754,1167827.56339782,1854466.20953891,5538471.10459503,1300325.95661658,519955.64945798,4918195.61412998,2127052.03361752,16109547.83470000
2040,10397542.81161430,-92421.07508924,20130.67880947,3603859.17992093,1249384.26394836,65507.72805008,1261277.62835589,2001985.29790322,5663138.60880205,1366602.72990830,547545.78571154,5104188.44862261,2228309.17378845,16099661.60827240
2041,10779407.58339200,-103511.59884083,22949.05417830,3704933.16373062,1314598.95631058,66027.65972038,1356851.83524324,2154912.50194948,5860574.74574568,1430442.20801152,577530.39456646,5285798.83250791,2329566.31395935,16023528.80427230
2042,11154637.06978090,-115471.26732297,26062.63909370,3802243.59792141,1378134.06739116,66536.60690983,1454399.25693058,2313247.82167768,6015859.15791324,1491453.17928510,607372.88054764,5463026.76579219,2430823.45413028,15944997.36985490
2043,11523319.53254690,-132758.18678307,31321.95772491,3895959.14641503,1442262.15821370,67034.04485141,1553648.93400370,2476991.25708782,6168076.38267779,1549244.43208787,637965.44773697,5635872.24846704,2532080.59430122,15863922.75818940
2044,11885527.07660490,-150514.38929135,36832.16490265,3986237.24663335,1507006.23694048,67519.28279711,1653867.07661498,2646142.80817990,6317809.73369094,1603424.75477867,669343.82809652,5804335.28054087,2633337.73447211,15780149.83890170
2045,12241334.92870240,-168635.05886944,42589.29188634,4073228.22110488,1572387.87337459,67991.73915921,1753573.59653616,2820702.47495393,6497888.99580161,1653602.93571637,701542.60713369,5968415.86200526,2734594.87464305,15693507.78857170
2046,12590841.44732080,-187001.51228939,48586.34249720,4157079.50810245,1638427.73578620,68450.88439401,1850572.78853554,3000670.25740990,6612158.06906959,1699387.76325979,734595.82215659,6128113.99286862,2835852.01481398,15603802.96620650
2047,12934144.87835620,-205481.76064869,54812.86498539,4237931.58378544,1705144.69493653,68896.44562018,1942402.21750127,3186046.15554781,6757939.68073833,1740388.02576779,768536.00999942,6283429.67312256,2937109.15498488,15510830.31564790
2048,13271316.64235570,-223931.38024820,61254.49513933,4315913.20068910,1772555.41435254,69328.42065809,2026967.78529083,3376830.16936767,6903570.67326219,1776212.51159921,803393.52461419,6434362.90277548,3038366.29515581,15414378.13851770
2049,13602420.56739460,-242194.68834728,67892.47294025,4391145.41235071,1840674.98115168,69746.97774055,2102968.91762425,3573022.29886947,7049634.36029280,1806470.00911289,839197.17492127,6580913.68181896,3139623.43532675,15314217.39704980
2050,13927525.81147670,-260106.20700068,74703.13610501,4463744.37154901,1911003.38625301,70143.80874835,2170495.62543972,3774622.54405321,7268157.22633877,1830769.30666769,876537.85180779,6723082.01026142,3240880.57549765,15210090.87511820
2051,14246741.68405920,-277492.38575070,81657.39503920,4533828.30860427,1979099.91942759,70543.65601986,2224590.01306602,3981630.90491890,7345393.07248073,1848719.19262243,913762.17023522,6860867.88809654,3258076.39115217,15101368.20046280
2052,14560163.59726690,-294173.54224368,88720.19503145,4601507.46467754,2049435.39814575,70921.04162145,2270632.69322189,4194047.38146653,7496254.72494131,1859928.45533598,952576.19395738,6994271.31532644,3275272.20680670,14989476.50766450
2053,14867832.34921920,-309965.96965550,95849.97294403,4666876.56509778,2120537.38355499,71283.84817532,2308663.98997734,4411871.97369610,7649882.32651513,1864005.88316717,992447.13150645,7123292.29195111,3292468.02246122,14874188.26718340
2054,15169771.98001830,-324684.15186557,102998.11716708,4730022.33499073,2192417.91884722,71631.54594031,2339419.64645949,4635104.68160761,7806859.19085383,1860560.26447484,1033397.92096520,7247930.81797056,3309663.83811574,14755250.56838780
2055,15466039.19032640,-338143.02219157,110108.44116774,4791033.21729644,2265088.89529513,71963.62772276,2363678.61091320,4863745.50520107,7996469.80995567,1849200.38761785,1075452.20115645,7368186.89338688,3326859.65377027,14632392.38376070
2056,15756730.38732040,-350160.19956330,117116.68253200,4850000.95865892,2338562.16225998,72279.71458492,2382234.74402946,5097794.44447647,8133193.96243234,1829535.04095504,1118635.96762405,7484060.51819587,3344055.46942478,14505333.89472480
2057,16042000.19693150,-360558.13740983,123950.04090302,4907024.38055010,2412849.84204824,72579.42795932,2395868.07750486,5337251.49943382,8303718.49697541,1801173.01284525,1162976.36921591,7595551.69239963,3361251.28507931,14373789.86976780
2058,16322040.70018410,-369166.12513876,130526.76959113,4962205.61290133,2487964.10246054,72862.25041186,2405316.82176868,5582116.67007311,8479925.54888985,1763723.09164733,1208499.42562740,7702660.41600027,3378447.10073383,14237467.52862890
2059,16597078.16325170,-380152.52390512,137707.81922971,5015649.66913160,2563917.12240620,73127.62621290,2411254.85593832,5832389.95639433,8662398.43182729,1716794.06572012,1255231.35267043,7805386.68899358,3395642.91638836,14096076.39434530
2060,16867325.92760110,-390882.76040396,145226.38541160,5067455.61023184,2640352.48148762,73379.22191419,2414277.87494364,6088071.35839751,8807318.08769598,1659994.72342247,1303060.29680173,7903730.51138166,3412838.73204288,13949328.80156020
