year,Lighting Demand - Residential - Case 1 - Average,Lighting Demand - Residential - Case 2 - High,Lighting Demand - Residential - Case 3 - Low,Lighting Demand - Residential - IEA 2006 per capita ratio of lighting demand,"Lighting Demand - Residential - IEA 2006 exponential fit between GDP, Population, and Lighting Demand",Lighting Demand- Residential - [Case 6],Lighting Demand - Commercial - Case 1 - Average,Lighting Demand - Commercial - Case 2 - High,Lighting Demand - Commercial - Case 3 - Low,Lighting Demand - Commercial -  IEA 2006 per capita ratio of lighting demand,Lighting Demand - Commercial - [Case 5],Lighting Demand - Commercial - [Case 6],Lighting Demand - Total - Case 1 - Average,Lighting Demand - Total - Case 2 - High,Lighting Demand - Total - Case 3 - Low,Lighting Demand - Total - IEA 2006 per capita ratio of lighting demanded,Lighting Demand - Total - [Case 5],Lighting Demand - Total - [Case 6]
2037,43.58986575,76.02769483,11.15203666,177.77800023,29.63554514,,133.17495330,175.12572994,91.22417666,113.17160163,,,176.76481905,251.15342477,102.37621333,290.94960186,,
2038,43.90082668,76.57006042,11.23159295,181.55896471,30.37549140,,137.73943260,181.12804306,94.35082215,114.69883346,,,181.64025929,257.69810348,105.58241510,296.25779817,,
2039,44.20896860,77.10750919,11.31042801,185.37055194,31.13469022,,142.38774969,187.24060328,97.53489609,116.21392596,,,186.59671829,264.34811247,108.84532411,301.58447790,,
2040,44.51433878,77.64012361,11.38855396,189.21184021,31.89486699,,146.93409658,193.21907220,100.64912097,117.71614250,,,191.44843537,270.85919581,112.03767493,306.92798270,,
2041,44.81698766,78.16799163,11.46598368,193.08212760,32.71342993,,151.93561142,199.79608923,104.07513361,119.20490160,,,196.75259908,277.96408086,115.54111729,312.28702921,,
2042,45.11694296,78.69116164,11.54272429,196.98052778,33.53434326,,156.83494343,206.23873534,107.43115152,120.67952385,,,201.95188639,284.92989698,118.97387581,317.66005162,,
2043,45.41419600,79.20961846,11.61877354,200.90563058,34.37724992,,161.81767234,212.79104879,110.84429589,122.13902962,,,207.23186834,292.00066725,122.46306943,323.04466020,,
2044,45.70871797,79.72331186,11.69412408,204.85577996,35.24292198,,166.88360959,219.45278162,114.31443756,123.58231876,,,212.59232756,299.17609348,126.00856164,328.43809872,,
2045,46.00048707,80.23220382,11.76877032,208.82943831,36.13217879,,172.03257398,226.22369555,117.84145240,125.00839402,,,218.03306105,306.45589938,129.61022273,333.83783233,,
2046,46.28951664,80.73631760,11.84271568,212.82544647,37.04588660,,177.26441466,233.10359223,121.42523709,126.41651225,,,223.55393130,313.83990983,133.26795278,339.24195871,,
