year,Insulation (Residential Only),Cool Roofs,Green Roofs  ,High Performance Glass-Residential Model,High Performance Glass- Commercial Model,Dynamic Glass (Commercial Only),Building Automation (Commercial Only),Smart Thermostats (Residential Only),"Heat Pumps
",District Heat,Residential LED (Excludes Commercial LED),Commercial LED (Excludes Household LED),Water Saving - Home (WaSH),Solar Hot Water (SHW)
2025,-120.28243485,-7.53958391,-0.07295578,-34.49069363,-29.80340634,-3.91875044,118.45662583,45.31811000,108.75454318,145.92377859,-269.52955893,170.98869442,9.05359797,-91.31236731
2026,-136.22793100,-9.63696929,-0.11058500,-38.68321241,-34.24804354,-5.42663167,139.13620242,55.77704890,109.39737808,171.71666306,-308.03378164,195.17483750,10.32351498,-103.49368588
2027,-151.87861503,-12.06899432,-0.15503198,-42.71671028,-38.75218995,-7.27278190,161.56621240,65.81944069,120.12479688,198.83118567,-346.53800434,219.30152113,11.59664108,-115.45917812
2028,-167.24153283,-14.86641386,-0.20699321,-46.59852081,-43.31969148,-9.49121962,185.96126135,76.56521152,130.38494886,227.09724883,-385.04222705,243.36899325,12.87531868,-127.20884402
2029,-182.32393295,-18.06156794,-0.26722680,-50.33568795,-47.95426462,-12.11596332,212.52438444,88.01436138,140.20089958,256.34475491,-423.54644975,267.37750182,14.16163703,-138.74268359
2030,-197.13272949,-21.68826456,-0.33655693,-53.93491172,-52.78005522,-15.18103151,241.43209682,100.16689028,146.07658022,286.40360631,-462.05067246,291.32729479,15.48968653,-150.06069682
2031,-211.67393779,-25.78161992,-0.41587852,-57.40248352,-57.43678403,-18.72044267,272.81751634,113.02279821,158.59245938,317.10370541,-500.55489516,315.21862012,16.76622197,-161.16288373
2032,-225.95335901,-30.37785218,-0.50616208,-60.73406000,-62.25466830,-22.76821530,306.75306889,126.58208518,167.21419957,348.27495460,-539.05911787,339.05172577,18.08903419,-172.04924429
2033,-239.97731548,-35.51402501,-0.60845867,-63.93105071,-67.09502429,-27.35836790,343.23513439,140.84475118,175.48400069,379.74725628,-577.56334057,362.82685967,19.42913114,-182.71977853
2034,-253.75212754,-41.22773841,-0.72390500,-67.00004142,-71.96116428,-29.08242381,382.17378774,155.81079622,183.42492829,411.35051282,-616.06756328,386.54426980,20.78930055,-193.17448643
2035,-267.28371440,-47.55676533,-0.85372857,-69.94726182,-76.85621467,-29.35152228,421.44997056,171.48022029,185.68480025,442.91462663,-654.57178598,410.20420409,22.17220714,-203.41336800
2036,-280.57732455,-54.53863405,-0.99925291,-72.77856352,-81.78308074,-29.61682478,462.79723392,187.85302340,198.41242512,474.26950008,-693.07600869,433.80691051,23.58016241,-213.43642324
2037,-293.63778273,-62.21015847,-1.16190267,-75.49946876,-86.74449061,-29.87810179,506.23490675,204.92920554,205.50512545,505.24503558,-731.58023139,457.35263701,25.01534528,-223.24365214
2038,-306.46990043,-70.60692022,-1.34320873,-78.11524113,-91.74306286,-30.13513350,551.42440827,222.70876672,212.36121446,535.67113550,-770.08445410,480.84163153,26.48012375,-232.83505471
2039,-319.07824265,-79.76270925,-1.54481302,-80.63086640,-96.78127775,-30.38772439,598.06119264,241.19170693,219.00375769,565.37770224,-808.58867680,504.27414205,27.97686105,-242.21063094
2040,-331.46707896,-89.70893198,-1.76847312,-83.05105815,-101.67851296,-30.63561717,645.91830704,260.37802617,223.93339466,594.19463818,-847.09289951,527.65041650,29.46138268,-251.37038084
2041,-343.64068600,-100.47399871,-2.01606641,-85.38031157,-106.98587366,-30.87877059,694.86322489,280.26772445,231.74046904,621.95184571,-885.59712221,550.97070284,31.07474189,-260.31430441
2042,-355.60276436,-112.08270469,-2.28959376,-87.62283386,-112.15654517,-31.11678695,744.81865425,300.86080177,237.88076826,648.47922723,-924.10134492,574.23524902,32.68045400,-269.04240164
2043,-367.35612774,-128.86233077,-2.75162307,-89.78251188,-117.37547509,-31.34942085,795.64583294,322.15725812,243.89978390,673.60668512,-962.60556762,597.44430300,34.32652517,-277.55467255
2044,-378.90307482,-146.09746855,-3.23569285,-91.86297379,-122.64453588,-31.57634925,846.96897668,344.15709350,249.82058152,697.16412177,-1001.10979033,620.59811274,36.01487799,-285.85111711
2045,-390.24600378,-163.68637793,-3.74145445,-93.86768377,-127.96548298,-31.79730016,898.03011112,366.86030792,256.94132556,718.98143958,-1039.61401303,643.69692618,37.74737338,-293.93173535
2046,-401.38805021,-181.51385850,-4.26829326,-95.80003955,-133.33999841,-32.01202594,947.70478422,390.26690138,261.45978488,738.88854092,-1078.11823574,666.74099127,39.52584276,-301.79652725
2047,-412.33234614,-199.45179464,-4.81529109,-97.66327841,-138.76961793,-32.22039896,994.73194775,414.37687387,267.22432173,756.71532818,-1116.62245844,689.73055598,41.35203682,-309.44549282
2048,-423.08116841,-217.36000084,-5.38118606,-99.46036744,-144.25569768,-32.42241820,1038.03918413,439.19022539,272.98290275,772.29170377,-1155.12668115,712.66586826,43.22758880,-316.87863205
2049,-433.63655182,-235.08736294,-5.96433009,-101.19409633,-149.79946549,-32.61816235,1076.96045065,464.70695595,278.75859350,785.44757006,-1193.63090385,735.54717605,45.15404877,-324.09594496
2050,-444.00070107,-252.47325904,-6.56264448,-102.86714183,-155.52299495,-32.80374600,1111.54184320,490.92706555,287.39948517,796.01282945,-1232.13512655,758.37472731,47.16321038,-331.09743152
2051,-454.17710090,-269.34923160,-7.17357370,-104.48222856,-161.06488821,-32.99074024,1139.24435254,517.85055418,290.45356638,803.81738431,-1270.63934926,781.14877000,49.16611118,-337.88309176
2052,-464.16879297,-285.54087113,-7.79403822,-106.04189702,-166.78899335,-33.16722996,1162.82346736,545.47742184,296.41897961,808.69113706,-1309.14357196,803.86955206,51.25454805,-344.45292566
2053,-473.97707790,-300.86986179,-8.42038673,-107.54833018,-172.57547902,-33.33690159,1182.29983819,573.80766854,302.49376476,810.46399006,-1318.98898326,826.53732146,53.39985348,-350.80693323
2054,-483.60272208,-315.15613151,-9.04834871,-109.00352661,-178.42532534,-33.49950737,1198.05024962,602.84129427,308.70098738,808.96584572,-1325.13685033,849.15232615,55.60326169,-356.94511446
2055,-493.04753309,-328.22004449,-9.67298819,-110.40952448,-184.33950006,-33.65481013,1210.47361217,632.57829904,316.19862298,804.02660641,-1331.11798000,871.71481407,57.86604459,-362.86746936
2056,-502.31458432,-339.88457172,-10.28865976,-111.76843810,-190.31896750,-33.80263263,1219.97647325,663.01868284,321.60500727,795.47617453,-1336.93237229,894.22503318,60.18960091,-368.57399793
2057,-511.40880516,-349.97737684,-10.88896791,-113.08254481,-196.36471421,-33.94279783,1226.95829825,694.16244568,328.34793562,783.14445247,-1342.58002719,916.68323144,62.57539142,-374.06470017
2058,-520.33631902,-358.33275882,-11.46673123,-114.35419820,-202.47773046,-34.07506376,1231.79713528,726.00958755,335.31556365,766.86134262,-1348.06094471,939.08965680,65.02481615,-379.33957607
2059,-529.10433914,-368.99675617,-12.09758394,-115.58581830,-208.65900739,-34.19917051,1234.83808748,758.56010846,342.53095690,746.45674736,-1353.37512484,961.44455721,67.53928566,-384.39862563
2060,-537.71966669,-379.41210846,-12.75808736,-116.77968799,-214.87953847,-34.31683281,1236.38621874,791.81400840,348.26141005,721.76056909,-1358.52256759,983.74818062,70.11278154,-389.24184887
