year,Insulation (Residential Only),Cool Roofs,Green Roofs  ,High Performance Glass-Residential Model,High Performance Glass- Commercial Model,Dynamic Glass (Commercial Only),Building Automation (Commercial Only),Smart Thermostats (Residential Only),"Heat Pumps
",District Heat,Water Saving - Home (WaSH),Solar Hot Water (SHW),Biogas for Cooking,Clean Cookstoves
2036,7827527.73733111,-27962.09448080,6259.35941572,2333464.82615631,885474.90360682,37752.45092500,607087.57211403,1344505.94831579,2397836.88496538,672538.80237574,240979.84957757,1094122.87820974,873682.38578173,6196860.99592233
2037,8201593.00068660,-31611.15627885,7207.97362738,2439907.89476176,944405.97866573,38085.47884759,648655.21802753,1476220.89271737,2484386.81505888,713314.35115373,259812.75240974,1133427.22969845,922184.06887914,6541105.68929907
2038,8570089.46923536,-35567.54861042,8246.47187873,2543996.22980920,1004115.45853615,38413.06017856,691492.12570169,1613768.77923992,2567457.89123029,753962.09637531,279371.40559783,1172731.58118716,970685.75197655,6885350.38267560
2039,8933114.35854849,-39846.23439217,9380.76628696,2645791.58274269,1064611.67756786,38734.94404878,735271.21411362,1757149.60788342,2647216.52062592,794359.86394239,299681.73253019,1212035.93267587,1019187.43507399,7229595.07605235
2040,9290756.76177473,-44462.42955480,10617.10097283,2745352.81581385,1123654.35364056,39050.80039490,779656.76891446,1906363.37864789,2692168.81923663,848525.71643062,320078.42096693,1251340.28416459,1067689.11817141,7573839.76942888
2041,9643107.11385209,-49431.55775500,11962.06604047,2842737.78850366,1187995.57992301,39360.57625568,824315.60472795,2061410.09153332,2797462.06767498,873916.76972062,342647.15585103,1290644.63565330,1116190.80126882,7918084.46280563
2042,9990238.87118568,-54769.19958546,13422.61164410,2937999.81593668,1250897.79717167,39663.76142794,868924.18391325,2222289.74653970,2868281.79962101,912831.55973557,365358.71599232,1329948.98714201,1164692.48436624,8262329.15618238
2043,10332198.73929270,-67080.62132018,17842.81093222,3031185.79585902,1314616.12307679,39960.04105148,913173.22399224,2389002.34366705,2936454.71337643,951007.67570362,388916.56423295,1369253.33863074,1213194.16746367,8606573.84955891
2044,10669018.30952300,-79550.84055944,22328.75716175,3122338.51626842,1379157.14353881,40249.00067750,956775.27810278,2561547.88291536,3002147.21608755,988322.94352667,413343.17653617,1408557.69011945,1261695.85056109,8950818.54293566
2045,11000733.31350440,-92146.69465951,26874.71271544,3211500.44996865,1444526.97202199,40530.29135335,999482.32295379,2739926.36428463,3069682.38371411,1023654.66008542,438660.63593686,1447862.04160817,1310197.53365851,9295063.23631219
2046,11327403.60934430,-104831.32221813,31473.92309539,3298717.69109405,1510731.73410229,40803.59535283,1041115.62610461,2924137.78777487,3126756.61696202,1059882.23834536,464891.08311865,1487166.39309688,1358699.21675592,9639307.92968893
2047,11649089.91413820,-117564.02698409,36118.52333708,3384035.44229956,1577776.62193635,41068.74894712,1081599.49837133,3114182.15338606,3186006.32941797,1093881.91714481,492055.93026077,1526470.74458559,1407200.89985335,9983552.62306546
2048,11965827.06854890,-130300.15748734,40799.43880502,3467492.82368213,1645665.43756542,41325.75082846,1120981.27399035,3310059.46111821,3243441.25941479,1126532.05140685,520175.28783684,1565775.09607430,1455702.58295077,10327797.31644220
2049,12277643.24753290,-142991.00509247,45506.28029663,3549126.65512137,1714401.17922148,41574.70193654,1159420.30102817,3511769.71097133,3299227.81409878,1157710.46703339,549268.44579106,1605079.44756302,1504204.26604819,10672042.00981900
2050,12584572.86108170,-155583.72320927,50227.23341968,3628974.00528548,1785472.47934640,41810.61739981,1197512.45269121,3719312.90294540,3393530.96753151,1181706.98564645,579804.74976407,1644383.79905173,1552705.94914562,11016286.70319550
2051,12886691.35457230,-168021.27038009,54948.94225323,3707079.01728405,1854427.95965789,42048.34262131,1230797.85865277,3932689.03704044,3406521.42611343,1215163.44598759,610460.87750763,1683688.15054044,1601207.63224303,11360531.39657220
2052,13184061.13927960,-180242.37989838,59656.38735428,3783482.37526720,1925728.42210686,42272.59084086,1263872.84268380,4151898.11325643,3458361.29773669,1241193.66111904,642594.28346399,1722992.50202915,1649709.31534045,11704776.08994880
2053,13476690.85546300,-192181.55849291,64332.75823144,3858213.37438662,1997892.02895245,42488.09163177,1296248.20196397,4376940.13159339,3509218.42263230,1265263.46122259,675778.80377634,1762296.85351786,1698210.99843787,12049020.78332550
2054,13764573.20856740,-203769.11643172,68959.32047489,3931297.33706050,2070922.00711176,42694.52714936,1327622.92517051,4607815.09205131,3559259.20794655,1287250.67220015,710030.79394347,1801601.20500659,1746712.68153530,12393265.47670200
2055,14047734.36845580,-214931.23115805,73515.27780748,4002765.28701309,2144821.98196713,42891.59307743,1357478.24677885,4844522.99463019,3639514.09982607,1294356.44480860,745367.45464014,1840905.55649530,1795214.36463272,12737510.17007880
2056,14326240.99645210,-225590.04626479,77977.62940693,4072655.34636676,2219596.05684151,43079.06205332,1385159.70175420,5087063.83933003,3657557.38841616,1324488.63038488,781808.14580832,1880209.90798402,1843716.04773013,13081754.86345550
2057,14600218.73909240,-235663.80724495,82321.02294276,4141016.37173545,2295249.09893213,43256.70693655,1410003.76659568,5335437.62615083,3706147.59786411,1339495.02939585,819373.42093848,1919514.25947273,1892217.73082755,13425999.55683210
2058,14869831.44639020,-245067.03502601,86517.60387478,4207903.91826539,2371786.48446331,43424.21726667,1431468.14956011,5589644.35509259,3754587.09631589,1351930.14288844,858083.19363606,1958818.61096144,1940719.41392499,13770244.25020880
2059,15135277.88422390,-251511.14568825,89016.15920026,4273379.62000329,2449214.03835292,43581.25960589,1449223.60974143,5849684.02615531,3803042.29091779,1361671.79676453,897957.78129388,1998122.96245016,1989221.09702240,14114488.94358530
2060,15396744.60720910,-258079.20439130,91629.47128969,4337502.00679376,2527169.39922237,43730.03388526,1463184.79383711,6115556.63933900,3820516.69329290,1377616.97043727,938907.28239087,2037427.31393887,2037722.78011981,14458733.63696210
