id,"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion Calculation,Common Units,Assumptions,Exclude Data?,ReasonForExclusion
16,"Valderrama et al. (2015). Full reference: Diego Valderrama, Junning Cai, Nathanael Hishamunda, Neil Ridler, Iain C. Neish, Anicia Q. Hurtado, Flower E. Msuya, M. Krishnan, R. Narayanakumar, Mechthild Kronen, Daniel Robledo, Eucario Gasca-Leyva & Julia Fraga (2015) The Economics of Kappaphycus Seaweed Cultivation in Developing Countries: A Comparative Analysis of Farming Systems, Aquaculture Economics & Management, 19:2, 251-277, DOI: 10.1080/13657305.2015.",https://www.tandfonline.com/doi/abs/10.1080/13657305.2015.1024348,Asia (Sans Japan),Philippines,,1  - Peer Reviewed,2013,,43090,USD (2009) / ha,0,US$2014/ ha,"See ""Economics"" sheet for detailed references and calculations",N,
17,"Valderrama et al. (2015). Full reference: Diego Valderrama, Junning Cai, Nathanael Hishamunda, Neil Ridler, Iain C. Neish, Anicia Q. Hurtado, Flower E. Msuya, M. Krishnan, R. Narayanakumar, Mechthild Kronen, Daniel Robledo, Eucario Gasca-Leyva & Julia Fraga (2015) The Economics of Kappaphycus Seaweed Cultivation in Developing Countries: A Comparative Analysis of Farming Systems, Aquaculture Economics & Management, 19:2, 251-277, DOI: 10.1080/13657305.2015.",https://www.tandfonline.com/doi/abs/10.1080/13657305.2015.1024348,Middle East and Africa,Tanzania,,1  - Peer Reviewed,2013,,1386,USD (2009) / ha,0,US$2014/ ha,"See ""Economics"" sheet for detailed references and calculations",N,
18,"Valderrama et al. (2015). Full reference: Diego Valderrama, Junning Cai, Nathanael Hishamunda, Neil Ridler, Iain C. Neish, Anicia Q. Hurtado, Flower E. Msuya, M. Krishnan, R. Narayanakumar, Mechthild Kronen, Daniel Robledo, Eucario Gasca-Leyva & Julia Fraga (2015) The Economics of Kappaphycus Seaweed Cultivation in Developing Countries: A Comparative Analysis of Farming Systems, Aquaculture Economics & Management, 19:2, 251-277, DOI: 10.1080/13657305.2015.",https://www.tandfonline.com/doi/abs/10.1080/13657305.2015.1024348,Middle East and Africa,Tanzania,,1  - Peer Reviewed,2013,,2307,USD (2009) / ha,0,US$2014/ ha,"See ""Economics"" sheet for detailed references and calculations",N,
19,"Valderrama et al. (2015). Full reference: Diego Valderrama, Junning Cai, Nathanael Hishamunda, Neil Ridler, Iain C. Neish, Anicia Q. Hurtado, Flower E. Msuya, M. Krishnan, R. Narayanakumar, Mechthild Kronen, Daniel Robledo, Eucario Gasca-Leyva & Julia Fraga (2015) The Economics of Kappaphycus Seaweed Cultivation in Developing Countries: A Comparative Analysis of Farming Systems, Aquaculture Economics & Management, 19:2, 251-277, DOI: 10.1080/13657305.2015.",https://www.tandfonline.com/doi/abs/10.1080/13657305.2015.1024348,India,India,,1  - Peer Reviewed,2013,,16944,USD (2009) / ha,0,US$2014/ ha,"See ""Economics"" sheet for detailed references and calculations",N,
20,"Valderrama et al. (2015). Full reference: Diego Valderrama, Junning Cai, Nathanael Hishamunda, Neil Ridler, Iain C. Neish, Anicia Q. Hurtado, Flower E. Msuya, M. Krishnan, R. Narayanakumar, Mechthild Kronen, Daniel Robledo, Eucario Gasca-Leyva & Julia Fraga (2015) The Economics of Kappaphycus Seaweed Cultivation in Developing Countries: A Comparative Analysis of Farming Systems, Aquaculture Economics & Management, 19:2, 251-277, DOI: 10.1080/13657305.2015.",https://www.tandfonline.com/doi/abs/10.1080/13657305.2015.1024348,OECD90,Solomon Islands,,1  - Peer Reviewed,2013,,13859,USD (2009) / ha,0,US$2014/ ha,"See ""Economics"" sheet for detailed references and calculations",N,
21,"Valderrama et al. (2015). Full reference: Diego Valderrama, Junning Cai, Nathanael Hishamunda, Neil Ridler, Iain C. Neish, Anicia Q. Hurtado, Flower E. Msuya, M. Krishnan, R. Narayanakumar, Mechthild Kronen, Daniel Robledo, Eucario Gasca-Leyva & Julia Fraga (2015) The Economics of Kappaphycus Seaweed Cultivation in Developing Countries: A Comparative Analysis of Farming Systems, Aquaculture Economics & Management, 19:2, 251-277, DOI: 10.1080/13657305.2015.",https://www.tandfonline.com/doi/abs/10.1080/13657305.2015.1024348,Latin America,Mexico,,1  - Peer Reviewed,2013,,10325,USD (2009) / ha,0,US$2014/ ha,"See ""Economics"" sheet for detailed references and calculations",N,
22,"Valderrama et al. (2015). Full reference: Diego Valderrama, Junning Cai, Nathanael Hishamunda, Neil Ridler, Iain C. Neish, Anicia Q. Hurtado, Flower E. Msuya, M. Krishnan, R. Narayanakumar, Mechthild Kronen, Daniel Robledo, Eucario Gasca-Leyva & Julia Fraga (2015) The Economics of Kappaphycus Seaweed Cultivation in Developing Countries: A Comparative Analysis of Farming Systems, Aquaculture Economics & Management, 19:2, 251-277, DOI: 10.1080/13657305.2015.",https://www.tandfonline.com/doi/abs/10.1080/13657305.2015.1024348,Latin America,Mexico,,1  - Peer Reviewed,2013,,13625,USD (2009) / ha,0,US$2014/ ha,"See ""Economics"" sheet for detailed references and calculations",N,
23,"van den Burg, S. W., van Duijn, A. P., Bartelings, H., van Krimpen, M. M., & Poelman, M. (2016). The economic feasibility of seaweed production in the North Sea. Aquaculture Economics & Management, 20(3), 235-252.",https://www.tandfonline.com/doi/full/10.1080/13657305.2016.1177859,EU,North Sea,,1  - Peer Reviewed,2016,,345000,USD (2016)/ ha,0,US$2014/ ha,"Lenstra et al. (2011) 100 ha farm. Cited on page 239, last paragraph",Y,Includes the correct data point from van der Burg et al. (2016) citing Lenstra et al. (2011) as the latter was not available online. The latter is excluded as it is the result of an economic modelling effort of offshore farms.
24,"Camus, C., Infante, J., & Buschmann, A. H. (2019). Revisiting the economic profitability of giant kelp Macrocystis pyrifera (Ochrophyta) cultivation in Chile. Aquaculture, 502, 80-86.",https://www.sciencedirect.com/science/article/abs/pii/S0044848618317940,Latin America,Chile,,1  - Peer Reviewed,2019,,94420,USD (2018) for 10 ha,0,US$2014/ ha,81920 from table 2 + 12500 from page 82 at the bottom,N,
25,"Kreckhoff and Ngangi 2018, Financial analysis of seaweed, Kappaphycus alvarezii, farming business toward farmer’s income development in Minahasa Penninsula, North Sulawesi, Indonesia",https://www.researchgate.net/publication/339437375_Financial_analysis_of_seaweed_Kappaphycus_alvarezii_farming_business_toward_farmer%27s_income_development_in_Minahasa_Penninsula_North_Sulawesi_Indonesia,Asia (Sans Japan),"Indonesia, North Minahasa",,1  - Peer Reviewed,2014,,5566000,IDR (2019)/ ha,445.28,US$2014/ ha,"Table 2, pg 28, Total fix costs; for exchange rate: https://fxtop.com/en/historical-exchange-rates.php?A=1&C1=IDR&C2=USD&DD1=01&MM1=&YYYY1=&B=1&P=&I=1&DD2=18&MM2=01&YYYY2=2015&btnOK=Go%21",N,
26,"Kreckhoff and Ngangi 2018, Financial analysis of seaweed, Kappaphycus alvarezii, farming business toward farmer’s income development in Minahasa Penninsula, North Sulawesi, Indonesia",https://www.researchgate.net/publication/339437375_Financial_analysis_of_seaweed_Kappaphycus_alvarezii_farming_business_toward_farmer%27s_income_development_in_Minahasa_Penninsula_North_Sulawesi_Indonesia,Asia (Sans Japan),"Indonesia, Southeast Minahasa",,1  - Peer Reviewed,2014,,7460000,IDR (2019)/ ha,596.8,US$2014/ ha,"Table 2, pg 28, Total fix costs; for exchange rate: https://fxtop.com/en/historical-exchange-rates.php?A=1&C1=IDR&C2=USD&DD1=01&MM1=&YYYY1=&B=1&P=&I=1&DD2=18&MM2=01&YYYY2=2015&btnOK=Go%21",N,
27,"Kreckhoff and Ngangi 2018, Financial analysis of seaweed, Kappaphycus alvarezii, farming business toward farmer’s income development in Minahasa Penninsula, North Sulawesi, Indonesia",https://www.researchgate.net/publication/339437375_Financial_analysis_of_seaweed_Kappaphycus_alvarezii_farming_business_toward_farmer%27s_income_development_in_Minahasa_Penninsula_North_Sulawesi_Indonesia,Asia (Sans Japan),"Indonesia, Minahasa",,1  - Peer Reviewed,2014,,5710000,IDR (2019)/ ha,456.8,US$2014/ ha,"Table 2, pg 28, Total fix costs; for exchange rate: https://fxtop.com/en/historical-exchange-rates.php?A=1&C1=IDR&C2=USD&DD1=01&MM1=&YYYY1=&B=1&P=&I=1&DD2=18&MM2=01&YYYY2=2015&btnOK=Go%21",N,
28,"Kreckhoff and Ngangi 2018, Financial analysis of seaweed, Kappaphycus alvarezii, farming business toward farmer’s income development in Minahasa Penninsula, North Sulawesi, Indonesia",https://www.researchgate.net/publication/339437375_Financial_analysis_of_seaweed_Kappaphycus_alvarezii_farming_business_toward_farmer%27s_income_development_in_Minahasa_Penninsula_North_Sulawesi_Indonesia,Asia (Sans Japan),"Indonesia, South Minahasa",,1  - Peer Reviewed,2014,,6570000,IDR (2019)/ ha,525.6,US$2014/ ha,"Table 2, pg 28, Total fix costs; for exchange rate: https://fxtop.com/en/historical-exchange-rates.php?A=1&C1=IDR&C2=USD&DD1=01&MM1=&YYYY1=&B=1&P=&I=1&DD2=18&MM2=01&YYYY2=2015&btnOK=Go%21",N,
