,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3
,other biomass,other biomass,coal,coal,natural gas,natural gas,oil products,oil producdts,large hydro,large hydro,other biomass,other biomass,coal,coal,natural gas,natural gas,oil products,oil producdts,large hydro,large hydro,other biomass,other biomass,coal,coal,natural gas,natural gas,oil products,oil producdts,large hydro,large hydro
Year,total,percent,total,percent,total,percent,total,percent,total,percent,total,percent,total,percent,total,percent,total,percent,total,percent,total,percent,total,percent,total,percent,total,percent,total,percent
2032,226.44246928,0.00647885,4109.66499879,0.11758348,9849.94672398,0.28182128,236.30146945,0.00676093,5217.09813187,0.14926875,257.29286334,0.00623430,4109.66499879,0.09957870,1170.53022288,0.02836238,236.30146945,0.00572567,5217.09813187,0.12641221,256.21319134,0.00620814,4109.66499879,0.09957870,3248.78843610,0.07871934,236.30146945,0.00572567,5217.09813187,0.12641221
2033,230.29285006,0.00647885,3772.06531121,0.10611983,9848.05090388,0.27705603,191.51408704,0.00538788,5268.45986593,0.14821802,267.46267378,0.00623430,3772.06531121,0.08792326,926.44495686,0.02159455,191.51408704,0.00446401,5268.45986593,0.12280279,266.34032645,0.00620814,3772.06531121,0.08792326,3064.77523369,0.07143700,191.51408704,0.00446401,5268.45986593,0.12280279
2034,234.13922409,0.00647885,3434.46562364,0.09503483,9806.50074451,0.27135490,146.72670462,0.00406006,5318.04377238,0.14715517,277.82156067,0.00623430,3434.46562364,0.07706922,677.58270294,0.01520492,146.72670462,0.00329254,5318.04377238,0.11933661,276.65574458,0.00620814,3434.46562364,0.07706922,2850.38818241,0.06396256,146.72670462,0.00329254,5318.04377238,0.11933661
2035,237.92280583,0.00647885,3096.86593606,0.08433039,9714.79170029,0.26454235,101.93932221,0.00277590,5366.04792486,0.14612222,289.77062281,0.00623430,3096.86593606,0.06662785,856.92121395,0.01843632,101.93932221,0.00219318,5366.04792486,0.11544841,288.55466515,0.00620814,3096.86593606,0.06662785,3039.46315834,0.06539285,101.93932221,0.00219318,5366.04792486,0.11544841
2036,241.81338427,0.00647885,2759.26624849,0.07392836,9597.47076923,0.25714273,57.15193979,0.00153126,5412.67039701,0.14502038,299.64418283,0.00623430,2759.26624849,0.05740841,695.83101836,0.01447724,57.15193979,0.00118908,5412.67039701,0.11261428,298.38679298,0.00620814,2759.26624849,0.05740841,2911.66939943,0.06057926,57.15193979,0.00118908,5412.67039701,0.11261428
2037,245.63449787,0.00647885,2421.66656091,0.06387380,9425.98797232,0.24861957,12.36455738,0.00032613,5458.10926246,0.14396292,309.71278318,0.00623430,2421.66656091,0.04874645,515.60251896,0.01037872,12.36455738,0.00024889,5458.10926246,0.10986791,308.41314270,0.00620814,2421.66656091,0.04874645,2778.51113966,0.05592948,12.36455738,0.00024889,5458.10926246,0.10986791
2038,249.44684885,0.00647885,2084.06687333,0.05412918,9175.73920219,0.23832018,0,0,5502.56259487,0.14291728,320.50794080,0.00623430,2084.06687333,0.04053784,441.27484952,0.00858338,0,0,5502.56259487,0.10703208,319.16300085,0.00620814,2084.06687333,0.04053784,2744.38352067,0.05338187,0,0,5502.56259487,0.10703208
2039,253.25379417,0.00647885,1746.46718576,0.04467888,8865.80763135,0.22680892,0,0,5546.22846787,0.14188601,331.33218858,0.00623430,1746.46718576,0.03286129,396.16906727,0.00745426,0,0,5546.22846787,0.10435707,329.94182709,0.00620814,1746.46718576,0.03286129,2709.01710698,0.05097249,0,0,5546.22846787,0.10435707
2040,257.44138607,0.00647885,1408.86749818,0.03545599,8566.26844575,0.21558131,0,0,5589.30495509,0.14066214,343.25545004,0.00623430,1408.86749818,0.02558824,570.62421598,0.01036384,0,0,5589.30495509,0.10151451,341.81505525,0.00620814,1408.86749818,0.02558824,2990.47939690,0.05431392,0,0,5589.30495509,0.10151451
2041,260.86497137,0.00647885,1071.26781061,0.02660603,8100.10100100,0.20117428,0,0,5631.99013019,0.13987622,352.93981988,0.00623430,1071.26781061,0.01892279,563.94549107,0.00996149,0,0,5631.99013019,0.09948302,351.45878680,0.00620814,1071.26781061,0.01892279,3010.10506417,0.05317026,0,0,5631.99013019,0.09948302
2042,264.67589449,0.00647885,733.66812303,0.01795904,7642.37228050,0.18707320,0,0,5674.48206681,0.13890236,363.65890668,0.00623430,733.66812303,0.01257747,769.82522893,0.01319732,0,0,5674.48206681,0.09727915,362.13289335,0.00620814,733.66812303,0.01257747,3205.18567007,0.05494735,0,0,5674.48206681,0.09727915
2043,268.45210053,0.00647885,0,0,7522.93938643,0.18155932,0,0,5716.97883857,0.13797410,374.27841914,0.00623430,0,0,1350.69742236,0.02249837,0,0,5716.97883857,0.09522688,372.70784339,0.00620814,0,0,3719.20160499,0.06195020,0,0,5716.97883857,0.09522688
2044,272.24101552,0.00647885,0,0,6617.84858914,0.15749293,0,0,5759.67851913,0.13707002,384.76589144,0.00623430,0,0,1216.45735842,0.01971007,0,0,5759.67851913,0.09332316,383.15130736,0.00620814,0,0,3517.74252804,0.05699742,0,0,5759.67851913,0.09332316
2045,276.49668124,0.00647885,0,0,5728.90473123,0.13423923,0,0,5802.77918213,0.13597025,393.57896121,0.00623430,0,0,892.27139925,0.01413360,0,0,5802.77918213,0.09191617,391.92739505,0.00620814,0,0,3158.77669779,0.05003510,0,0,5802.77918213,0.09191617
2046,279.87146192,0.00647885,0,0,4647.96010551,0.10759735,0,0,5846.47890120,0.13534230,405.21490341,0.00623430,0,0,928.48942628,0.01428497,0,0,5846.47890120,0.08994908,403.51450963,0.00620814,0,0,3121.96500643,0.04803197,0,0,5846.47890120,0.08994908
2047,283.71852563,0.00647885,0,0,3581.03103361,0.08177455,0,0,5890.97574999,0.13452324,415.11167098,0.00623430,0,0,641.25459223,0.00963060,0,0,5890.97574999,0.08847285,413.36974762,0.00620814,0,0,2740.21246920,0.04115353,0,0,5890.97574999,0.08847285
2048,287.59025104,0.00647885,0,0,2463.90462880,0.05550697,0,0,5936.46780213,0.13373705,424.74667458,0.00623430,0,0,297.40965325,0.00436529,0,0,5936.46780213,0.08713364,422.96432008,0.00620814,0,0,2303.85167675,0.03381522,0,0,5936.46780213,0.08713364
2049,291.48880319,0.00647885,0,0,1291.82120726,0.02871298,0,0,5983.15313127,0.13298603,434.08739557,0.00623430,0,0,0,0,0,0,5892.06590869,0.08462100,432.26584482,0.00620814,0,0,1151.92583837,0.01654379,0,0,6661.27453877,0.09566827
2050,295.67482899,0.00647885,0,0,101.15848525,0.00221659,0,0,6031.22981105,0.13215674,442.27668312,0.00623430,0,0,0,0,0,0,5281.61711566,0.07444930,440.42076786,0.00620814,0,0,0,0,0,0,7106.28009731,0.10016962
2051,300.72764463,0.00647885,0,0,0,0,0,0,5055.44467047,0.10891402,451.75587500,0.00623430,0,0,0,0,0,0,5199.62340358,0.07175560,449.86018242,0.00620814,0,0,0,0,0,0,6926.59576930,0.09558809
2052,305.53038768,0.00647885,0,0,0,0,0,0,3876.27636673,0.08219740,464.41992585,0.00623430,0,0,0,0,0,0,5404.24321627,0.07254572,462.47109142,0.00620814,0,0,0,0,0,0,7029.95084838,0.09436897
2053,310.44768614,0.00647885,0,0,0,0,0,0,2649.39263810,0.05529116,477.11950351,0.00623430,0,0,0,0,0,0,5627.02150986,0.07352570,475.11737814,0.00620814,0,0,0,0,0,0,7153.69658918,0.09347406
2054,315.48620380,0.00647885,0,0,0,0,0,0,1374.52062654,0.02822726,488.24626137,0.00623430,0,0,0,0,0,0,5613.24039184,0.07167414,486.19744505,0.00620814,0,0,0,0,0,0,7043.59573409,0.08993800
2055,320.70696694,0.00647885,0,0,0,0,0,0,59.72437002,0.00120654,499.39295513,0.00623430,0,0,0,0,0,0,5603.06476078,0.06994730,497.29736419,0.00620814,0,0,0,0,0,0,6954.13624034,0.08681375
2056,326.25607154,0.00647885,0,0,0,0,0,0,0,0,510.55219185,0.00623430,0,0,0,0,0,0,5611.58107703,0.06852244,508.40977367,0.00620814,0,0,0,0,0,0,6891.18745203,0.08414759
2057,331.90316626,0.00647885,0,0,0,0,0,0,0,0,521.71687220,0.00623430,0,0,0,0,0,0,5640.48311785,0.06740144,519.52760394,0.00620814,0,0,0,0,0,0,6851.05550791,0.08186728
2058,337.70314311,0.00647885,0,0,0,0,0,0,0,0,532.87994841,0.00623430,0,0,0,0,0,0,5687.44633478,0.06653891,530.64383679,0.00620814,0,0,0,0,0,0,6837.99589290,0.07999949
2059,343.67738597,0.00647885,0,0,0,0,0,0,0,0,544.03453146,0.00623430,0,0,0,0,0,0,5753.95007048,0.06593672,541.75161212,0.00620814,0,0,0,0,0,0,6852.02372476,0.07851997
2060,349.83889618,0.00647885,0,0,0,0,0,0,0,0,555.17375381,0.00623430,0,0,0,0,0,0,5842.17700345,0.06560449,552.84409122,0.00620814,0,0,0,0,0,0,6892.23476019,0.07739607
