,Residential LED (Excludes Commercial LED),Smart Thermostats (Residential Only),Commercial LED (Excludes Household LED),Telepresence,Heat Pumps,Electric Cars,Public Transit,Electric Bicycles,Bicycle  Infrastructure,Electric Trains,Smart Glass (Commercial Only),High Performance Static Glass-Residential Model,High Performance Static Glass- Commercial Model,Carpooling,High Speed Rail,Building Automation (Commercial Only),District Heating,Water Saving - Home (WaSH),Solar Hot Water (SHW),Water Distribution Efficiency,GreenRoofs,CoolRoofs,Insulation (Residential Only),Alternative Cement,FarmWater Use EFF
2045,1039.614013,366.8603079,643.6969262,-12.67110693,-256.9413256,-2621.993329,-112.4276625,-15.71477041,15.87622043,-179.5740853,31.79730016,93.86768377,127.965483,81.69054703,-63.90392736,898.0301111,718.9814396,37.74737338,293.9317353,78.53175927,3.741454454,163.6863779,390.2460038,31.49441782,170.6798275
2046,1078.118236,390.2669014,666.7409913,-13.09895463,-261.4597849,-2823.894968,-116.6965254,-15.73137733,16.26750377,-193.4845352,32.01202594,95.80003955,133.3399984,89.59450139,-67.24400363,947.7047842,738.8885409,39.52584276,301.7965273,81.06504183,4.268293261,181.5138585,401.3880502,32.66087774,174.7417112
2047,1116.622458,414.3768739,689.730556,-13.52102632,-267.2243217,-3034.930129,-121.1991184,-15.72279489,16.5959946,-208.0895733,32.22039896,97.66327841,138.7696179,99.14147104,-70.68074792,994.7319478,756.7153282,41.35203682,309.4454928,83.59832439,4.815291092,199.4517946,412.3323461,33.82733766,178.8209209
2048,1155.126681,439.1902254,712.6658683,-13.93730404,-272.9829028,-3255.2643,-125.6470905,-15.69201954,16.91272039,-223.4120878,32.4224182,99.46036744,144.2556977,109.6160454,-74.21462342,1038.039184,772.2917038,43.2275888,316.8786321,86.13160694,5.381186056,217.3600008,423.0811684,34.99379758,182.9164036
2049,1193.630904,464.706956,735.547176,-14.34777092,-278.7585935,-3485.062968,-130.0305796,-15.64176643,17.21674348,-239.4757214,32.61816235,101.1940963,149.7994655,121.0797486,-77.84617407,1076.960451,785.4475701,45.15404877,324.095945,88.6648895,5.964330094,235.0873629,433.6365518,36.1602575,187.02718
2050,1232.135127,490.9270655,758.3747273,-14.7524112,-287.3994852,-3724.491622,-134.2105908,-15.57447519,17.51819955,-256.3048957,32.803746,102.8671418,155.522995,133.30029,-81.57602686,1111.541843,796.0128294,47.16321038,331.0974315,91.19817206,6.56264448,252.473259,444.0007011,37.32671742,190.8490415
2051,1270.639349,517.8505542,781.14877,-15.15121019,-290.4535664,-3973.715749,-138.5645862,-15.4923224,17.78293087,-273.9248373,32.99074024,104.4822286,161.0648882,147.1364477,-85.40489401,1139.244353,803.8173843,49.16611118,337.8830918,93.73145462,7.173573704,269.3492316,454.1771009,37.29087958,191.6837449
2052,1309.143572,545.4774218,803.8695521,-15.54415428,-296.4189796,-4232.900837,-142.6953835,-15.39723843,18.04321986,-292.3616037,33.16722996,106.041897,166.7889933,161.9199313,-89.33357533,1162.823467,808.6911371,51.25454805,344.4529257,96.26473717,7.794038223,285.5408711,464.168793,37.2924359,192.5375845
2053,1318.988983,573.8076685,826.5373215,-15.93123094,-302.4937648,-4502.212374,-146.7214483,-15.29092669,18.2870555,-311.6421114,33.33690159,107.5483302,172.575479,177.9542287,-93.36296064,1182.299838,810.4639901,53.39985348,350.8069332,98.79801973,8.420386728,300.8698618,473.9770779,37.33500657,193.4104828
2054,1325.13685,602.8412943,849.1523261,-16.31242865,-308.7009874,-4781.815847,-150.6319219,-15.17488392,18.51350011,-331.7941637,33.49950737,109.0035266,178.4253253,195.3108861,-97.49403222,1198.05025,808.9658457,55.60326169,356.9451145,101.3313023,9.048348708,315.1561315,483.6027221,37.42221177,194.3023491
2055,1331.11798,632.578299,871.7148141,-16.68773698,-316.198623,-5071.876746,-154.4162373,-15.0504205,18.72161604,-352.8464802,33.65481013,110.4095245,184.3395001,214.0636824,-101.7278673,1210.473612,804.0266064,57.86604459,362.8674694,103.8645848,9.672988194,328.2200445,493.0475331,37.55767167,195.2130795
2056,1336.932372,663.0186828,894.2250332,-17.05714651,-321.6050073,-5372.560557,-158.0643783,-14.91868013,18.91046562,-374.8287266,33.80263263,111.7684381,190.3189675,234.2889052,-106.0656408,1219.976473,795.4761745,60.18960091,368.5739979,106.3978674,10.28865976,339.8845717,502.3145843,37.74500647,196.1425577
2057,1342.580027,694.1624457,916.6832314,-17.42064883,-328.3479356,-5684.032769,-161.5668058,-14.78065843,19.0791112,-397.7715466,33.94279783,113.0825448,196.3647142,256.0654099,-110.5086277,1226.958298,783.1444525,62.57539142,374.0647002,108.93115,10.88896791,349.9773768,511.4088052,37.98783635,197.0906551
2058,1348.060945,726.0095876,939.0896568,-17.77823657,-335.3155636,-6006.458869,-164.914063,-14.63722016,19.2266151,-421.7065933,34.07506376,114.3541982,202.4777305,279.4743197,-115.0582061,1231.797135,766.8613426,65.02481615,379.3395761,111.4644325,11.46673123,358.3327588,520.336319,38.28978148,198.0572315
2059,1353.375125,758.5601085,961.4445572,-18.12990332,-342.5309569,-6340.004346,-168.0969317,-14.48911499,19.35203968,-446.6665629,34.19917051,115.5858183,208.6590074,304.5992377,-119.7158601,1234.838087,746.4567474,67.53928566,384.3986256,113.9977151,12.09758394,368.9967562,529.1043391,38.65446205,199.0421353
2060,1358.522568,791.8140084,983.7481806,-18.4756437,-348.2614101,-6684.834687,-171.1062122,-14.33699179,19.45444725,-472.6852294,34.31683281,116.779688,214.8795385,331.5260578,-124.4831821,1236.386219,721.7605691,70.11278154,389.2418489,116.5309976,12.75808736,379.4121085,537.7196667,39.08549823,200.0452039
