Year,Residential LED (Excludes Commercial LED),Smart Thermostats (Residential Only),Commercial LED (Excludes Household LED),Telepresence,Heat Pumps,Electric Cars,Public Transit,Electric Bicycles,Electric Trains,Smart Glass (Commercial Only),High Performance Static Glass-Residential Model,High Performance Static Glass- Commercial Model,Carpooling,High Speed Rail,Building Automation (Commercial Only),District Heating,Water Saving - Home (WaSH),Solar Hot Water (SHW),Water Distribution Efficiency,GreenRoofs,CoolRoofs,Insulation (Residential Only),Alternative Cement,FarmWater Use EFF
2045,1096.491058,678.1091434,685.5190619,-34.64939644,-250.4037097,-2863.933324,-169.176015,-21.98598513,-701.5573054,47.61454899,103.3196571,134.8854926,70.79921174,-205.8981277,1016.776467,836.1272904,48.12530807,495.2863484,115.4878813,45.96411007,460.0635377,472.535717,31.49441782,205.7142312
2046,1137.101838,690.2994338,710.112095,-35.6647473,-254.8266108,-3075.269507,-175.5756023,-22.80028088,-727.5409093,47.93631789,104.7934482,140.0700559,76.15694889,-219.580461,1054.434855,850.6284188,50.01676786,493.4834099,119.2132968,48.16336748,480.1594229,484.6110666,32.66087774,208.3194246
2047,1177.712618,699.7622201,734.6506277,-36.65794857,-260.4398691,-3147.461143,-182.333938,-23.61457662,-753.5245132,48.24860468,106.196389,145.306737,84.2631793,-233.9648583,1092.093243,863.3010039,51.95491607,491.6103554,122.9387123,50.0716275,497.7044118,496.3926267,33.82733766,210.924618
2048,1218.323398,707.015762,759.1349079,-37.6290521,-266.0469345,-3199.246365,-189.1775471,-24.42887237,-779.5081171,48.55140786,107.5334339,150.5980401,93.67001576,-249.0844463,1129.75163,874.3320571,53.9421019,489.6774847,126.6641279,51.69951564,512.7319749,507.8869161,34.99379758,213.5298114
2049,1258.934178,712.510841,783.5651837,-38.57812081,-271.670302,-3255.493119,-196.1115142,-25.24316811,-805.491721,48.84484485,108.8091114,155.9462038,104.4900784,-264.9741299,1167.410018,883.9015986,55.98050525,487.695097,130.3895434,53.0574619,525.2803252,519.1000571,36.1602575,216.1350048
2050,1299.544958,716.625085,807.941703,-39.50522824,-280.0905921,-3313.476253,-203.0118639,-26.05746386,-831.4753249,49.12311629,110.0276106,161.4741883,116.155868,-281.6706812,1205.068406,892.1790782,58.10889274,485.6734921,134.1149589,54.155022,535.3885415,530.0381927,37.32671742,218.2882319
2051,1306.193037,719.6662755,832.2647136,-40.41045821,-283.0559237,-3381.694565,-210.2708616,-26.8717596,-836.7564435,49.4034932,111.192958,166.8213705,123.2863306,-299.2128327,1238.704745,899.3211856,60.21923855,483.6229694,137.8403744,55.00057228,543.0941548,540.7086014,37.29087958,218.2882319
2052,1312.674379,721.8802255,856.5344637,-41.29390446,-288.863168,-3451.802818,-217.5064112,-27.68605535,-843.1032998,49.66819109,112.3088156,172.3522722,131.0195359,-317.641375,1272.282735,905.4707502,62.42375387,481.5538284,141.56579,55.60123393,548.4317696,551.1179794,37.2924359,218.2882319
2053,1318.988983,723.4603125,880.7512011,-42.15567022,-294.7766946,-3526.656174,-224.8526576,-28.5003511,-848.7572876,49.92271232,113.3783339,177.947645,140.0723667,-336.99926,1305.802377,910.7564527,64.68735479,479.4763687,145.2912055,55.96292722,551.4323905,561.271147,37.33500657,218.2882319
2054,1325.13685,724.5569545,904.9151737,-42.99586787,-300.8189987,-3606.290555,-232.3146856,-29.31464684,-853.6846675,50.16668709,114.4043346,183.60897,150.476797,-357.3317083,1339.263669,915.2931154,67.01158605,477.4008897,149.016621,56.09049113,552.123213,571.1722603,37.42221177,218.2882319
2055,1331.11798,725.2861681,929.0266297,-43.81461851,-308.1509173,-3690.743064,-239.8975798,-30.12894259,-857.8516997,50.39976138,115.3895409,189.3376424,162.2658771,-378.6863228,1372.666612,919.1823796,69.3083586,475.337691,152.7420365,55.98782853,550.5277029,580.8263905,37.55767167,218.2882319
2056,1336.932372,725.7368696,953.0858168,-44.61205167,-313.3799195,-3780.059999,-247.6064249,-30.94323833,-861.2246446,50.62167067,116.3366264,195.1349884,175.4752679,-401.1132076,1406.011206,922.5136228,71.64814502,473.2970721,156.4674521,55.65805363,546.6658457,590.2397532,37.74500647,218.2882319
2057,1342.580027,725.9768816,977.092983,-45.38830484,-319.9435264,-3874.295825,-255.4463056,-31.75753408,-863.7697626,50.83215071,117.248311,201.0022968,190.1431117,-424.6650928,1439.297451,925.3650026,74.06019342,471.2893325,160.1928676,55.10362947,540.5544813,599.4203027,37.98783635,218.2882319
2058,1348.060945,726.0577522,1001.048376,-46.14352316,-326.7258909,-3973.501892,-263.4223066,-32.57182982,-865.453314,51.03084032,118.1272901,206.9408077,206.3080063,-449.3974658,1472.525347,927.8045471,76.54556102,469.3247718,163.9182831,54.32648955,532.2076736,608.3770736,38.28978148,218.2882319
2059,1353.375125,726.0185548,1024.952245,-46.87785901,-333.7495082,-4077.731632,-271.5395125,-33.38612557,-866.2415593,51.21735156,118.9762349,212.9517146,224.010024,-475.3687086,1505.694894,929.8912364,79.10533761,467.4136894,167.6436986,54.32814769,532.0494102,617.1200811,38.65446205,218.2882319
2060,1358.522568,725.8888472,1048.804836,-47.59147169,-339.3105145,-4187.033949,-279.8030081,-34.20042132,-866.1007588,51.39424383,119.7976079,219.0061714,243.2895452,-502.640243,1538.806092,931.6760375,81.73189187,465.5663849,171.3691142,54.32631096,531.8543763,625.6588221,39.08549823,218.2882319
