"Country","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"Cuba","11306909","11324777","11335108","11339255","11338146","11333484","11326616","11304481","11277646","11246556","11211560","11172978","11131033","11085879","11037600","10986240","10931866","10874535","10814424","10751829","10687074","10620378","10551875","10481553","10409219","10334642","10257618","10178133","10096207","10011781","9924734","9835005","9742643","9647640","9550029","9449799","9346996","9241695","9134064","9024334","8912814","8799778","8685449","8569977","8453649","8336741","8219508","8102124","7984794","7867845","7751702","7636669","7522918","7410463","7299267","7189179","7080085","6971961","6864828","6758623","6653253","6548614","6444725","6341499","6238641","6135837","6032847","5929598","5826.143","5722.617","5619.207","5516.086","5413.287","5310.836","5208.969","5108","5008.122","4909.469","4812.001","4715.665","4620.382","4526.059","4432.649","4340.134","4248.543","4157.914","4068.365"
"Curaçao","158432","159850","161055","161986","162753","163423","164100","164688","165215","165681","166071","166417","166712","166952","167142","167278","167362","167403","167385","167323","167226","167114","166968","166796","166615","166382","166120","165827","165499","165151","164769","164346","163901","163426","162925","162393","161836","161253","160654","160031","159385","158735","158081","157411","156744","156059","155383","154700","154030","153354","152689","152014","151352","150702","150046","149391","148736","148070","147405","146723","146040","145335","144634","143903","143162","142407","141628","140825","140.002","139.16","138.296","137.418","136.52","135.606","134.678","133.732","132.782","131.815","130.844","129.855","128.871","127.874","126.88","125.892","124.907","123.916","122.952"
"Cyprus","1152297","1160987","1170189","1179685","1189262","1198574","1207361","1214032","1219896","1225052","1229587","1233575","1237083","1240148","1242809","1245079","1246989","1248558","1249827","1250875","1251770","1252553","1253260","1253903","1254445","1254848","1255079","1255115","1254978","1254642","1254092","1253305","1252264","1250977","1249406","1247534","1245347","1242838","1240007","1236847","1233374","1229573","1225464","1221041","1216338","1211358","1206140","1200703","1195057","1189203","1183178","1177010","1170712","1164279","1157734","1151065","1144294","1137410","1130445","1123399","1116260","1109046","1101750","1094401","1086985","1079513","1072009","1064467","1056.894","1049.293","1041.681","1034.058","1026.422","1018.8","1011.2","1003.642","996.127","988.664","981.281","973.966","966.729","959.58","952.537","945.578","938.746","932.039","925.471"
"Czech Republic","10591104","10601390","10618868","10641032","10665679","10689213","10708982","10713068","10711559","10705106","10694259","10679450","10660986","10639051","10613749","10585119","10553213","10518253","10480627","10441043","10400307","10359093","10317727","10276318","10235048","10194015","10153303","10113004","10073202","10033851","9994865","9956171","9917678","9879304","9840750","9801703","9761839","9721036","9679155","9635893","9590896","9543871","9494755","9443533","9390143","9334590","9276903","9217127","9155420","9092084","9027529","8962126","8896061","8829534","8762961","8696748","8631300","8566798","8503414","8441361","8380828","8321970","8264898","8209649","8156179","8104400","8054231","8005638","7958.553","7912.837","7868.271","7824.676","7781.933","7739.954","7698.594","7657.74","7617.247","7577.009","7536.903","7496.801","7456.595","7416.172","7375.422","7334.211","7292.446","7250.001","7206.74"
"Democratic People's Republic of Korea","25057793","25183832","25307665","25429816","25549606","25666158","25778815","25853339","25916173","25968229","26010114","26042196","26064567","26077058","26079301","26070777","26051118","26020328","25979049","25928629","25870868","25807176","25738150","25663830","25584399","25499841","25410172","25315569","25216271","25112434","25004155","24891493","24774625","24653459","24527458","24395900","24258244","24114474","23964830","23809510","23648799","23483043","23312382","23137102","22957845","22775390","22590414","22403257","22214157","22023511","21831682","21638995","21445707","21251943","21057844","20863474","20668865","20474082","20279131","20083868","19888064","19691525","19494239","19296153","19097019","18896530","18694482","18490799","18285.536","18078.843","17870.867","17661.802","17451.749","17240.767","17028.996","16816.624","16603.768","16390.651","16177.423","15964.313","15751.524","15539.294","15327.867","15117.498","14908.459","14701.034","14495.535"
"Democratic Republic of the Congo","73767445","76244532","78789130","81398765","84068092","86790568","89561404","92377986","95240782","98151951","101115265","104133554","107206339","110332493","113513533","116751302","120046720","123399663","126808359","130269909","133780458","137336551","140936020","144577153","148257489","151974458","155725440","159508316","163320457","167158238","171017616","174895134","178788128","182694946","186614424","190545961","194488663","198440727","202400063","206365213","210334728","214307046","218280476","222253138","226222971","230187834","234145629","238094231","242031727","245956361","249866491","253760228","257635565","261490076","265321072","269125599","272900869","276644250","280353426","284026360","287661115","291255579","294807904","298315301","301773488","305177517","308523391","311808607","315032.141","318193.457","321292.697","324329.797","327303.742","330213.314","333058.227","335838.372","338553.576","341203.453","343787.447","346304.935","348755.317","351138.1","353452.926","355699.591","357878.062","359988.467","362031.082"
"Denmark","5664199","5688695","5711346","5732277","5752131","5771877","5792203","5807877","5821807","5834166","5845074","5854619","5862790","5869566","5874832","5878490","5880433","5880656","5879293","5876612","5873014","5868782","5864039","5858794","5853064","5846802","5840008","5832728","5825006","5816876","5808392","5799538","5790346","5780822","5770912","5760543","5749675","5738316","5726465","5714106","5701183","5687679","5673600","5658978","5643896","5628506","5612865","5597024","5581011","5564894","5548747","5532660","5516616","5500649","5484763","5468944","5453181","5437502","5421825","5406101","5390178","5373954","5357415","5340496","5323147","5305305","5286909","5267938","5248.383","5228.216","5207.424","5186","5163.945","5141.282","5118.176","5094.765","5071.186","5047.513","5023.804","5000.063","4976.292","4952.538","4928.853","4905.319","4882.04","4859.179","4836.878"
"Djibouti","898707","913998","929117","944100","958923","973557","988002","1002197","1016098","1029701","1043016","1056058","1068802","1081237","1093376","1105197","1116713","1127939","1138874","1149506","1159874","1169983","1179840","1189442","1198823","1207985","1216933","1225675","1234214","1242552","1250708","1258684","1266466","1274053","1281417","1288543","1295368","1301914","1308166","1314104","1319701","1324938","1329826","1334351","1338520","1342346","1345828","1348975","1351803","1354298","1356502","1358408","1360036","1361410","1362533","1363438","1364158","1364674","1365015","1365216","1365272","1365224","1365049","1364790","1364431","1363973","1363429","1362774","1362.042","1361.218","1360.295","1359.264","1358.134","1356.908","1355.574","1354.122","1352.589","1350.931","1349.181","1347.316","1345.354","1343.301","1341.158","1338.905","1336.57","1334.154","1331.656"
"Dominica","71091","71175","71307","71460","71626","71808","71991","72172","72337","72514","72683","72819","72954","73052","73137","73201","73244","73264","73255","73226","73174","73106","73019","72922","72808","72682","72548","72403","72259","72100","71935","71771","71607","71432","71260","71073","70872","70680","70462","70242","70010","69772","69511","69252","68959","68671","68383","68063","67739","67407","67040","66690","66315","65936","65536","65131","64715","64296","63868","63432","62985","62523","62065","61608","61126","60654","60163","59687","59.199","58.707","58.224","57.753","57.281","56.805","56.342","55.89","55.436","54.994","54.557","54.128","53.706","53.294","52.895","52.493","52.108","51.727","51.345"
"Dominican Republic","10165182","10281675","10397738","10513111","10627147","10738957","10847904","10953714","11056374","11155917","11252476","11346157","11436847","11524522","11609235","11691142","11770316","11846806","11920599","11991718","12060203","12126063","12189316","12249970","12308031","12363543","12416487","12466878","12514682","12559830","12602199","12641739","12678418","12712210","12743092","12770970","12795809","12817588","12836343","12852141","12865075","12875248","12882699","12887443","12889463","12888812","12885464","12879468","12870850","12859706","12846116","12830154","12811884","12791318","12768438","12743206","12715611","12685666","12653414","12618938","12582295","12543539","12502738","12459897","12415044","12368195","12319362","12268604","12215.958","12161.469","12105.201","12047.2","11987.529","11926.225","11863.384","11799.084","11733.427","11666.438","11598.212","11528.759","11458.145","11386.389","11313.544","11239.666","11164.833","11089.102","11012.548"
"Ecuador","15951832","16212022","16491116","16785356","17084359","17373657","17643060","17888474","18113365","18324151","18530785","18740538","18955057","19172033","19389986","19606248","19818799","20027522","20233234","20435856","20635422","20831895","21025157","21214988","21401248","21583750","21762363","21936969","22107469","22273822","22435941","22593788","22747314","22896422","23041046","23181074","23316455","23447099","23572979","23694216","23810907","23923154","24030987","24134326","24233007","24326832","24415659","24499416","24578164","24651990","24721010","24785316","24844962","24899946","24950256","24995886","25036853","25073202","25104975","25132232","25155075","25173590","25187830","25197875","25203732","25205422","25203001","25196506","25186.057","25171.863","25154.17","25133.141","25108.949","25081.642","25051.295","25017.897","24981.49","24942.193","24900.118","24855.453","24808.365","24759.024","24707.57","24654.133","24598.815","24541.698","24482.822"
"Egypt","90424668","92442549","94447071","96442590","98423602","100388076","102334403","104258327","106156692","108031556","109887164","111727822","113553583","115366619","117176387","118994941","120831556","122689211","124567639","126468615","128392923","130340377","132311728","134305287","136314904","138332241","140350383","142366345","144378614","146383312","148376571","150355054","152316495","154259175","156181125","158080708","159956809","161808056","163634318","165437364","167219981","168984282","170730439","172458071","174168052","175861272","177538300","179199385","180844009","182470940","184078470","185665117","187230414","188774019","190294767","191791353","193262751","194708317","196127822","197521450","198889585","200232540","201550026","202841736","204107931","205348944","206564937","207755706","208920.784","210059.742","211172.057","212257.147","213314.585","214343.718","215343.489","216312.606","217249.931","218154.642","219026.14","219863.957","220667.658","221436.717","222170.51","222868.251","223529.004","224151.721","224735.18"
"El Salvador","6295124","6325121","6356137","6388124","6420740","6453550","6486201","6509394","6528975","6545638","6559851","6571943","6581969","6589832","6595239","6597771","6597117","6593147","6586166","6576897","6566353","6555234","6543851","6531981","6519201","6504888","6488551","6470094","6449634","6427217","6402887","6376686","6348617","6318615","6286648","6252715","6216814","6178935","6139108","6097311","6053598","6007988","5960493","5911140","5859980","5807049","5752397","5696071","5638079","5578482","5517315","5454632","5390440","5324780","5257645","5189064","5119049","5047613","4974779","4900523","4824801","4747621","4669008","4588971","4507557","4424801","4340704","4255359","4168.803","4081.166","3992.538","3903.041","3812.74","3721.766","3630.206","3538.286","3446.106","3353.795","3261.451","3169.134","3076.931","2984.908","2893.159","2801.773","2710.874","2620.582","2531.032"
"Equatorial Guinea","1122273","1168575","1215181","1262008","1308966","1355982","1402985","1449891","1496673","1543389","1590204","1637214","1684460","1731874","1779309","1826581","1873551","1920130","1966429","2012645","2059080","2105959","2153346","2201143","2249249","2297466","2345653","2393780","2441858","2489842","2537702","2585384","2632868","2680123","2727178","2774099","2820923","2867643","2914203","2960593","3006734","3052588","3098146","3143368","3188206","3232613","3276547","3319971","3362862","3405181","3446899","3487974","3528376","3568098","3607149","3645503","3683170","3720159","3756434","3792033","3826931","3861146","3894695","3927566","3959770","3991328","4022253","4052536","4082.198","4111.235","4139.656","4167.461","4194.664","4221.256","4247.24","4272.593","4297.311","4321.404","4344.857","4367.692","4389.905","4411.529","4432.541","4452.972","4472.796","4492.012","4510.631"
"Eritrea","3311444","3342818","3376558","3412894","3452797","3497117","3546427","3601462","3662248","3727656","3795984","3865964","3937196","4009964","4084469","4161129","4240216","4321620","4405037","4490189","4576724","4664368","4752916","4842283","4932283","5022756","5113554","5204543","5295590","5386455","5476917","5566814","5656006","5744467","5832191","5919177","6005492","6091067","6175890","6260065","6343706","6426912","6509690","6592012","6673875","6755258","6836127","6916475","6996252","7075398","7153833","7231475","7308284","7384198","7459064","7532781","7605156","7676164","7745775","7813904","7880563","7945708","8009301","8071319","8131732","8190551","8247769","8303387","8357.378","8409.739","8460.494","8509.622","8557.145","8603.066","8647.392","8690.183","8731.457","8771.23","8809.506","8846.27","8881.535","8915.294","8947.547","8978.295","9007.574","9035.395","9061.777"
"Estonia","1316273","1315330","1316507","1319389","1322913","1325649","1326539","1321845","1316414","1310365","1303767","1296700","1289226","1281384","1273200","1264696","1255893","1246813","1237513","1228070","1218582","1209100","1199684","1190317","1180997","1171717","1162453","1153207","1143986","1134752","1125507","1116203","1106836","1097393","1087861","1078226","1068463","1058553","1048505","1038328","1027994","1017514","1006879","996091","985160","974096","962873","951531","940055","928467","916785","905021","893182","881279","869333","857384","845438","833500","821594","809735","797949","786258","774666","763191","751819","740577","729437","718420","707.533","696.768","686.156","675.716","665.419","655.273","645.291","635.475","625.785","616.248","606.837","597.535","588.313","579.156","570.019","560.898","551.756","542.558","533.283"
"Ethiopia","98094264","100835453","103603461","106399926","109224410","112078727","114963583","117876226","120812698","123771387","126750868","129749447","132765521","135796650","138839374","141889688","144944302","148001185","151059252","154117367","157174828","160230927","163283946","166332873","169378602","172422729","175465980","178507818","181546169","184578316","187600773","190610528","193605496","196584361","199545708","202488311","205410671","208311247","211187737","214036900","216855054","219639096","222386798","225096920","227768549","230401278","232994396","235546489","238055878","240521352","242941692","245315672","247642431","249920672","252148154","254322269","256441027","258503139","260508377","262457302","264351075","266190460","267975379","269705167","271379324","272997211","274558382","276062945","277511036","278902257","280236075","281512335","282731082","283893100","284999901","286053506","287055562","288007155","288908859","289760921","290563641","291317472","292023200","292681949","293295204","293864788","294392903"
"Faeroe Islands","47965","48055","48173","48326","48497","48677","48865","49053","49230","49419","49613","49815","50036","50246","50470","50697","50913","51129","51341","51546","51744","51934","52103","52265","52411","52553","52672","52784","52882","52981","53065","53142","53206","53273","53339","53396","53465","53523","53587","53648","53713","53783","53849","53917","53997","54074","54142","54225","54315","54393","54473","54555","54642","54723","54794","54871","54949","55014","55079","55150","55210","55278","55328","55376","55427","55466","55507","55546","55571","55589","55604","55611","55616","55617","55613","55596","55586","55556","55520","55485","55443","55409","55351","55288","55227","55163","55097"
"Falkland Islands (Malvinas)","2787","2836","2926","3074","3236","3372","3483","3528","3534","3519","3489","3468","3452","3444","3443","3446","3439","3425","3422","3409","3402","3393","3387","3375","3366","3355","3348","3338","3326","3316","3304","3288","3283","3270","3260","3247","3233","3225","3217","3203","3192","3181","3172","3156","3144","3131","3117","3106","3093","3083","3071","3053","3034","3024","3020","3008","2997","2987","2970","2965","2957","2948","2939","2932","2921","2912","2902","2891","2879","2875","2865","2858","2850","2840","2833","2819","2812","2806","2794","2783","2774","2766","2757","2747","2737","2729","2717"
"Fiji","866447","868632","872406","877460","883490","889955","896444","902899","909457","916131","922955","929977","937162","944456","951763","958971","966019","972866","979496","985937","992226","998387","1004410","1010275","1015984","1021522","1026887","1032078","1037093","1041938","1046623","1051129","1055478","1059661","1063677","1067544","1071252","1074797","1078201","1081444","1084500","1087395","1090119","1092671","1095053","1097254","1099290","1101157","1102854","1104384","1105757","1106985","1108050","1108984","1109771","1110436","1110974","1111404","1111716","1111901","1111983","1111937","1111765","1111476","1111061","1110517","1109845","1109033","1108088","1107007","1105791","1104427","1102925","1101268","1099468","1097526","1095412","1093164","1090758","1088214","1085519","1082683","1079726","1076626","1073401","1070056","1066581"
"Finland","5461410","5481128","5497714","5511372","5522585","5532159","5540718","5542132","5541369","5538601","5533981","5527630","5519668","5510139","5499108","5486606","5472658","5457364","5440817","5423212","5404763","5385650","5365987","5345811","5325166","5304090","5282623","5260807","5238679","5216290","5193671","5170867","5147899","5124776","5101453","5077881","5054018","5029852","5005438","4980745","4955775","4930531","4905002","4879227","4853290","4827318","4801396","4775546","4749743","4724013","4698354","4672735","4647166","4621643","4596080","4570386","4544496","4518356","4492007","4465383","4438482","4411292","4383788","4355988","4327898","4299573","4271037","4242296","4213379","4184303","4155107","4125814","4096463","4067045","4037617","4008236","3978900","3949651","3920507","3891466","3862543","3833739","3805080","3776553","3748175","3719978","3691961"
"France","64193550","64453194","64667590","64842513","64990512","65129731","65273512","65374698","65452393","65509055","65546795","65567373","65572114","65561989","65537665","65499507","65447896","65383375","65306924","65219997","65124328","65021136","64911230","64794407","64669706","64535571","64390849","64235277","64069273","63892958","63706645","63510540","63304720","63089086","62863532","62627949","62382292","62126808","61861743","61587033","61302605","61008589","60705295","60393390","60073879","59747966","59416788","59080902","58740928","58398173","58054134","57709987","57366386","57023573","56681739","56340831","56000813","55661797","55323837","54986725","54650182","54313841","53977653","53641373","53304144","52964979","52623091","52278103","51930012","51578937","51225150","50868848","50509955","50148310","49783979","49417072","49047648","48675706","48301153","47923883","47543752","47160635","46774430","46385046","45992415","45596511","45197303"
"French Guiana","254780","261008","267824","275189","282936","290823","298682","306450","314169","321896","329645","337490","345401","353365","361384","369469","377608","385810","394053","402348","410677","419021","427374","435753","444139","452518","460905","469268","477633","485986","494356","502734","511127","519528","527944","536378","544809","553258","561712","570179","578631","587090","595526","603964","612377","620771","629147","637494","645808","654103","662377","670622","678848","687048","695236","703371","711479","719542","727558","735546","743484","751392","759243","767058","774820","782539","790180","797775","805302","812759","820165","827493","834759","841953","849066","856095","863024","869853","876598","883232","889773","896230","902597","908871","915055","921152","927143"
"French Polynesia","271713","273119","274576","276108","277673","279285","280904","282165","283359","284461","285495","286475","287366","288183","288926","289576","290108","290558","290904","291154","291337","291444","291496","291477","291377","291202","290944","290601","290159","289631","289025","288328","287542","286665","285706","284661","283518","282305","280989","279610","278124","276578","274954","273257","271496","269667","267770","265819","263810","261762","259667","257512","255344","253140","250891","248617","246302","243968","241596","239197","236785","234334","231869","229376","226873","224341","221787","219206","216612","213995","211369","208722","206056","203389","200696","197997","195290","192573","189854","187121","184383","181631","178890","176119","173356","170584","167809"
"Gabon","1883801","1947690","2007882","2064812","2119275","2172578","2225728","2278829","2331532","2383905","2435945","2487672","2539200","2590618","2641952","2693227","2744456","2795682","2846960","2898353","2949950","3001792","3053905","3106290","3158997","3212029","3265421","3319140","3373182","3427478","3481959","3536544","3591211","3645878","3700486","3754900","3809049","3862874","3916321","3969331","4021804","4073683","4124938","4175550","4225511","4274809","4323454","4371432","4418781","4465531","4511753","4557530","4602860","4647775","4692313","4736527","4780454","4824126","4867531","4910659","4953521","4996105","5038406","5080389","5122024","5163235","5203965","5244197","5283876","5322991","5361480","5399339","5436541","5473024","5508692","5543435","5577160","5609814","5641419","5671984","5701557","5730166","5757856","5784595","5810423","5835302","5859225"
"Gambia","2024037","2085860","2149134","2213900","2280092","2347696","2416664","2486937","2558493","2631251","2705194","2780255","2856404","2933573","3011723","3090775","3170687","3251396","3332860","3415054","3497961","3581566","3665800","3750643","3836017","3921853","4008098","4094696","4181604","4268764","4356156","4443732","4531425","4619210","4706969","4794625","4882099","4969333","5056273","5142881","5229109","5314948","5400325","5485197","5569531","5653329","5736538","5819130","5901087","5982290","6062669","6142131","6220632","6298163","6374713","6450306","6524957","6598646","6671323","6742960","6813507","6882933","6951201","7018294","7084181","7148838","7212223","7274318","7335106","7394527","7452548","7509130","7564259","7617897","7670040","7720635","7769650","7817077","7862941","7907238","7949989","7991224","8030975","8069255","8106092","8141524","8175553"
"Georgia","4035310","4024180","4015457","4008723","4002946","3996762","3989175","3974865","3958488","3940321","3920622","3899590","3877393","3854184","3830052","3805057","3779286","3752836","3725816","3698387","3670749","3643041","3615351","3587664","3559949","3532090","3504025","3475744","3447267","3418515","3389472","3360060","3330257","3300077","3269455","3238399","3206867","3174870","3142383","3109436","3076049","3042236","3008009","2973390","2938408","2903117","2867552","2831725","2795702","2759493","2723157","2686728","2650244","2613728","2577190","2540656","2504141","2467658","2431233","2394882","2358607","2322419","2286325","2250345","2214468","2178686","2143030","2107468","2071996","2036623","2001349","1966143","1931014","1895938","1860881","1825820","1790722","1755562","1720340","1685039","1649647","1614148","1578533","1542778","1506867","1470766","1434443"
"Germany","81450370","81787411","82193770","82658409","83124413","83517046","83783945","83657231","83502818","83324550","83125605","82908568","82675392","82427362","82165274","81889466","81600278","81298439","80985434","80663644","80335946","80004375","79670062","79332632","78990624","78641686","78284083","77917579","77542559","77158430","76764604","76360725","75946644","75522584","75089056","74646821","74196577","73738937","73274340","72803182","72325890","71843061","71355211","70863393","70369403","69875438","69383289","68893725","68407221","67924792","67447429","66975854","66510587","66051574","65598070","65148903","64703115","64260636","63821439","63384599","62949084","62514097","62079308","61644934","61211612","60780299","60351783","59926204","59503587","59084379","58669127","58258190","57851760","57449858","57052459","56659464","56270707","55886105","55505490","55128715","54755559","54385756","54018933","53654685","53292504","52931792","52571900"
"Ghana","27224480","27849203","28481947","29121464","29767108","30417858","31072945","31732128","32395454","33062741","33733902","34408762","35087160","35768893","36453875","37142078","37833419","38527747","39224881","39924653","40626942","41331548","42038251","42746836","43457212","44169217","44882713","45597444","46313077","47029148","47745146","48460554","49175071","49888351","50599955","51309354","52016123","52719927","53420468","54117515","54810821","55500191","56185334","56865990","57542036","58213419","58879984","59541644","60198118","60848952","61493586","62131600","62762642","63386613","64003859","64614891","65220014","65819217","66412025","66997691","67575232","68143854","68703158","69253042","69793461","70324532","70846246","71358513","71860985","72353132","72834298","73303985","73761903","74208117","74642956","75066944","75480468","75883591","76276146","76657840","77028328","77387375","77734823","78070717","78395226","78708635","79011409"
"Gibraltar","33726","33742","33738","33723","33715","33706","33691","33691","33714","33711","33737","33753","33786","33820","33844","33889","33906","33951","33978","34004","34031","34049","34082","34096","34120","34119","34133","34137","34144","34126","34112","34100","34077","34051","34013","33969","33918","33864","33808","33740","33670","33591","33512","33427","33312","33210","33103","32991","32877","32752","32627","32489","32360","32213","32071","31934","31794","31645","31502","31350","31212","31063","30917","30764","30614","30469","30325","30179","30043","29893","29747","29593","29452","29297","29145","28996","28839","28674","28526","28364","28207","28043","27876","27715","27559","27388","27242"
"Greece","10701460","10659737","10615183","10569449","10522244","10473452","10423056","10356586","10289280","10221355","10152967","10084315","10015563","9946844","9878297","9810029","9742133","9674677","9607641","9540980","9474618","9408446","9342427","9276472","9210397","9143989","9077040","9009424","8941046","8871776","8801463","8729963","8657209","8583100","8507513","8430290","8351343","8270630","8188178","8103945","8017980","7930300","7840991","7750142","7657941","7564598","7470329","7375281","7279650","7183693","7087737","6992044","6896808","6802221","6708516","6615978","6524819","6435208","6347224","6260995","6176541","6093954","6013264","5934465","5857561","5782508","5709224","5637662","5567750","5499355","5432338","5366545","5301887","5238249","5175376","5112976","5050831","4988774","4926776","4864854","4803040","4741332","4679752","4618271","4556811","4495303","4433609"
"Greenland","56383","56378","56408","56473","56565","56660","56772","56868","56975","57064","57137","57186","57208","57217","57197","57161","57092","57021","56924","56805","56683","56541","56379","56207","56026","55824","55625","55413","55195","54960","54746","54511","54269","54022","53774","53536","53298","53058","52823","52591","52356","52135","51900","51670","51458","51230","51004","50787","50559","50336","50112","49877","49640","49413","49175","48935","48682","48436","48181","47918","47654","47392","47124","46853","46572","46298","46025","45746","45468","45184","44904","44625","44357","44077","43801","43528","43258","42975","42703","42433","42158","41887","41614","41338","41071","40790","40524"
"Grenada","108900","109603","110263","110874","111449","112002","112519","112889","113172","113370","113502","113557","113572","113530","113447","113297","113117","112906","112653","112369","112059","111748","111415","111065","110705","110326","109925","109512","109091","108632","108165","107665","107138","106585","105999","105384","104730","104049","103342","102584","101800","100985","100146","99273","98373","97447","96486","95511","94503","93486","92444","91375","90296","89198","88088","86959","85828","84668","83499","82326","81133","79943","78734","77532","76323","75112","73894","72675","71458","70239","69021","67808","66600","65395","64181","62982","61788","60585","59398","58196","57010","55830","54646","53469","52287","51108","49933"
"Guadeloupe","401305","400260","399760","399679","399848","400048","400127","400013","399802","399536","399321","399247","399316","399488","399731","400006","400244","400457","400628","400749","400769","400666","400451","400111","399635","399046","398339","397521","396611","395597","394508","393357","392155","390910","389623","388296","386919","385515","384084","382657","381239","379835","378485","377177","375910","374690","373529","372427","371367","370375","369433","368537","367695","366897","366131","365405","364710","364040","363382","362742","362112","361505","360885","360268","359652","359024","358400","357744","357084","356399","355687","354957","354177","353365","352523","351632","350695","349728","348707","347625","346521","345340","344119","342841","341504","340114","338669"
"Guam","161007","161851","162948","164281","165770","167295","168783","170184","171528","172819","174070","175329","176559","177754","178924","180047","181143","182188","183201","184153","185061","185913","186714","187452","188144","188788","189375","189912","190391","190829","191227","191582","191891","192167","192409","192608","192785","192927","193037","193125","193189","193229","193235","193236","193200","193151","193066","192965","192842","192689","192525","192324","192111","191868","191591","191298","190969","190608","190237","189811","189371","188889","188369","187822","187236","186613","185969","185289","184585","183839","183073","182262","181440","180587","179707","178812","177896","176956","176006","175024","174045","173051","172046","171028","169992","168962","167922"
"Guatemala","15923238","16252425","16583079","16914979","17247855","17581476","17915567","18249868","18584043","18917714","19250479","19581999","19911940","20240101","20566327","20890528","21212560","21532282","21849433","22163681","22474639","22781994","23085500","23385120","23680894","23972984","24261439","24546223","24827170","25104136","25376955","25645462","25909548","26169134","26424193","26674722","26920714","27162055","27398581","27630080","27856304","28077040","28292106","28501400","28704766","28902037","29093028","29277651","29455784","29627246","29791921","29949645","30100365","30244000","30380494","30509830","30631950","30746844","30854492","30954951","31048314","31134644","31214013","31286461","31351930","31410339","31461686","31506007","31543451","31574291","31598885","31617503","31630369","31637564","31639111","31634992","31625261","31610050","31589588","31564179","31534094","31499674","31461147","31418739","31372660","31323066","31270073"
"Guinea","11150970","11432096","11738434","12067516","12414292","12771246","13132792","13497237","13865692","14238716","14617784","15003848","15396570","15794994","16198774","16607517","17020912","17438697","17860691","18286677","18716466","19149859","19586671","20026716","20469799","20915792","21364535","21815813","22269479","22725447","23183709","23644152","24106630","24570873","25036655","25503728","25971807","26440679","26910076","27379606","27848796","28317266","28784678","29250806","29715477","30178569","30639917","31099277","31556371","32010815","32462211","32910206","33354527","33794998","34231387","34663549","35091315","35514474","35932841","36346226","36754453","37157362","37554834","37946772","38332932","38713075","39087022","39454556","39815700","40170766","40520257","40864442","41203446","41537026","41864668","42185678","42499528","42806020","43105234","43397407","43682841","43961734","44234170","44500161","44759497","45011878","45256876"
"Guinea-Bissau","1692433","1737207","1782434","1828146","1874304","1920917","1967998","2015490","2063361","2111612","2160280","2209378","2258895","2308813","2359159","2409956","2461208","2512924","2565082","2617671","2670648","2724000","2777711","2831754","2886139","2940904","2996057","3051567","3107400","3163490","3219714","3276006","3332323","3388624","3444902","3501098","3557202","3613167","3668979","3724567","3779893","3834904","3889587","3943893","3997847","4051475","4104756","4157710","4210298","4262469","4314169","4365367","4416017","4466124","4515687","4564693","4613179","4661110","4708449","4755179","4801249","4846593","4891210","4935081","4978198","5020567","5062176","5103017","5143068","5182285","5220606","5258003","5294437","5329933","5364473","5398063","5430728","5462450","5493245","5523083","5551996","5579975","5607010","5633139","5658379","5682738","5706289"
"Guyana","763371","767433","771363","775218","779007","782775","786559","790329","794039","797711","801343","804950","808538","812058","815463","818648","821585","824224","826556","828606","830375","831875","833098","834048","834723","835140","835334","835273","834998","834493","833762","832813","831646","830275","828693","826934","824958","822802","820467","817945","815229","812317","809230","805962","802512","798880","795101","791156","787058","782810","778415","773863","769165","764308","759315","754160","748866","743421","737829","732087","726194","720166","713992","707670","701213","694604","687851","680950","673909","666741","659447","652028","644506","636845","629101","621250","613311","605304","597212","589055","580831","572555","564226","555862","547464","539041","530598"
"Haiti","10549007","10695540","10839976","10982367","11123183","11263079","11402533","11541683","11680288","11817963","11954192","12088555","12220965","12351508","12480291","12607489","12733227","12857462","12980131","13101411","13221557","13340690","13458858","13575896","13691413","13804888","13915919","14024295","14129986","14233047","14333536","14431512","14526891","14619482","14709031","14795215","14877785","14956596","15031637","15102814","15170134","15233544","15293009","15348490","15399987","15447523","15491103","15530738","15566465","15598337","15626424","15650810","15671553","15688721","15702352","15712483","15719202","15722559","15722649","15719604","15713585","15704753","15693173","15678926","15662089","15642751","15620972","15596824","15570401","15541743","15510857","15477801","15442639","15405412","15366192","15325058","15282055","15237251","15190666","15142395","15092449","15040875","14987735","14933072","14876928","14819381","14760450"
"Holy See","785","790","791","798","810","815","809","812","808","808","803","799","795","793","803","797","799","794","795","789","801","801","805","807","806","800","797","795","800","798","794","796","802","811","811","807","806","804","806","803","805","803","805","805","804","819","822","816","817","817","814","810","808","804","803","797","788","784","787","793","793","793","794","793","795","792","791","793","792","794","795","793","791","789","789","791","790","789","790","790","791","791","793","796","796","795","797"
