"Country","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"British Virgin Islands","28985","29148","29355","29567","29795","30033","30237","30423","30606","30781","30937","31091","31244","31393","31523","31650","31767","31864","31960","32039","32096","32151","32207","32228","32241","32248","32232","32212","32182","32133","32083","32004","31931","31832","31753","31644","31540","31427","31312","31186","31058","30926","30783","30652","30513","30358","30217","30069","29922","29775","29616","29470","29315","29153","29008","28852","28693","28537","28379","28228","28073","27929","27783","27626","27491","27348","27216","27071","26939","26808","26682","26548","26430","26307","26184","26075","25957","25828","25715","25599","25482","25385","25270","25167","25059","24958","24857"
"Brunei Darussalam","409778","414914","419791","424481","428960","433296","437483","441723","445876","449929","453875","457706","461431","465034","468523","471886","475114","478220","481197","484044","486748","489335","491766","494071","496245","498285","500199","501981","503642","505161","506567","507823","508954","509947","510808","511531","512124","512574","512889","513078","513138","513091","512919","512658","512279","511812","511249","510597","509867","509058","508189","507254","506271","505247","504174","503070","501931","500775","499606","498419","497221","496014","494811","493608","492400","491201","490003","488817","487647","486470","485297","484144","482997","481849","480723","479590","478469","477345","476220","475116","473991","472873","471760","470636","469530","468401","467278"
"Bulgaria","7245648","7199739","7151948","7102452","7051610","7000117","6948445","6895470","6841733","6787319","6732305","6676738","6620673","6564100","6507040","6449477","6391404","6332890","6274001","6214910","6155787","6096823","6038041","5979537","5921401","5863775","5806752","5750380","5694674","5639561","5584997","5530899","5477248","5424035","5371162","5318520","5266052","5213716","5161459","5109214","5056905","5004452","4951865","4899116","4846265","4793343","4740419","4687482","4634600","4581887","4529474","4477468","4425962","4374972","4324563","4274796","4225715","4177362","4129772","4083024","4037131","3992149","3948079","3904936","3862733","3821498","3781228","3741921","3703527","3665955","3629117","3592903","3557269","3522172","3487444","3452948","3418563","3384211","3349829","3315394","3280929","3246370","3211709","3176905","3141906","3106627","3070980"
"Burkina Faso","17586029","18110616","18646350","19193236","19751466","20321383","20903278","21517943","22155511","22814409","23493461","24191831","24909082","25645162","26400302","27174925","27969369","28783504","29616483","30466585","31331583","32209775","33100455","34003737","34919650","35848590","36790864","37746271","38714690","39696514","40692355","41702646","42727565","43767004","44820864","45888929","46971029","48067053","49177040","50301262","51440059","52593627","53761821","54944276","56140606","57350289","58572805","59807899","61055120","62313466","63581704","64858862","66144302","67437867","68739572","70049741","71368451","72695569","74030583","75372940","76721948","78077057","79437849","80804222","82176265","83554261","84938338","86328285","87723684","89124069","90528875","91937560","93349754","94765115","96183308","97603992","99026771","100451215","101876844","103303177","104729647","106155753","107580953","109004727","110426562","111845937","113262351"
"Burundi","9844301","10160034","10488002","10827010","11175379","11530577","11890781","12268624","12656296","13053318","13459366","13874244","14297962","14730695","15172701","15624383","16086049","16557844","17039609","17530793","18030648","18538628","19054584","19578690","20111353","20653134","21204468","21765410","22335863","22915945","23505744","24105324","24714661","25333677","25962137","26599717","27246103","27901126","28564689","29236603","29916713","30604820","31300796","32004415","32715355","33433229","34157732","34888683","35626001","36369594","37119423","37875455","38637548","39405610","40179796","40960299","41747241","42540620","43340274","44145885","44957077","45773516","46594989","47421485","48253053","49089875","49932006","50779318","51631524","52488378","53349581","54214799","55083830","55956407","56832054","57710203","58590408","59472308","60355700","61240408","62126315","63013237","63900992","64789322","65677919","66566438","67454443"
"Cabo Verde","518276","524740","531140","537499","543764","549936","555988","562602","569356","576200","583118","590057","597017","603977","610952","617911","624873","631821","638747","645610","652381","659019","665526","671891","678141","684274","690320","696278","702130","707887","713573","719194","724732","730194","735581","740886","746129","751261","756307","761277","766148","770924","775602","780188","784654","789027","793262","797383","801384","805263","809042","812692","816271","819727","823090","826361","829553","832643","835673","838640","841570","844476","847356","850237","853103","855997","858910","861856","864829","867841","870905","874013","877156","880361","883600","886886","890196","893538","896907","900292","903689","907109","910519","913929","917317","920666","923969"
"Cambodia","15274506","15521435","15766290","16009413","16249795","16486542","16718971","16971968","17225533","17479195","17732620","17985679","18238448","18491132","18744123","18997873","19252782","19508951","19766101","20023485","20280002","20534873","20787822","21038957","21288359","21536258","21782794","22027886","22271469","22513745","22754963","22995302","23234808","23473405","23710948","23947214","24182023","24415284","24646967","24877003","25105318","25331836","25556487","25779133","25999597","26217626","26433019","26645719","26855721","27062865","27266980","27467983","27665873","27860773","28052896","28242548","28430020","28615416","28798906","28980826","29161575","29341483","29520744","29699470","29877777","30055718","30233406","30410890","30588251","30765544","30942854","31120184","31297560","31474948","31652171","31829001","32005285","32180890","32355757","32529867","32703190","32875668","33047215","33217680","33386894","33554633","33720612"
"Cameroon","22681853","23298376","23926549","24566070","25216261","25876387","26545864","27252261","27981477","28731577","29501040","30288698","31093919","31916403","32756246","33613738","34489146","35382299","36292266","37217318","38155211","39104292","40063808","41033986","42015318","43008802","44015183","45034371","46066126","47110821","48168931","49240748","50326480","51425920","52538459","53663261","54799714","55947522","57106784","58277773","59460911","60656477","61864381","63084342","64316128","65559459","66814022","68079614","69356005","70642790","71939521","73245800","74561267","75885668","77218683","78559997","79909292","81266283","82630684","84002060","85380000","86764132","88154234","89550089","90951438","92358066","93769779","95186169","96607129","98033060","99464558","100901922","102345285","103794074","105247110","106702800","108159998","109618175","111077398","112538100","114000769","115465831","116933402","118403411","119875450","121348859","122822713"
"Canada","35664338","36026668","36382942","36732091","37074558","37411038","37742157","38069901","38399041","38727991","39055395","39380214","39701660","40019235","40332687","40641927","40946897","41247317","41542620","41831770","42113580","42387172","42652198","42908885","43157797","43399788","43635618","43865554","44089754","44308665","44522797","44732629","44938605","45141141","45340736","45537905","45733144","45926810","46119326","46311328","46503509","46696399","46890265","47085232","47281632","47479768","47679812","47881791","48085530","48290447","48495784","48700848","48905410","49109237","49311664","49511885","49709303","49903605","50094709","50282514","50467035","50648331","50826345","51001125","51172875","51341912","51508560","51673000","51835417","51996081","52155290","52313341","52470423","52626846","52783115","52939854","53097539","53256480","53416767","53578422","53741392","53905663","54071248","54238224","54406718","54576925","54749074"
"Cayman Islands","60848","61721","62564","63382","64172","64948","65720","66498","67280","68054","68838","69607","70360","71112","71859","72606","73335","74046","74757","75456","76147","76808","77477","78125","78767","79371","79974","80537","81098","81630","82135","82622","83071","83506","83909","84289","84657","85002","85327","85639","85934","86212","86503","86776","87046","87324","87594","87857","88134","88414","88713","89002","89311","89636","89955","90302","90649","91013","91374","91754","92139","92537","92944","93355","93778","94185","94601","95009","95427","95832","96243","96642","97043","97453","97853","98251","98651","99056","99461","99857","100250","100658","101056","101446","101848","102260","102667"
