"Country","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"Latvia","2021220","1997675","1974265","1951097","1928461","1906740","1886202","1867715","1849573","1831805","1814433","1797452","1780853","1764584","1748602","1732851","1717265","1701827","1686544","1671497","1656774","1642443","1628508","1614977","1601802","1588951","1576393","1564101","1552106","1540378","1528955","1517801","1506933","1496302","1485869","1475556","1465312","1455131","1444972","1434813","1424618","1414377","1404051","1393643","1383166","1372613","1362024","1351374","1340711","1330041","1319424","1308913","1298514","1288253","1278134","1268198","1258440","1248888","1239539","1230435","1221577","1213011","1204724","1196703","1188942","1181408","1174078","1166947","1159996","1153213","1146546","1139977","1133487","1127070","1120701","1114412","1108169","1101977","1095820","1089674","1083498","1077296","1071038","1064717","1058318","1051833","1045266"
"Lebanon","6261046","6532681","6714281","6819373","6859408","6855709","6825442","6732609","6650710","6578931","6516792","6464081","6420949","6387836","6365437","6354533","6355673","6368792","6392841","6425650","6464365","6506631","6551582","6598808","6646837","6694146","6739632","6782410","6822396","6860248","6897158","6934036","6970911","7007522","7044065","7080745","7117670","7154937","7192534","7230358","7268266","7306126","7343884","7381492","7418654","7455073","7490482","7524803","7557971","7589901","7620481","7649668","7677411","7703776","7728823","7752710","7775576","7797469","7818520","7838906","7858861","7878626","7898283","7917948","7937772","7957942","7978600","7999824","8021668","8044134","8067222","8090907","8115209","8140128","8165591","8191523","8217845","8244493","8271437","8298638","8326069","8353674","8381405","8409155","8436827","8464306","8491439"
"Lesotho","2043448","2059011","2075041","2091532","2108327","2125267","2142252","2160273","2180197","2201794","2224846","2249122","2274410","2300508","2327223","2354369","2381801","2409369","2437006","2464663","2492366","2520079","2547767","2575413","2603075","2630853","2658813","2686976","2715313","2743824","2772480","2801268","2830180","2859208","2888339","2917528","2946746","2975980","3005227","3034435","3063592","3092654","3121615","3150443","3179143","3207698","3236087","3264330","3292382","3320262","3347911","3375332","3402519","3429481","3456226","3482820","3509264","3535569","3561734","3587789","3613752","3639641","3665467","3691209","3716866","3742364","3767673","3792798","3817712","3842461","3867066","3891557","3915925","3940154","3964219","3988069","4011696","4035050","4058162","4081006","4103583","4125895","4147936","4169661","4191076","4212123","4232794"
"Liberia","4359508","4472229","4586788","4702224","4818976","4937374","5057677","5186181","5319278","5456508","5597507","5741994","5889774","6040724","6194841","6352141","6512651","6676282","6842859","7012002","7183233","7356232","7530816","7707022","7885004","8065019","8247268","8431793","8618483","8807336","8998311","9191381","9386523","9583791","9783194","9984800","10188646","10394722","10602980","10813420","11025992","11240655","11457370","11676077","11896739","12119292","12343672","12569813","12797646","13027003","13257720","13489611","13722608","13956633","14191671","14427697","14664679","14902591","15141328","15380755","15620776","15861250","16102080","16343254","16584809","16826783","17069222","17312091","17555320","17798795","18042360","18285899","18529330","18772633","19015829","19258971","19502081","19745115","19987985","20230559","20472672","20714214","20955061","21195120","21434332","21672625","21910002"
"Libya","6362039","6418315","6492160","6580723","6678565","6777453","6871287","6965431","7059194","7152435","7245037","7336904","7428014","7518331","7607888","7696721","7784854","7872286","7958929","8044632","8129187","8212453","8294339","8374852","8454051","8532078","8608979","8684795","8759389","8832701","8904537","8974805","9043478","9110552","9175920","9239499","9301201","9361052","9419064","9475366","9530034","9583221","9634949","9685334","9734518","9782649","9829869","9876310","9922050","9967219","10011948","10056341","10100498","10144517","10188496","10232573","10276803","10321291","10366062","10411184","10456737","10502762","10549278","10596303","10643795","10691722","10740018","10788661","10837646","10886929","10936463","10986211","11036116","11086162","11136273","11186382","11236435","11286386","11336197","11385859","11435319","11484586","11533612","11582371","11630818","11678898","11726615"
"Liechtenstein","37219","37465","37655","37805","37918","38020","38137","38254","38389","38525","38663","38794","38923","39045","39170","39291","39405","39518","39625","39728","39821","39909","39976","40059","40106","40149","40199","40230","40261","40291","40307","40322","40331","40335","40342","40351","40355","40363","40379","40392","40414","40442","40470","40514","40557","40610","40668","40731","40801","40878","40965","41058","41151","41250","41358","41466","41573","41698","41818","41930","42053","42175","42297","42418","42529","42656","42776","42885","43006","43124","43239","43354","43475","43583","43706","43828","43938","44062","44183","44301","44425","44552","44689","44809","44933","45072","45212"
"Lithuania","2971498","2931872","2889555","2845419","2801270","2759631","2722291","2692545","2664508","2638011","2612867","2588884","2565861","2543568","2521800","2500308","2478925","2457506","2436027","2414533","2393167","2372013","2351077","2330320","2309824","2289678","2269953","2250673","2231820","2213389","2195409","2177833","2160698","2143947","2127462","2111089","2094726","2078318","2061865","2045340","2028689","2011931","1995030","1977991","1960851","1943623","1926348","1909046","1891754","1874488","1857354","1840396","1823652","1807156","1790883","1774876","1759147","1743704","1728555","1713750","1699336","1685330","1671752","1658585","1645781","1633296","1621081","1609110","1597402","1585863","1574448","1563104","1551802","1540542","1529314","1518100","1506945","1495803","1484702","1473607","1462498","1451373","1440250","1429118","1418005","1406923","1395906"
"Luxembourg","554512","566741","579266","591914","604244","615730","625976","633894","641436","648612","655444","661961","668226","674240","680095","685815","691443","696994","702506","707940","713280","718483","723566","728531","733379","738130","742753","747279","751690","755990","760180","764279","768274","772175","775974","779672","783263","786770","790181","793485","796713","799847","802879","805858","808732","811555","814316","817023","819685","822294","824877","827441","829977","832489","834986","837470","839933","842372","844800","847192","849568","851910","854214","856491","858742","860971","863188","865373","867556","869742","871930","874141","876393","878675","880970","883307","885684","888081","890508","892974","895456","897975","900527","903091","905679","908274","910867"
"Madagascar","23589897","24234080","24894370","25570511","26262313","26969306","27691019","28460006","29258448","30083349","30932229","31803116","32694522","33605488","34535470","35484252","36451642","37437145","38439687","39457406","40488144","41530360","42583383","43647661","44724202","45814585","46920199","48041273","49177999","50331683","51503884","52695772","53907805","55139983","56392471","57665242","58958152","60271214","61604112","62955923","64325436","65711575","67113867","68531914","69964935","71412077","72872608","74346056","75832084","77330341","78840556","80362493","81895832","83440413","84996468","86564383","88144426","89736516","91340385","92955934","94582990","96221361","97870859","99531235","101202183","102883341","104574354","106274806","107984349","109702650","111429425","113164291","114906900","116656642","118412681","120173958","121939608","123709015","125481760","127257582","129036230","130817406","132600724","134385719","136171770","137958180","139744135"
"Malawi","16289550","16745305","17205253","17670193","18143215","18628749","19129955","19671772","20238589","20827755","21437054","22064722","22709435","23370354","24046991","24739154","25446644","26168959","26904980","27652906","28410531","29176249","29949218","30729625","31518316","32316706","33125877","33946016","34776835","35618548","36471284","37335215","38210321","39096695","39994657","40904652","41826870","42761341","43707702","44665205","45632891","46609932","47595840","48590397","49593274","50604208","51622896","52648975","53681909","54721091","55765790","56815366","57869408","58927626","59989675","61055255","62124097","63195894","64270393","65347478","66427110","67509194","68593519","69679858","70768139","71858274","72950155","74043612","75138368","76234091","77330401","78426935","79523484","80619794","81715467","82810080","83903264","84994766","86084439","87172200","88257979","89341726","90423377","91502812","92579939","93654588","94726613"
"Malaysia","29866606","30270965","30684652","31104655","31528033","31949789","32365998","32792080","33216717","33638465","34056112","34468581","34875042","35274808","35667393","36052441","36429662","36798757","37159336","37510865","37852819","38184861","38506878","38819187","39122370","39417303","39704781","39985082","40258553","40526103","40788782","41047465","41302527","41554177","41802748","42048528","42291673","42532312","42770393","43005583","43237432","43465500","43689570","43909440","44124492","44334048","44537520","44734668","44925283","45108884","45284952","45453181","45613425","45765792","45910416","46047531","46177431","46300330","46416596","46526885","46632022","46732780","46829593","46922934","47013542","47102236","47189692","47276383","47362657","47449036","47536016","47623980","47713212","47803828","47895794","47989001","48083292","48178581","48274789","48371855","48469671","48568026","48666650","48765150","48863074","48959808","49054704"
"Maldives","435018","454914","475505","496398","515704","530957","540542","535689","531809","528655","526092","524026","522507","521579","521424","522233","524175","527273","531411","536250","541292","546192","550812","555182","559373","563530","567735","571966","576160","580288","584326","588207","591954","595543","598948","602156","605156","607904","610442","612727","614770","616558","618107","619396","620450","621256","621844","622205","622357","622304","622052","621626","621022","620240","619309","618222","616984","615612","614082","612456","610698","608828","606864","604800","602659","600460","598203","595910","593571","591241","588934","586677","584462","582324","580271","578321","576488","574764","573183","571705","570350","569090","567915","566827","565810","564852","563941"
"Mali","16934213","17438772","17965448","18512429","19077755","19658023","20250834","20872847","21519830","22190498","22883791","23598860","24335139","25092309","25870193","26668799","27488051","28327552","29186434","30063283","30956333","31864153","32786057","33721810","34671001","35633429","36608886","37596993","38597536","39610658","40636717","41675942","42728177","43793240","44871281","45962512","47067003","48184668","49315171","50457936","51612164","52777216","53952691","55138307","56333790","57538905","58753339","59976626","61208280","62447922","63695190","64949618","66210916","67478465","68751208","70027887","71307497","72589285","73873036","75158954","76447549","77739026","79033157","80329204","81626358","82923610","84220101","85515333","86808951","88100335","89388829","90673887","91955047","93231997","94504543","95772586","97036014","98294625","99548164","100796344","102038914","103275668","104506474","105731272","106950085","108163009","109370216"
"Malta","430190","433559","436099","437935","439255","440377","441539","442840","443973","444936","445745","446388","446849","447132","447221","447108","446788","446246","445506","444584","443508","442312","440990","439558","438043","436437","434778","433052","431287","429488","427675","425860","424029","422212","420414","418609","416831","415066","413314","411562","409823","408055","406280","404489","402672","400815","398922","396979","394990","392952","390861","388695","386466","384189","381841","379427","376975","374444","371876","369279","366631","363981","361314","358639","355971","353320","350688","348084","345506","342979","340488","338048","335658","333329","331041","328812","326652","324554","322502","320518","318576","316669","314825","313010","311227","309479","307740"
"Marshall Islands","57183","57444","57723","58053","58412","58791","59194","59618","60051","60520","61041","61597","62226","62895","63583","64299","64998","65687","66362","67028","67686","68328","68948","69568","70156","70727","71264","71783","72284","72747","73185","73611","73998","74362","74718","75053","75363","75661","75939","76197","76440","76669","76886","77086","77272","77435","77582","77715","77829","77911","77974","78021","78030","78013","77980","77915","77807","77680","77527","77330","77110","76868","76599","76301","75975","75618","75244","74843","74418","73977","73493","73018","72494","71960","71391","70815","70213","69582","68943","68278","67597","66899","66191","65473","64727","63979","63211"
"Martinique","381142","378483","376789","375946","375672","375557","375265","374662","374068","373484","372887","372275","371643","371005","370353","369692","369011","368339","367636","366904","366079","365166","364165","363057","361832","360462","358946","357302","355478","353551","351501","349348","347101","344782","342376","339949","337484","335015","332550","330088","327663","325280","322943","320665","318448","316309","314239","312249","310335","308519","306760","305091","303497","301978","300524","299127","297762","296438","295149","293883","292635","291418","290202","288986","287778","286576","285352","284121","282888","281639","280384","279108","277830","276533","275233","273921","272608","271283","269959","268612","267261","265888","264504","263101","261667","260212","258734"
"Mauritania","3930894","4046304","4163532","4282582","4403312","4525698","4649660","4780483","4914553","5051613","5191494","5334098","5479367","5627326","5778056","5931657","6088221","6247764","6410179","6575225","6742552","6911932","7083258","7256612","7432049","7609718","7789736","7972102","8156818","8343973","8533649","8725912","8920803","9118349","9318527","9521332","9726736","9934760","10145398","10358655","10574511","10792976","11014005","11237614","11463741","11692346","11923399","12156847","12392678","12630875","12871433","13114334","13359581","13607106","13856793","14108469","14361998","14617348","14874489","15133553","15394671","15657938","15923389","16190927","16460543","16732166","17005755","17281262","17558686","17837957","18119023","18401805","18686244","18972303","19259987","19549314","19840293","20132863","20426912","20722300","21018869","21316489","21614988","21914246","22214144","22514583","22815471"
"Mauritius","1257351","1259457","1261870","1264497","1267184","1269670","1271767","1273577","1275197","1276605","1277771","1278644","1279228","1279479","1279396","1278939","1278124","1276932","1275355","1273365","1270955","1268129","1264883","1261207","1257126","1252638","1247762","1242500","1236885","1230935","1224688","1218173","1211422","1204450","1197284","1189978","1182532","1175012","1167402","1159721","1151991","1144214","1136415","1128578","1120712","1112805","1104856","1096849","1088796","1080685","1072499","1064250","1055911","1047489","1038985","1030402","1021719","1012936","1004070","995116","986070","976926","967699","958391","949015","939579","930110","920602","911060","901515","891961","882404","872868","863346","853863","844435","835067","825778","816587","807474","798479","789584","780826","772195","763716","755394","747236"
"Mayotte","233658","240011","246460","252962","259526","266153","272813","279786","286976","294369","301922","309643","317521","325570","333770","342166","350734","359477","368392","377450","386589","395809","405058","414346","423686","433071","442503","451962","461476","471015","480575","490174","499805","509470","519158","528866","538627","548422","558235","568104","578005","587945","597918","607927","617980","628059","638174","648308","658473","668664","678844","689043","699244","709432","719622","729787","739941","750078","760198","770261","780332","790354","800355","810340","820273","830190","840074","849925","859745","869526","879286","888995","898678","908306","917910","927465","936964","946415","955804","965149","974425","983651","992813","1001903","1010942","1019904","1028789"
"Mexico","120355137","121858251","123333379","124777326","126190782","127575529","128932753","130429174","131953983","133495801","135045615","136596904","138145717","139690525","141231883","142771820","144311902","145851408","147385438","148904296","150395505","151850037","153264108","154639510","155979950","157291812","158580179","159845844","161088297","162310173","163514431","164703515","165878889","167041315","168191552","169330015","170457073","171573313","172679213","173774831","174860031","175934617","176998642","178051975","179093984","180123845","181140837","182144851","183135727","184112662","185074660","186021079","186951853","187867360","188768045","189654593","190527735","191387807","192235428","193072052","193899410","194719005","195531657","196337860","197138112","197932814","198722359","199507287","200288178","201065507","201839716","202611186","203380325","204147452","204912775","205676421","206438550","207199373","207959150","208718099","209476493","210234534","210992382","211750142","212507867","213265561","214023185"
"Micronesia (Fed. States of)","107444","108886","110215","111461","112640","113811","115021","116372","117788","119246","120731","122234","123747","125253","126749","128232","129714","131163","132593","134004","135343","136633","137874","139058","140189","141281","142343","143358","144364","145327","146290","147228","148151","149091","150005","150939","151882","152848","153814","154811","155809","156813","157831","158848","159859","160856","161826","162786","163706","164588","165423","166235","166975","167677","168327","168930","169491","169995","170455","170887","171284","171665","172016","172356","172689","173020","173346","173689","174041","174393","174753","175139","175527","175934","176332","176737","177143","177545","177931","178300","178644","178979","179298","179561","179814","180017","180158"
"Monaco","37320","37723","38070","38392","38682","38967","39244","39520","39778","40042","40303","40553","40807","41049","41301","41540","41771","42015","42248","42476","42712","42941","43159","43371","43570","43771","43973","44175","44361","44558","44745","44946","45145","45354","45561","45780","45999","46236","46476","46736","47002","47273","47557","47841","48142","48450","48758","49073","49397","49713","50044","50373","50714","51052","51387","51742","52093","52460","52825","53193","53567","53944","54326","54717","55110","55505","55905","56301","56694","57105","57513","57933","58348","58764","59189","59621","60041","60478","60906","61340","61778","62216","62647","63079","63512","63935","64365"
"Mongolia","2940111","2998433","3056358","3113788","3170214","3225166","3278292","3333629","3387917","3441233","3493657","3545317","3596343","3646902","3697158","3747294","3797468","3847797","3898356","3949096","3999965","4050908","4101956","4153167","4204667","4256590","4309010","4361982","4415435","4469417","4523899","4578849","4634266","4690086","4746167","4802323","4858387","4914306","4970062","5025588","5080815","5135711","5190230","5244393","5298250","5351824","5405220","5458429","5511508","5564558","5617682","5671027","5724621","5778511","5832751","5887357","5942416","5997908","6053908","6110420","6167501","6225155","6283408","6342216","6401603","6461547","6522029","6583009","6644459","6706302","6768424","6830758","6893235","6955808","7018410","7080970","7143408","7205674","7267705","7329491","7390965","7452130","7512939","7573356","7633334","7692839","7751822"
"Montenegro","626650","626957","627271","627563","627803","627988","628062","628035","627963","627826","627609","627329","626952","626486","625929","625284","624531","623691","622746","621694","620549","619287","617930","616478","614930","613300","611576","609787","607919","605995","604026","602012","599963","597878","595786","593672","591532","589388","587241","585070","582885","580682","578436","576183","573894","571578","569205","566792","564343","561842","559300","556711","554087","551397","548686","545930","543132","540314","537454","534567","531684","528790","525876","522973","520076","517168","514267","511381","508489","505603","502748","499890","497038","494204","491375","488554","485748","482932","480134","477326","474542","471764","468979","466214","463451","460680","457915"
"Montserrat","5000","5000","5000","5000","5000","5000","4999","4981","4968","4946","4923","4897","4865","4843","4816","4792","4763","4728","4704","4677","4649","4615","4586","4557","4537","4507","4481","4447","4420","4391","4361","4324","4290","4256","4222","4187","4144","4115","4073","4049","4006","3971","3940","3903","3870","3838","3812","3772","3735","3705","3674","3642","3615","3581","3553","3518","3495","3467","3444","3419","3403","3378","3355","3333","3318","3286","3273","3253","3231","3210","3188","3169","3149","3127","3106","3087","3062","3047","3026","3000","2983","2962","2952","2930","2911","2891","2878"
"Morocco","34192358","34663608","35126274","35581257","36029089","36471766","36910558","37393678","37882301","38374062","38867050","39359856","39851514","40341493","40829729","41316376","41801551","42284994","42765721","43241899","43711226","44172052","44623640","45066303","45500758","45928246","46349770","46765500","47175415","47580013","47979924","48375657","48767506","49155669","49540513","49922380","50301515","50678080","51052127","51423610","51792427","52158426","52521580","52881786","53238762","53592111","53941511","54286856","54628015","54964598","55296189","55622465","55943357","56258936","56569186","56874180","57174047","57468894","57758988","58044815","58326968","58605983","58882194","59155922","59427750","59698334","59968209","60237674","60506959","60776518","61046796","61318117","61590646","61864330","62138900","62413943","62689056","62963972","63238528","63512553","63785879","64058215","64329166","64598225","64864746","65127933","65386898"
"Mozambique","26286192","27042001","27829930","28649007","29496009","30366043","31255435","32196233","33173415","34184363","35226971","36299617","37401234","38531236","39689468","40876065","42091082","43334130","44603947","45898345","47214546","48550474","49905126","51278660","52671583","54085013","55519766","56975741","58452615","59950767","61470677","63012697","64576917","66163189","67771195","69400503","71050728","72721564","74412902","76124772","77857285","79610397","81383819","83176981","84989155","86819446","88667020","90531363","92411950","94307919","96218285","98142215","100078994","102028162","103989509","105962963","107948324","109945229","111953010","113970821","115997686","118032741","120075412","122125398","124182606","126247110","128318862","130397599","132482810","134573835","136669883","138770323","140874567","142982421","145094062","147209920","149330128","151454387","153581991","155711996","157843347","159975084","162106334","164236392","166364687","168490822","170614505"
"Myanmar","52280816","52680724","53045199","53382521","53708318","54045422","54409794","54858753","55318897","55787393","56261517","56738705","57216521","57692658","58164998","58631550","59090537","59540449","59980049","60408425","60824921","61229001","61620095","61997824","62362074","62712900","63050534","63375046","63686814","63986755","64276069","64555835","64826649","65089073","65344221","65593323","65837458","66077248","66313180","66545906","66776018","67003964","67230168","67454802","67677860","67899138","68118488","68335978","68551596","68765026","68975788","69183527","69388190","69589788","69788136","69983032","70174360","70362167","70546631","70728008","70906677","71083014","71257281","71429781","71600945","71771257","71941198","72111107","72281382","72452658","72625651","72800972","72978964","73159838","73343949","73531563","73722889","73918077","74117146","74320086","74526799","74737139","74950959","75168004","75388036","75610732","75835763"
"Namibia","2273426","2314901","2358044","2402623","2448300","2494524","2540916","2590709","2641773","2693932","2747033","2801018","2855835","2911462","2967973","3025399","3083781","3143132","3203358","3264303","3325743","3387491","3449498","3511776","3574396","3637444","3701002","3765062","3829580","3894612","3960166","4026283","4092953","4160137","4227770","4295745","4363967","4432402","4501058","4569855","4638763","4707740","4776735","4845743","4914774","4983865","5053030","5122256","5191520","5260783","5329945","5398985","5467864","5536602","5605212","5673742","5742209","5810631","5878972","5947286","6015614","6083974","6152370","6220821","6289259","6357661","6425984","6494210","6562340","6630378","6698325","6766175","6833940","6901578","6969074","7036408","7103583","7170541","7237303","7303825","7370120","7436160","7501941","7567442","7632627","7697474","7761978"
"Nauru","10289","10374","10474","10577","10678","10764","10834","10873","10894","10918","10932","10942","10943","10968","10975","10987","10992","11006","11000","11013","11016","11012","11026","11019","11024","11018","11003","11011","11001","10987","10966","10941","10927","10894","10871","10832","10804","10753","10717","10660","10627","10561","10512","10454","10391","10329","10268","10202","10133","10060","9983","9910","9833","9741","9665","9580","9495","9397","9309","9211","9110","9020","8899","8797","8703","8583","8467","8351","8229","8121","7997","7860","7736","7605","7475","7343","7210","7071","6936","6792","6657","6514","6371","6234","6086","5940","5794"
"Nepal","26905982","27015033","27263430","27632682","28095712","28608715","29136808","29784509","30386638","30947916","31472240","31962635","32421241","32849345","33247537","33615897","33954722","34265222","34550169","34814130","35062766","35300501","35529760","35751060","35964546","36169508","36365601","36553381","36734002","36908228","37076924","37240605","37399571","37553611","37702099","37844080","37978725","38105824","38225170","38335901","38437007","38527725","38607630","38676679","38734782","38782018","38818496","38844110","38858865","38862997","38856843","38840716","38814774","38779115","38733971","38679539","38616060","38543788","38462888","38373463","38275554","38169280","38054922","37932789","37803162","37666337","37522654","37372444","37216190","37054468","36887990","36717410","36543172","36365695","36185649","36003679","35820413","35636281","35451633","35266716","35081742","34896921","34712485","34528664","34345762","34164039","33983835"
"Netherlands","16892517","16938492","16981285","17021343","17059560","17097123","17134873","17172929","17209836","17245139","17278443","17309413","17337795","17363327","17385898","17405362","17421640","17434610","17444115","17449961","17451899","17449827","17443674","17433501","17419423","17401599","17380210","17355350","17327162","17295953","17262068","17225823","17187442","17147116","17105059","17061441","17016502","16970437","16923478","16875872","16827929","16779885","16731926","16684208","16636969","16590422","16544786","16500153","16456569","16414144","16372935","16332996","16294325","16256827","16220294","16184434","16148995","16113868","16078944","16043953","16008589","15972610","15935906","15898419","15860085","15820828","15780641","15739455","15697321","15654458","15611101","15567492","15523699","15479777","15435810","15391924","15348209","15304716","15261521","15218676","15176203","15134136","15092517","15051350","15010679","14970494","14930821"
"New Caledonia","267732","271062","274190","277159","279986","282757","285491","288332","291149","293961","296739","299501","302237","304951","307653","310323","312979","315605","318211","320780","323313","325812","328263","330665","333025","335333","337582","339775","341893","343957","345960","347902","349780","351608","353359","355061","356700","358305","359840","361336","362780","364197","365586","366921","368239","369532","370814","372072","373326","374567","375799","377002","378208","379401","380586","381750","382896","384040","385150","386256","387340","388413","389451","390470","391496","392480","393444","394387","395303","396189","397077","397943","398789","399617","400443","401259","402060","402867","403669","404463","405270","406070","406869","407670","408483","409297","410118"
"New Zealand","4567522","4614527","4659265","4702029","4743131","4783062","4822233","4861138","4899979","4938639","4976998","5014954","5052431","5089329","5125588","5161130","5195912","5229881","5262992","5295228","5326614","5357089","5386683","5415381","5443252","5470335","5496707","5522372","5547367","5571693","5595388","5618452","5640937","5662887","5684325","5705262","5725761","5745847","5765555","5784966","5804136","5823147","5842007","5860783","5879541","5898370","5917353","5936509","5955859","5975401","5995127","6015030","6035092","6055315","6075652","6096070","6116527","6136995","6157431","6177780","6197866","6217663","6237100","6256185","6274846","6293053","6310790","6328015","6344772","6361139","6377202","6393080","6408779","6424345","6439861","6455416","6471099","6486948","6502988","6519215","6535621","6552208","6568954","6585892","6603011","6620344","6637911"
"Nicaragua","6142734","6223234","6303970","6384843","6465502","6545503","6624554","6708188","6795939","6887081","6980968","7077020","7174689","7273502","7373064","7473009","7573006","7672759","7771978","7870383","7967723","8063793","8158409","8251514","8343271","8433943","8523701","8612582","8700538","8787615","8873854","8959282","9043945","9127830","9210946","9293282","9374803","9455521","9535418","9614478","9692729","9770120","9846668","9922314","9996975","10070547","10142947","10214144","10284119","10352839","10420257","10486351","10551119","10614560","10676710","10737582","10797242","10855688","10912973","10969191","11024422","11078753","11132256","11184969","11236989","11288380","11339222","11389568","11439463","11488982","11538198","11587171","11635933","11684513","11732874","11780960","11828760","11876230","11923413","11970315","12016944","12063349","12109484","12155352","12200904","12246075","12290802"
"Niger","19240182","20001663","20788789","21602388","22442831","23310719","24206636","25151873","26138753","27166098","28233186","29339690","30485816","31672143","32899643","34169519","35482792","36839922","38240427","39682716","41164548","42684306","44241515","45836720","47470663","49144545","50859303","52615078","54411718","56249595","58129022","60050273","62013349","64018224","66064993","68153704","70284304","72456648","74670401","76924796","79218916","81551960","83923281","86332516","88779306","91263337","93784232","96341391","98934039","101561281","104222104","106915548","109640839","112397238","115183888","117999839","120844267","123716409","126615477","129540570","132490749","135465161","138462994","141483671","144526770","147591995","150678987","153786859","156914835","160062724","163230446","166417610","169623673","172847325","176086406","179338230","182600608","185872099","189151933","192439721","195735202","199037864","202346952","205661358","208979564","212299781","215619806"
"Nigeria","176404931","181137454","185960244","190873247","195874685","200963603","206139587","211601152","217244069","223056221","229028555","235155056","241432985","247862638","254446877","261190190","268096165","275164561","282388991","289755790","297246994","304849115","312556090","320369065","328290765","336327056","344482114","352755680","361144997","369648901","378265817","386994706","395834050","404784283","413848698","423031948","432336759","441763777","451310048","460970255","470737097","480604727","490569813","500631590","510789905","521045560","531398301","541846145","552385215","563010942","573717872","584501129","595357184","606283341","617276557","628333974","639452610","650628771","661858856","673139896","684469102","695843249","707259471","718713681","730200055","741711966","753243793","764791651","776353204","787926366","799509741","811101754","822699645","834300786","845903820","857507800","869111400","880712602","892308837","903897181","915474605","927038233","938585336","950113520","961620597","973104656","984564029"
"Niue","1607","1610","1611","1612","1610","1614","1618","1614","1616","1619","1612","1619","1631","1639","1646","1653","1662","1674","1675","1684","1696","1703","1707","1713","1717","1725","1732","1738","1739","1741","1748","1752","1756","1761","1768","1772","1771","1779","1779","1781","1788","1790","1794","1801","1803","1806","1809","1814","1809","1811","1817","1821","1821","1822","1819","1820","1819","1819","1818","1817","1814","1814","1810","1810","1805","1800","1798","1798","1795","1785","1786","1785","1784","1780","1775","1776","1774","1766","1762","1759","1757","1750","1743","1734","1732","1730","1726"
"Northern Mariana Islands","55301","55779","56187","56553","56889","57213","57557","57910","58271","58627","58983","59343","59684","60053","60404","60738","61052","61361","61647","61916","62147","62368","62533","62670","62785","62858","62889","62900","62888","62829","62763","62661","62558","62438","62309","62170","62035","61885","61736","61587","61439","61297","61142","61001","60867","60732","60602","60454","60339","60218","60089","59972","59858","59738","59631","59524","59418","59299","59197","59089","58979","58882","58763","58652","58531","58390","58260","58112","57962","57792","57608","57425","57209","57000","56765","56531","56268","56017","55748","55469","55182","54895","54600","54295","53994","53686","53390"
"Norway","5142269","5199827","5250950","5296324","5337960","5378859","5421242","5466353","5511680","5557070","5602390","5647490","5692270","5736616","5780429","5823595","5866040","5907697","5948506","5988474","6027555","6065734","6103026","6139403","6174906","6209583","6243482","6276619","6309026","6340740","6371815","6402310","6432277","6461712","6490632","6519046","6546956","6574394","6601385","6627948","6654102","6679863","6705260","6730314","6755067","6779569","6803875","6827993","6851935","6875751","6899489","6923188","6946851","6970457","6994031","7017559","7041039","7064459","7087796","7110977","7133873","7156420","7178589","7200367","7221747","7242684","7263204","7283267","7302908","7322146","7341070","7359696","7378073","7396208","7414167","7432032","7449859","7467684","7485518","7503357","7521199","7539029","7556842","7574658","7592492","7610349","7628284"
"Oman","4027255","4267341","4479217","4665926","4829476","4974992","5106622","5215082","5319476","5420426","5518344","5613416","5705661","5794868","5880689","5962664","6040445","6113976","6183703","6250631","6316108","6381188","6446327","6511547","6576890","6642205","6707427","6772650","6838097","6904187","6971404","7040068","7110315","7181930","7254441","7327140","7399509","7471312","7542532","7612990","7682520","7750953","7818186","7884073","7948481","8011320","8072503","8131964","8189682","8245672","8299979","8352621","8403646","8453099","8501105","8547808","8593368","8637852","8681351","8724030","8766067","8807593","8848726","8889540","8930111","8970526","9010853","9051191","9091543","9131980","9172494","9213086","9253804","9294637","9335667","9376943","9418470","9460271","9502323","9544598","9587036","9629605","9672249","9714917","9757581","9800191","9842700"
"Other non-specified areas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pakistan","195305012","199426953","203631356","207906210","212228288","216565317","220892331","225467919","230123225","234842381","239612354","244422867","249266556","254138872","259037671","263962644","268913510","273888092","278880639","283881116","288877201","293860365","298825478","303774887","308716959","313664446","318626644","323605480","328598128","333603532","338619357","343643542","348674661","353712335","358756618","363807765","368864835","373926906","378989993","384046196","389085482","394099833","399085210","404040358","408963591","413854246","418711443","423534100","428320266","433067518","437773206","442435752","447054320","451630268","456167231","460670294","465143648","469588425","474005121","478396371","482765031","487113177","491442268","495752267","500041908","504308976","508551803","512769717","516962935","521131616","525276137","529396488","533492644","537563462","541606330","545617852","549595567","553538454","557446750","561321453","565163875","568975081","572755762","576506055","580225638","583913664","587568794"
