"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Lazard's LCOE Analysis–Version 10.0, 2016,  Solar PV rooftop RSD",https://www.lazard.com/perspective/levelized-cost-of-energy-analysis-100/,USA,,,3 - For Profit,2016,,,Capacity factor (%),0.0,TWh/TW/year,,,
"Lazard's LCOE Analysis–Version 10.0, 2016,  Solar PV rooftop RSD",https://www.lazard.com/perspective/levelized-cost-of-energy-analysis-100/,USA,,,3 - For Profit,2016,,,Capacity factor (%),0.0,TWh/TW/year,,,
"Lazard's LCOE Analysis–Version 10.0, 2016,  Solar PV rooftop RSD",https://www.lazard.com/perspective/levelized-cost-of-energy-analysis-100/,USA,,,3 - For Profit,2016,,,Capacity factor (%),0.0,TWh/TW/year,,,
"Adaramola et al (2015). Annual Use.Adaramola M S, V. E. (2015). Preliminary assessment of a small-scale rooftop PV-grid tied in Norwegian climatic conditions. Energy Conversion and Management, 458-465.",https://www.researchgate.net/publication/279288579_Preliminary_assessment_of_a_small-scale_rooftop_PV-grid_tied_in_Norwegian_climatic_conditions,EU,Norway,,1  - Peer Reviewed,2015,,,Capacity factor (%),0.0,TWh/TW/year,,,
Yadav. (2018) Annual Use.Yadav S K. (2018). Performance evaluation of a rooftop solar photovoltaic power plant in Northern India. Energy for Sustainable Development. doi:DOI: 10.1016/j.esd.2018.01.006,https://www.researchgate.net/publication/323219729_Performance_evaluation_of_a_rooftop_solar_photovoltaic_power_plant_in_Northern_India,Middle East and Africa,Algeria,,1  - Peer Reviewed,2015,,,Capacity factor (%),0.0,TWh/TW/year,,,
Yadav. (2018) Annual Use.Yadav S K. (2018). Performance evaluation of a rooftop solar photovoltaic power plant in Northern India. Energy for Sustainable Development. doi:DOI: 10.1016/j.esd.2018.01.006,https://www.researchgate.net/publication/323219729_Performance_evaluation_of_a_rooftop_solar_photovoltaic_power_plant_in_Northern_India,Asia (Sans Japan),Malayasia,,1  - Peer Reviewed,2015,,,Capacity factor (%),0.0,TWh/TW/year,,,
IRENA (2017). Average Annual Use.IRENA. (2017c). IRENA Cost and Competitiveness Indicators : Rooftop Solar PV. Abu Dhabi: IRENA. Table 3,https://www.irena.org/publications/2017/Dec/IRENA-cost-and-competitiveness-indicators-Rooftop-solar-PV,USA,Los Angeles,,2 - Public Sector/ Multilateral Agency,2016,,,kWh/kW,0.0,TWh/TW/year,,,
IRENA (2017). Average Annual Use.IRENA. (2017c). IRENA Cost and Competitiveness Indicators : Rooftop Solar PV. Abu Dhabi: IRENA. Table 3,https://www.irena.org/publications/2017/Dec/IRENA-cost-and-competitiveness-indicators-Rooftop-solar-PV,USA,San Francisco,,2 - Public Sector/ Multilateral Agency,2016,,,kWh/kW,0.0,TWh/TW/year,,,
IRENA (2017). Average Annual Use.IRENA. (2017c). IRENA Cost and Competitiveness Indicators : Rooftop Solar PV. Abu Dhabi: IRENA. Table 3,https://www.irena.org/publications/2017/Dec/IRENA-cost-and-competitiveness-indicators-Rooftop-solar-PV,USA,San Diego,,2 - Public Sector/ Multilateral Agency,2016,,,kWh/kW,0.0,TWh/TW/year,,,
IRENA (2017). Average Annual Use.IRENA. (2017c). IRENA Cost and Competitiveness Indicators : Rooftop Solar PV. Abu Dhabi: IRENA. Table 3,https://www.irena.org/publications/2017/Dec/IRENA-cost-and-competitiveness-indicators-Rooftop-solar-PV,USA,San Bernadino,,2 - Public Sector/ Multilateral Agency,2016,,,kWh/kW,0.0,TWh/TW/year,,,
